fips,country,state,county,lat,long,pop19
8005,US,Colorado,Arapahoe,39.64977461,-104.3353617,656590
5007,US,Arkansas,Benton,36.33644656,-94.25680817,279141
26025,US,Michigan,Calhoun,42.24633834,-85.00493569,134159
34007,US,New Jersey,Camden,39.80343818,-74.96388753,506471
17031,US,Illinois,Cook,41.84144849,-87.81658794,5150233
47037,US,Tennessee,Davidson,36.17007426,-86.78646056,694144
31055,US,Nebraska,Douglas,41.29518299,-96.15085305,571327
17043,US,Illinois,DuPage,41.85116968,-88.08642662,922921
47047,US,Tennessee,Fayette,35.19615831,-89.41399032,41133
13115,US,Georgia,Floyd,34.26268279,-85.21577392,98498
39061,US,Ohio,Hamilton,39.19673558,-84.54502924,817473
27053,US,Minnesota,Hennepin,45.00761521,-93.47694895,1265843
12057,US,Florida,Hillsborough,27.9276559,-82.32013172,1471968
26081,US,Michigan,Kent,43.03197711,-85.54934642,656955
42071,US,Pennsylvania,Lancaster,40.03904563,-76.24770128,545724
42081,US,Pennsylvania,Lycoming,41.34310539,-77.06629984,113299
47113,US,Tennessee,Madison,35.61181957,-88.84076036,97984
42091,US,Pennsylvania,Montgomery,40.21053671,-75.36652296,830915
39119,US,Ohio,Muskingum,39.96575964,-81.94363275,86215
21195,US,Kentucky,Pike,37.47088263,-82.39487445,57876
6073,US,California,San Diego,33.03484597,-116.73653259999999,3338330
6085,US,California,Santa Clara,37.23104908,-121.6970462,1927852
47157,US,Tennessee,Shelby,35.1864775,-89.89692423,937166
37183,US,North Carolina,Wake,35.78879266,-78.65249174,1111761
20209,US,Kansas,Wyandotte,39.11727348,-94.76378225,165429
