,uid,fips,country,state,county,lat,long,pop19,region,dispID,date,date_lag,Rt_plot,Rt_upr,Rt_lwr,Rt_loess_fit,Rt_loess_lwr,Rt_loess_upr,positiveIncrease,positive,positive_7day,positive_percapita,positiveIncr_percapita,deathIncrease,death,death_percapita,deathIncr_percapita
3314,84004021,4021,US,Arizona,Pinal,32.90525627,-111.3449483,462789,AZ,"Pinal, Arizona",8/9/2020,8/4/2020,0.29982767,0.348191021,0.255034808,0.7330858720000001,0.645407831,0.820763912,22,8378,21.57142857,18103.28249,47.53786283,0,156,337.08666370000003,0.0
1200,84005031,5031,US,Arkansas,Craighead,35.83018283,-90.63235729,110332,AR,"Craighead, Arkansas",8/9/2020,8/4/2020,1.123174879,1.274603091,0.981199803,0.9757674340000001,0.88180453,1.069730338,8,1344,32.0,12181.41609,72.5084291,0,12,108.7626437,0.0
2257,84006029,6029,US,California,Kern,35.34329425,-118.72777959999999,900202,CA,"Kern, California",8/9/2020,8/4/2020,0.7708064990000001,0.7984508290000001,0.743642626,1.024808185,0.9037749070000001,1.145841463,957,23583,434.0,26197.45346,1063.094728,0,171,189.95736509999998,0.0
3767,84006071,6071,US,California,San Bernardino,34.84060306,-116.1774685,2180085,CA,"San Bernardino, California",8/9/2020,8/4/2020,0.723724528,0.7511076999999999,0.696842973,0.9775988109999999,0.873467885,1.081729737,260,35712,390.2857143,16381.012669999998,119.26140490000002,44,546,250.44895040000003,20.182699300000003
4069,84006099,6099,US,California,Stanislaus,37.55862499,-120.9970722,550660,CA,"Stanislaus, California",8/9/2020,8/4/2020,0.668162469,0.722442432,0.61597433,1.134773461,0.9659503779999999,1.3035965440000001,99,9665,86.28571429,17551.665269999998,179.78425890000003,1,162,294.1924236,1.816002615
1502,84008031,8031,US,Colorado,DENVER,39.76018276,-104.87256950000001,727211,CO,"Denver, Colorado",8/9/2020,8/4/2020,0.8218355629999999,0.899659535,0.74748605,0.8965770759999999,0.825757215,0.9673969370000001,51,10224,63.85714286,14059.193269999998,70.13095236,0,414,569.2983192,0.0
4824,84009003,9003,US,Connecticut,Windham,41.82972709,-71.98182316,116782,CT,"Hartford, Connecticut",8/9/2020,8/4/2020,0.569373849,0.677072861,0.470887686,0.882585592,0.78458443,0.980586755,0,12761,16.57142857,14310.545909999999,0.0,0,1415,1586.820975,0.0
3163,84012095,12095,US,Florida,Orange,28.51367621,-81.31799498,1393452,FL,"Orange, Florida",8/9/2020,8/4/2020,0.8149026970000001,0.8508110440000001,0.77975814,0.7418088429999999,0.633649229,0.8499684559999999,324,31719,288.57142860000005,22762.89388,232.51608240000002,1,298,213.8573844,0.71764223
2106,84013153,13153,US,Georgia,Houston,32.45802497,-83.66879087,157863,GA,"Houston, Georgia",8/9/2020,8/4/2020,0.795104185,0.911439763,0.6866103029999999,0.953644961,0.891033711,1.01625621,28,1976,27.28571429,12517.18262,177.3689845,1,59,373.74178880000005,6.334606589
1049,84017031,17031,US,Illinois,Cook,41.84144849,-87.81658794,5150233,IL,"Cook, Illinois",8/9/2020,8/4/2020,1.0908019420000001,1.12208904,1.0599512290000002,1.087681692,0.9875085659999999,1.187854818,582,111447,676.2857142999999,21639.21516,113.00459609999999,4,4928,956.8499134,0.776663891
