cuid,city,type,province,population
4806016,Calgary,City,Alberta,1239220
4811061,Edmonton,City,Alberta,932546
4808011,Red Deer,City,Alberta,100418
4811052,Strathcona County,Specialized municipality,Alberta,98044
4802012,Lethbridge,City,Alberta,92729
4816037,Wood Buffalo,Specialized municipality,Alberta,71589
4811062,St. Albert,City,Alberta,65589
4801006,Medicine Hat,City,Alberta,63260
4819012,Grande Prairie,City,Alberta,63166
4806021,Airdrie,City,Alberta,61581
4806014,Rocky View County,Municipal district,Alberta,39407
4811049,Spruce Grove,City,Alberta,34066
4811034,Parkland County,Municipal district,Alberta,32097
4811016,Leduc,City,Alberta,29993
4806012,Okotoks,Town,Alberta,28881
4806019,Cochrane,Town,Alberta,25853
4811056,Fort Saskatchewan,City,Alberta,24149
4806001,Foothills No. 31,Municipal district,Alberta,22766
4819006,Grande Prairie County No. 1,Municipal district,Alberta,22303
4811059,Sturgeon County,Municipal district,Alberta,20495
4806017,Chestermere,City,Alberta,19887
4810039,Lloydminster (Part),City,Alberta,19645
4808001,Red Deer County,Municipal district,Alberta,19541
4810011,Camrose,City,Alberta,18742
4811013,Beaumont,Town,Alberta,17396
4811048,Stony Plain,Town,Alberta,17189
4812002,Cold Lake,City,Alberta,14961
4808012,Sylvan Lake,Town,Alberta,14816
4802034,Brooks,City,Alberta,14451
4815023,Canmore,Town,Alberta,13992
4811012,Leduc County,Municipal district,Alberta,13780
4805018,Strathmore,Town,Alberta,13756
4806006,High River,Town,Alberta,13584
4812004,Bonnyville No. 87,Municipal district,Alberta,13575
4806028,Mountain View County,Municipal district,Alberta,13074
4808031,Lacombe,City,Alberta,13057
4811002,Wetaskiwin,City,Alberta,12655
4809002,Clearwater County,Municipal district,Alberta,11947
4811001,Wetaskiwin County No. 10,Municipal district,Alberta,11181
4817095,Mackenzie County,Specialized municipality,Alberta,11171
4814003,Yellowhead County,Municipal district,Alberta,10995
4813001,Lac Ste. Anne County,Municipal district,Alberta,10899
4802011,Lethbridge County,Municipal district,Alberta,10353
4808022,Lacombe County,Municipal district,Alberta,10343
4813030,Whitecourt,Town,Alberta,10204
4814019,Hinton,Town,Alberta,9882
4811068,Morinville,Town,Alberta,9848
4808038,Ponoka County,Municipal district,Alberta,9806
4808029,Blackfalds,Town,Alberta,9328
4806034,Olds,Town,Alberta,9184
4805012,Wheatland County,Municipal district,Alberta,8788
4810001,Camrose County,Municipal district,Alberta,8458
4802022,Taber,Town,Alberta,8428
4814024,Edson,Town,Alberta,8414
4812037,Lac la Biche County,Municipal district,Alberta,8330
4810036,Vermilion River County,Municipal district,Alberta,8267
4802019,Coaldale,Town,Alberta,8215
4805026,Drumheller,Town,Alberta,7982
4813044,Athabasca County,Municipal district,Alberta,7869
4815035,Banff,Town,Alberta,7851
4808008,Innisfail,Town,Alberta,7847
4811032,Brazeau County,Municipal district,Alberta,7771
4801003,Cypress County,Municipal district,Alberta,7662
4802031,Newell County,Municipal district,Alberta,7524
4811031,Drayton Valley,Town,Alberta,7235
4808039,Ponoka,Town,Alberta,7229
4813028,Westlock County,Municipal district,Alberta,7220
4802021,Taber,Municipal district,Alberta,7098
4819038,Peace River,Town,Alberta,6842
4817029,Slave Lake,Town,Alberta,6651
4809015,Rocky Mountain House,Town,Alberta,6635
4811018,Devon,Town,Alberta,6578
4813018,Barrhead County No. 11,Municipal district,Alberta,6288
4807054,Wainwright,Town,Alberta,6270
4812014,St. Paul County No. 19,Municipal district,Alberta,6036
4807026,Stettler,Town,Alberta,5952
4810016,Beaver County,Municipal district,Alberta,5905
4812018,St. Paul,Town,Alberta,5827
4810028,Vegreville,Town,Alberta,5708
4817027,Big Lakes County,Municipal district,Alberta,5672
4801018,Redcliff,Town,Alberta,5600
4815007,Crowsnest Pass,Specialized municipality,Alberta,5589
4818015,Greenview No. 16,Municipal district,Alberta,5583
4812009,Bonnyville,Town,Alberta,5417
4807019,Stettler County No. 6,Municipal district,Alberta,5322
4806032,Didsbury,Town,Alberta,5268
4803018,Willow Creek No. 26,Municipal district,Alberta,5179
4813031,Westlock,Town,Alberta,5101
4805041,Kneehill County,Municipal district,Alberta,5001
4813029,Woodlands County,Municipal district,Alberta,4754
4815033,Jasper,Specialized municipality,Alberta,4590
4813019,Barrhead,Town,Alberta,4579
4803802,Blood 148,Indian reserve,Alberta,4570
4803001,Cardston County,Municipal district,Alberta,4481
4807049,Wainwright No. 61,Municipal district,Alberta,4479
4817076,Northern Lights County,Municipal district,Alberta,4200
4812022,Smoky Lake County,Municipal district,Alberta,4107
4810042,Vermilion,Town,Alberta,4084
4806029,Carstairs,Town,Alberta,4077
4805001,Vulcan County,Municipal district,Alberta,3984
4810058,Lamont County,Municipal district,Alberta,3899
4802001,Warner County No. 5,Municipal district,Alberta,3847
4803022,Claresholm,Town,Alberta,3780
4807031,Flagstaff County,Municipal district,Alberta,3738
4815802,"Stoney 142, 143, 144",Indian reserve,Alberta,3713
4802008,Raymond,Town,Alberta,3708
4803014,Pincher Creek,Town,Alberta,3642
4803004,Cardston,Town,Alberta,3585
4801008,Forty Mile County No. 8,Municipal district,Alberta,3581
4818005,Grande Cache,Town,Alberta,3571
4805802,Siksika 146,Indian reserve,Alberta,3479
4808811,Samson 137,Indian reserve,Alberta,3373
4810048,Two Hills County No. 21,Municipal district,Alberta,3322
4808009,Penhold,Town,Alberta,3277
4813036,Thorhild County,Municipal district,Alberta,3254
4805048,Three Hills,Town,Alberta,3212
4810026,Minburn County No. 27,Municipal district,Alberta,3188
4817031,Opportunity No. 17,Municipal district,Alberta,3181
4811064,Gibbons,Town,Alberta,3159
4817093,High Level,Town,Alberta,3159
4817062,Clear Hills,Municipal district,Alberta,3023
4819068,Fairview,Town,Alberta,2998
4806026,Crossfield,Town,Alberta,2983
4803019,Fort Macleod,Town,Alberta,2967
4803011,Pincher Creek No. 9,Municipal district,Alberta,2965
4813048,Athabasca,Town,Alberta,2965
4817033,Lesser Slave River No.124,Municipal district,Alberta,2803
4806036,Sundre,Town,Alberta,2729
4819074,Grimshaw,Town,Alberta,2718
4806011,Black Diamond,Town,Alberta,2700
4802013,Coalhurst,Town,Alberta,2668
4819014,Sexsmith,Town,Alberta,2620
4808044,Rimbey,Town,Alberta,2567
4817021,High Prairie,Town,Alberta,2564
4804011,Hanna,Town,Alberta,2559
4806009,Turner Valley,Town,Alberta,2559
4819009,Beaverlodge,Town,Alberta,2465
4811801,Ermineskin 138,Indian reserve,Alberta,2457
4803002,Magrath,Town,Alberta,2374
4811019,Calmar,Town,Alberta,2228
4819059,Saddle Hills County,Municipal district,Alberta,2225
4807001,Provost No. 52,Municipal district,Alberta,2205
4803026,Nanton,Town,Alberta,2130
4807011,Paintearth County No. 18,Municipal district,Alberta,2102
4810018,Tofield,Town,Alberta,2081
4805031,Starland County,Municipal district,Alberta,2066
4811065,Redwater,Town,Alberta,2053
4817835,Fox Lake 162,Indian reserve,Alberta,2032
4819041,Smoky River No. 130,Municipal district,Alberta,2023
4807002,Provost,Town,Alberta,1998
4801014,Bow Island,Town,Alberta,1983
4818002,Fox Creek,Town,Alberta,1971
4811011,Millet,Town,Alberta,1945
4805006,Vulcan,Town,Alberta,1917
4804004,Special Area No. 2,Special area,Alberta,1905
4817026,Northern Sunrise County,Municipal district,Alberta,1891
4818018,Valleyview,Town,Alberta,1863
4802018,Picture Butte,Town,Alberta,1810
4810064,Lamont,Town,Alberta,1774
4819071,Peace No. 135,Municipal district,Alberta,1747
4811804,Stony Plain 135,Indian reserve,Alberta,1690
4806804,Tsuu T'ina Nation 145 (Sarcee 145),Indian reserve,Alberta,1643
4819066,Fairview No. 136,Municipal district,Alberta,1604
4811806,Wabamun 133A,Indian reserve,Alberta,1592
4819049,Birch Hills County,Municipal district,Alberta,1553
4803801,Piikani 147,Indian reserve,Alberta,1544
4811066,Bon Accord,Town,Alberta,1529
4819011,Wembley,Town,Alberta,1516
4812016,Elk Point,Town,Alberta,1452
4818816,Sturgeon Lake 154,Indian reserve,Alberta,1447
4810052,Two Hills,Town,Alberta,1352
4811069,Legal,Town,Alberta,1345
4815015,Bighorn No. 8,Municipal district,Alberta,1334
4813002,Mayerthorpe,Town,Alberta,1320
4812808,White Fish Lake 128,Indian reserve,Alberta,1310
4810066,Bruderheim,Town,Alberta,1308
4817024,Swan Hills,Town,Alberta,1301
4802014,Nobleford,Village,Alberta,1278
4808006,Bowden,Town,Alberta,1240
4804020,Special Area No. 4,Special area,Alberta,1237
4802029,Vauxhall,Town,Alberta,1222
4806022,Irricana,Town,Alberta,1216
4802039,Bassano,Town,Alberta,1206
4817837,John d'Or Prairie 215,Indian reserve,Alberta,1196
4817078,Manning,Town,Alberta,1183
4811803,Louis Bull 138B,Indian reserve,Alberta,1177
4808024,Eckville,Town,Alberta,1125
4811805,Alexander 134,Indian reserve,Alberta,1099
4802036,Duchess,Village,Alberta,1085
4810022,Viking,Town,Alberta,1083
4808026,Bentley,Town,Alberta,1078
4805049,Trochu,Town,Alberta,1058
4819046,Falher,Town,Alberta,1047
4804012,Special Area No. 3,Special area,Alberta,1042
4813014,Onoway,Town,Alberta,1029
4815032,Improvement District No.  9 Banff,Improvement district,Alberta,1028
4813012,Alberta Beach,Village,Alberta,1018
4804014,Oyen,Town,Alberta,1001
4819058,Spirit River,Town,Alberta,995
4807042,Killam,Town,Alberta,989
4811021,Thorsby,Village,Alberta,985
4802009,Stirling,Village,Alberta,978
4812811,Kehewin 123,Indian reserve,Alberta,976
4812029,Smoky Lake,Town,Alberta,964
4817823,Wabasca 166D,Indian reserve,Alberta,961
4802023,Barnwell,Village,Alberta,947
4807012,Coronation,Town,Alberta,940
4807014,Castor,Town,Alberta,929
4810041,Kitscoty,Village,Alberta,925
4812802,Unipouheos 121,Indian reserve,Alberta,909
4808004,Delburne,Village,Alberta,892
4817845,Hay Lake 209,Indian reserve,Alberta,883
4807036,Forestburg,Village,Alberta,875
4810061,Mundare,Town,Alberta,852
4813046,Boyle,Village,Alberta,845
4810002,Bashaw,Town,Alberta,830
4805046,Linden,Village,Alberta,828
4810034,Mannville,Village,Alberta,828
4817828,Drift Pile River 150,Indian reserve,Alberta,828
4802004,Milk River,Town,Alberta,827
4819008,Hythe,Village,Alberta,827
4807039,Daysland,Town,Alberta,824
4806024,Beiseker,Village,Alberta,819
4807044,Sedgewick,Town,Alberta,811
4817097,Rainbow Lake,Town,Alberta,795
4809806,O'Chiese 203,Indian reserve,Alberta,789
4811024,Warburg,Village,Alberta,766
4813811,Alexis 133,Indian reserve,Alberta,755
4809809,Sunchild 202,Indian reserve,Alberta,749
4816859,Fort Mackay,Indian Settlement,Alberta,742
4808034,Alix,Village,Alberta,734
4804022,Consort,Village,Alberta,729
4817824,Utikoomak Lake 155,Indian reserve,Alberta,723
4817856,Woodland Cree 226,Indian reserve,Alberta,723
4808032,Clive,Village,Alberta,715
4819042,McLennan,Town,Alberta,701
4819054,Spirit River No. 133,Municipal district,Alberta,700
4811046,Spring Lake,Village,Alberta,699
4817829,Sucker Creek 150A,Indian reserve,Alberta,689
4811045,Wabamun,Village,Alberta,682
4812810,Cold Lake 149,Indian reserve,Alberta,671
4817819,Wabasca 166A,Indian reserve,Alberta,658
4805044,Acme,Village,Alberta,653
4816051,Improvement District No. 24 Wood Buffalo,Improvement district,Alberta,648
4808813,Montana 139,Indian reserve,Alberta,630
4819056,Rycroft,Village,Alberta,612
4806803,Eden Valley 216,Indian reserve,Alberta,596
4811026,Breton,Village,Alberta,574
4810044,Marwayne,Village,Alberta,564
4817860,Loon Lake 235,Indian reserve,Alberta,555
4807048,Hardisty,Town,Alberta,554
4801009,Foremost,Village,Alberta,541
4803024,Stavely,Town,Alberta,541
4819072,Berwyn,Village,Alberta,538
4812804,Puskiakiwenin 122,Indian reserve,Alberta,531
4807056,Irma,Village,Alberta,521
4809010,Caroline,Village,Alberta,512
4817848,Bushe River 207,Indian reserve,Alberta,503
4810014,Hay Lakes,Village,Alberta,495
4804001,Acadia No. 34,Municipal district,Alberta,493
4812012,Glendon,Village,Alberta,493
4810019,Ryley,Village,Alberta,483
4819815,Horse Lakes 152B,Indian reserve,Alberta,469
4805042,Carbon,Village,Alberta,454
4817853,Little Buffalo,Indian Settlement,Alberta,452
4806031,Cremona,Village,Alberta,444
4813032,Clyde,Village,Alberta,430
4811802,Pigeon Lake 138A,Indian reserve,Alberta,429
4810059,Andrew,Village,Alberta,425
4810009,Bawlf,Village,Alberta,422
4812828,Beaver Lake 131,Indian reserve,Alberta,414
4816817,Janvier 194,Indian reserve,Alberta,414
4817831,Swan River 150E,Indian reserve,Alberta,413
4803021,Granum,Town,Alberta,406
4802038,Rosemary,Village,Alberta,396
4807052,Edgerton,Village,Alberta,384
4802006,Warner,Village,Alberta,373
4817039,Nampa,Village,Alberta,364
4805021,Standard,Village,Alberta,353
4810021,Holden,Village,Alberta,350
4807021,Big Valley,Village,Alberta,346
4817064,Hines Creek,Village,Alberta,346
4819044,Donnelly,Village,Alberta,342
4802016,Barons,Village,Alberta,341
4810051,Myrnam,Village,Alberta,339
4807051,Chauvin,Village,Alberta,335
4810056,Willingdon,Village,Alberta,319
4805004,Champion,Village,Alberta,317
4803006,Glenwood,Village,Alberta,316
4805022,Rockyford,Village,Alberta,316
4806008,Longview,Village,Alberta,307
4808002,Elnora,Village,Alberta,298
4817849,Upper Hay River 212,Indian reserve,Alberta,294
4812024,Vilna,Village,Alberta,290
4813016,Sandy Beach,Summer village,Alberta,278
4810062,Chipman,Village,Alberta,274
4808013,Norglenwold,Summer village,Alberta,273
4807046,Lougheed,Village,Alberta,256
4817817,Jean Baptiste Gambler 183,Indian reserve,Alberta,253
4813005,Val Quentin,Summer village,Alberta,252
4817838,Tall Cree 173,Indian reserve,Alberta,250
4802002,Coutts,Village,Alberta,245
4807006,Hughenden,Village,Alberta,243
4805002,Carmangay,Village,Alberta,242
4805038,Morrin,Village,Alberta,240
4809810,Big Horn 144A,Indian reserve,Alberta,237
4813049,Island Lake,Summer village,Alberta,228
4817840,Tall Cree 173A,Indian reserve,Alberta,224
4815013,Kananaskis,Improvement district,Alberta,221
4810012,Bittern Lake,Village,Alberta,220
4807029,Donalda,Village,Alberta,219
4819048,Girouxville,Village,Alberta,219
4817842,Boyer 164,Indian reserve,Alberta,218
4805034,Delia,Village,Alberta,216
4817843,Child Lake 164A,Indian reserve,Alberta,216
4808005,Jarvis Bay,Summer village,Alberta,213
4803016,Cowley,Village,Alberta,209
4810805,Makaoo (Part) 120,Indian reserve,Alberta,208
