,Date,Screenshots (ET),New Tests,Cases,Negative,Pending,Hospitalized,Deaths,Total
0,Wed Aug 12 2020,12:03 am6:03 am12:08 pm6:04 pm,703,51114,522457,,3472.0,566.0,573571
1,Tue Aug 11 2020,12:03 am6:03 am12:04 pm6:03 pm,3548,50411,522457,,3401.0,566.0,572868
2,Mon Aug 10 2020,12:03 am6:03 am12:04 pm6:03 pm,5489,50028,519292,,3336.0,555.0,569320
3,Sun Aug 9 2020,12:04 am6:04 am12:03 pm6:04 pm,12308,49383,514448,,3284.0,544.0,563831
4,Sat Aug 8 2020,12:04 am6:04 am12:04 pm6:03 pm,0,48039,503484,,3223.0,521.0,551523
5,Fri Aug 7 2020,12:04 am6:04 am12:03 pm6:03 pm,11687,48039,503484,,3168.0,521.0,551523
6,Thu Aug 6 2020,12:04 am6:03 am12:05 pm6:04 pm,5025,47028,492808,,3118.0,515.0,539836
7,Wed Aug 5 2020,12:03 am6:03 am12:04 pm6:04 pm,912,46293,488518,,3118.0,508.0,534811
8,Tue Aug 4 2020,12:03 am6:04 am12:03 pm6:03 pm,6499,45381,488518,,3054.0,490.0,533899
9,Mon Aug 3 2020,12:03 am6:04 am12:04 pm6:04 pm,12819,44597,482803,,2966.0,475.0,527400
10,Sun Aug 2 2020,12:04 am6:04 am12:04 pm6:04 pm,0,43173,471408,,2894.0,458.0,514581
11,Sat Aug 1 2020,12:03 am6:04 am12:04 pm6:03 pm,11112,43173,471408,,2852.0,460.0,514581
12,Fri Jul 31 2020,12:03 am6:03 am12:03 pm6:03 pm,752,42511,460958,,2852.0,453.0,503469
13,Thu Jul 30 2020,12:03 am6:03 am12:03 pm6:03 pm,7112,41759,460958,,2747.0,442.0,502717
14,Wed Jul 29 2020,12:03 am6:03 am12:03 pm6:04 pm,5699,40968,454637,,2747.0,434.0,495605
15,Tue Jul 28 2020,12:03 am6:03 am12:03 pm6:03 pm,5015,40181,449725,,2686.0,428.0,489906
16,Mon Jul 27 2020,12:03 am6:04 am12:04 pm6:03 pm,7624,39447,445444,,2624.0,408.0,484891
17,Sun Jul 26 2020,12:03 am6:03 am12:03 pm6:03 pm,15803,38623,438644,,2542.0,401.0,477267
18,Sat Jul 25 2020,12:03 am6:04 am12:03 pm6:04 pm,0,37249,424215,,2361.0,394.0,461464
19,Fri Jul 24 2020,12:04 am6:03 am12:04 pm6:03 pm,14984,37249,424215,,2361.0,394.0,461464
20,Thu Jul 23 2020,12:03 am6:03 am12:04 pm6:03 pm,6254,36259,410221,,2361.0,386.0,446480
21,Wed Jul 22 2020,12:03 am6:03 am12:03 pm6:04 pm,591,35246,404980,,2317.0,380.0,440226
22,Tue Jul 21 2020,12:03 am6:03 am12:03 pm6:03 pm,6819,34655,404980,,2257.0,374.0,439635
23,Mon Jul 20 2020,12:03 am6:04 am12:03 pm6:04 pm,13645,33927,398889,,2202.0,357.0,432816
24,Sun Jul 19 2020,12:03 am6:03 am12:03 pm6:04 pm,6166,32533,386638,,2177.0,357.0,419171
25,Sat Jul 18 2020,12:03 am6:04 am12:03 pm6:03 pm,5508,31762,381243,,2135.0,353.0,413005
26,Fri Jul 17 2020,12:03 am6:03 am12:03 pm6:03 pm,6536,31762,375735,,2070.0,353.0,407497
27,Thu Jul 16 2020,12:03 am6:03 am12:04 pm6:04 pm,5185,31114,369847,,1994.0,341.0,400961
28,Wed Jul 15 2020,12:04 am6:03 am12:03 pm6:03 pm,5477,30297,365479,,1948.0,335.0,395776
29,Tue Jul 14 2020,12:04 am6:04 am12:03 pm6:04 pm,7325,29733,360566,,1872.0,331.0,390299
30,Mon Jul 13 2020,12:04 am6:03 am12:03 pm6:04 pm,572,28939,354035,,1836.0,323.0,382974
31,Sun Jul 12 2020,12:03 am6:03 am12:04 pm6:03 pm,12753,28367,354035,,1822.0,321.0,382402
32,Sat Jul 11 2020,12:04 am6:04 am12:03 pm6:04 pm,4237,26803,342846,,1780.0,313.0,369649
33,Fri Jul 10 2020,12:03 am6:04 am12:03 pm6:03 pm,751,26803,338609,,1743.0,313.0,365412
34,Thu Jul 9 2020,12:03 am6:03 am12:03 pm6:03 pm,11389,26052,338609,,1705.0,309.0,364661
35,Wed Jul 8 2020,12:03 am6:03 am12:03 pm6:03 pm,2617,24512,328760,,1655.0,301.0,353272
36,Tue Jul 7 2020,12:33 am6:35 am12:33 pm,5687,24512,326143,,1604.0,292.0,350655
37,Mon Jul 6 2020,12:33 am6:32 am12:37 pm6:34 pm,6075,24253,320715,,1575.0,292.0,344968
38,Sun Jul 5 2020,12:33 am6:34 am12:32 pm6:38 pm,0,23209,315684,,1536.0,286.0,338893
39,Sat Jul 4 2020,12:32 am6:32 am12:32 pm6:42 pm,7656,23209,315684,,1536.0,286.0,338893
40,Fri Jul 3 2020,6:33 am12:34 pm6:32 pm,7250,22622,308615,,1517.0,281.0,331237
41,Thu Jul 2 2020,12:32 am6:34 am12:31 pm6:31 pm,9129,22075,301912,,1477.0,279.0,323987
42,Wed Jul 1 2020,12:33 am6:33 am12:32 pm6:31 pm,3655,21197,293661,,1448.0,277.0,314858
43,Tue Jun 30 2020,12:31 am6:31 am12:31 pm6:30 pm,8667,20777,290426,,1413.0,270.0,311203
44,Mon Jun 29 2020,12:32 am6:33 am12:31 pm6:32 pm,11314,20257,282279,,1380.0,265.0,302536
45,Sun Jun 28 2020,12:30 am6:30 am12:31 pm6:30 pm,7257,19310,271912,,1373.0,259.0,291222
46,Sat Jun 27 2020,12:31 am6:31 am12:31 pm6:29 pm,6585,18740,265225,,1337.0,249.0,283965
47,Fri Jun 26 2020,12:31 am6:32 am12:30 pm6:32 pm,0,18062,259318,,1300.0,240.0,277380
48,Thu Jun 25 2020,12:30 am6:31 am12:33 pm6:30 pm,5514,18062,259318,,1245.0,240.0,277380
49,Wed Jun 24 2020,12:30 am6:31 am12:31 pm6:31 pm,7374,17375,254491,,1214.0,240.0,271866
50,Tue Jun 23 2020,12:32 am6:31 am12:32 pm6:30 pm,8153,16678,247814,,1188.0,237.0,264492
51,Mon Jun 22 2020,12:29 am6:29 am12:30 pm6:31 pm,14105,16083,240256,,1164.0,227.0,256339
52,Sun Jun 21 2020,12:30 am6:29 am12:30 pm6:30 pm,0,15142,227092,,1152.0,224.0,242234
53,Sat Jun 20 2020,12:31 am6:31 am12:29 pm6:30 pm,7462,15142,227092,,1100.0,224.0,242234
54,Fri Jun 19 2020,12:32 am6:31 am12:30 pm6:30 pm,6338,14631,220141,,1100.0,214.0,234772
55,Thu Jun 18 2020,12:31 am6:31 am12:32 pm6:28 pm,7735,13928,214506,,1074.0,208.0,228434
56,Wed Jun 17 2020,12:31 am6:32 am12:32 pm6:31 pm,15133,13606,207093,,1052.0,197.0,220699
57,Tue Jun 16 2020,12:31 am6:29 am12:32 pm6:29 pm,1428,13191,192375,,1026.0,182.0,205566
58,Mon Jun 15 2020,12:29 am6:29 am12:30 pm6:28 pm,7149,12917,191221,,1003.0,182.0,204138
59,Sun Jun 14 2020,12:29 am6:30 am12:32 pm6:29 pm,9972,12501,184488,,998.0,179.0,196989
60,Sat Jun 13 2020,12:30 am6:31 am12:30 pm6:30 pm,5895,11547,175470,,979.0,176.0,187017
61,Fri Jun 12 2020,12:30 am6:31 am12:30 pm6:31 pm,4457,11547,169575,,961.0,176.0,181122
62,Thu Jun 11 2020,12:31 am6:30 am12:30 pm6:29 pm,448,10816,165849,,925.0,171.0,176665
63,Wed Jun 10 2020,12:28 am6:30 am12:29 pm6:28 pm,10436,10368,165849,,901.0,165.0,176217
64,Tue Jun 9 2020,12:29 am6:29 am12:33 pm6:29 pm,5194,10080,155701,,865.0,161.0,165781
65,Mon Jun 8 2020,12:26 am6:29 am12:34 pm6:30 pm,314,9740,150847,,844.0,155.0,160587
66,Sun Jun 7 2020,12:26 am6:29 am12:26 pm6:27 pm,3516,9426,150847,,844.0,154.0,160273
67,Sat Jun 6 2020,12:33 am6:27 am12:30 pm6:29 pm,9146,9101,147656,,838.0,154.0,156757
68,Fri Jun 5 2020,12:26 am6:26 am12:27 pm6:32 pm,5131,8651,138960,,792.0,152.0,147611
69,Thu Jun 4 2020,12:27 am6:27 am12:25 pm6:26 pm,0,8067,134413,,757.0,142.0,142480
70,Wed Jun 3 2020,12:27 am6:26 am12:30 pm6:27 pm,9244,8067,134413,,731.0,142.0,142480
71,Tue Jun 2 2020,12:28 am6:29 am12:26 pm6:27 pm,0,7443,125793,,718.0,133.0,133236
72,Mon Jun 1 2020,12:28 am6:29 am12:26 pm6:26 pm,3721,7443,125793,,711.0,133.0,133236
73,Sun May 31 2020,12:27 am6:27 am12:28 pm6:28 pm,3018,7253,122262,,711.0,133.0,129515
74,Sat May 30 2020,12:26 am6:27 am12:26 pm6:26 pm,6729,7013,119484,,702.0,133.0,126497
75,Fri May 29 2020,12:28 am6:26 am7:02 pm,866,6538,113230,,667.0,125.0,119768
76,Thu May 28 2020,12:27 am6:28 am12:26 pm6:25 pm,3306,6538,112364,,640.0,120.0,118902
77,Wed May 27 2020,12:33 am6:26 am12:28 pm6:28 pm,3823,6277,109319,,627.0,120.0,115596
78,Tue May 26 2020,12:27 am6:28 am12:26 pm6:26 pm,151,6180,105593,,617.0,119.0,111773
79,Mon May 25 2020,12:25 am6:26 am12:27 pm6:25 pm,3041,6029,105593,,605.0,117.0,111622
80,Sun May 24 2020,12:27 am6:24 am12:30 pm6:26 pm,5534,5922,102659,,598.0,116.0,108581
81,Sat May 23 2020,12:27 am6:26 am12:26 pm6:27 pm,0,5612,97435,,590.0,113.0,103047
82,Fri May 22 2020,12:28 am6:29 am12:30 pm6:34 pm,3771,5612,97435,,584.0,113.0,103047
83,Thu May 21 2020,12:27 am6:25 am12:26 pm6:28 pm,3018,5458,93818,,535.0,110.0,99276
84,Wed May 20 2020,12:32 am6:27 am12:26 pm6:27 pm,2557,5003,91255,,535.0,107.0,96258
85,Tue May 19 2020,12:26 am6:26 am12:27 pm6:28 pm,8462,4923,88778,,535.0,102.0,93701
86,Mon May 18 2020,12:27 am6:27 am12:27 pm6:30 pm,54,4813,80426,,530.0,100.0,85239
87,Sun May 17 2020,12:27 am6:28 am12:27 pm6:28 pm,3541,4759,80426,,520.0,98.0,85185
88,Sat May 16 2020,12:26 am6:27 am12:27 pm6:27 pm,115,4578,77066,,520.0,98.0,81644
89,Fri May 15 2020,12:28 am6:27 am12:29 pm6:27 pm,5711,4463,77066,,520.0,98.0,81529
90,Thu May 14 2020,12:25 am6:27 am12:29 pm6:29 pm,2603,4236,71582,,509.0,97.0,75818
91,Wed May 13 2020,12:26 am6:25 am12:28 pm6:25 pm,2771,4164,69051,,497.0,95.0,73215
92,Tue May 12 2020,12:26 am6:26 am12:25 pm6:26 pm,1414,4164,66280,,485.0,95.0,70444
93,Mon May 11 2020,12:03 am6:03 am12:03 pm6:32 pm,3502,4034,64996,,480.0,94.0,69030
94,Sun May 10 2020,12:04 am6:03 am12:03 pm6:03 pm,0,3747,61781,,471.0,88.0,65528
95,Sat May 9 2020,12:03 am6:03 am12:03 pm6:03 pm,1534,3747,61781,,471.0,88.0,65528
96,Fri May 8 2020,12:03 am6:03 am12:03 pm6:03 pm,3999,3694,60300,,466.0,88.0,63994
97,Thu May 7 2020,12:04 am6:03 am12:03 pm6:03 pm,992,3611,56384,,462.0,87.0,59995
98,Wed May 6 2020,12:03 am6:03 am12:04 pm6:03 pm,4368,3568,55435,,453.0,85.0,59003
99,Tue May 5 2020,12:03 am6:03 am6:04 pm,193,3496,51139,,453.0,83.0,54635
100,Mon May 4 2020,12:03 am6:04 am12:04 pm6:03 pm,1552,3458,50984,,438.0,81.0,54442
101,Sun May 3 2020,12:04 am6:04 am12:04 pm6:03 pm,1308,3431,49459,,427.0,76.0,52890
102,Sat May 2 2020,12:04 am6:04 am12:04 pm6:04 pm,1906,3372,48210,,414.0,73.0,51582
103,Fri May 1 2020,12:04 am6:04 am12:04 pm6:04 pm,1297,3321,46355,,414.0,64.0,49676
104,Thu Apr 30 2020,12:04 pm6:04 pm,2930,3255,45124,,402.0,61.0,48379
105,Wed Apr 29 2020,12:04 am6:04 am6:04 pm,4778,3192,42257,,389.0,59.0,45449
106,Tue Apr 28 2020,12:04 am6:04 am12:04 pm,214,3111,37560,,,52.0,40671
107,Mon Apr 27 2020,12:04 am6:04 am12:04 pm6:04 pm,988,3017,37440,,,50.0,40457
108,Sun Apr 26 2020,12:04 am6:04 am12:04 pm6:04 pm,1416,2941,36528,,291.0,49.0,39469
109,Sat Apr 25 2020,12:04 am6:04 am12:04 pm6:04 pm,2475,2829,35224,,291.0,47.0,38053
110,Fri Apr 24 2020,12:04 am6:04 am12:04 pm6:04 pm,3988,2741,32837,,291.0,45.0,35578
111,Thu Apr 23 2020,12:04 am6:04 am12:04 pm6:04 pm,1877,2465,29125,,291.0,45.0,31590
112,Wed Apr 22 2020,12:04 am6:04 am12:04 pm6:04 pm,2272,2276,27437,,291.0,42.0,29713
113,Tue Apr 21 2020,6:02 am12:02 pm6:02 pm,888,2227,25214,,291.0,43.0,27441
114,Mon Apr 20 2020,6:02 am12:02 pm6:02 pm,2344,1923,24630,,291.0,42.0,26553
115,Sun Apr 19 2020,6:02 am12:02 pm6:02 pm,68,1781,22428,,291.0,40.0,24209
116,Sat Apr 18 2020,12:02 am6:02 pm,647,1739,22402,,291.0,38.0,24141
117,Fri Apr 17 2020,12:02 am6:02 am12:02 pm6:02 pm,819,1695,21799,,,37.0,23494
118,Thu Apr 16 2020,12:02 am12:02 pm6:02 pm,841,1620,21055,,,37.0,22675
119,Wed Apr 15 2020,12:02 am6:02 am12:02 pm6:02 pm,703,1569,20265,,130.0,33.0,21834
120,Tue Apr 14 2020,6:02 am12:02 pm6:02 pm,327,1480,19651,,130.0,30.0,21131
121,Mon Apr 13 2020,12:02 am12:02 pm6:02 pm,1082,1410,19394,,130.0,30.0,20804
122,Sun Apr 12 2020,12:02 am6:02 am12:02 pm6:02 pm,1144,1280,18442,,130.0,27.0,19722
123,Sat Apr 11 2020,12:02 am6:02 am12:02 pm6:02 pm,1458,1226,17352,,130.0,24.0,18578
