,Date,Screenshots (ET),New Tests,Cases,Negative,Pending,Hospitalized,Deaths,Total
0,Wed Aug 12 2020,12:04 am6:05 am12:09 pm6:05 pm,117188,586056,8717411,,,10648.0,9303467
1,Tue Aug 11 2020,12:04 am6:04 am12:05 pm6:04 pm,187926,574411,8611868,,,10468.0,9186279
2,Mon Aug 10 2020,12:04 am12:04 pm6:04 pm,172234,561911,8436442,,,10359.0,8998353
3,Sun Aug 9 2020,12:05 am6:04 am12:04 pm6:05 pm,118592,554160,8271959,,,10293.0,8826119
4,Sat Aug 8 2020,12:05 am6:05 am12:04 pm6:04 pm,110645,545787,8161740,,,10189.0,8707527
5,Fri Aug 7 2020,12:05 am6:05 am12:04 pm6:04 pm,96419,538416,8058466,,,10011.0,8596882
6,Thu Aug 6 2020,12:04 am6:04 am12:06 pm6:05 pm,91063,529980,7970483,,,9869.0,8500463
7,Wed Aug 5 2020,12:04 am6:04 am12:04 pm6:04 pm,103687,524722,7884678,,,9703.0,8409400
8,Tue Aug 4 2020,12:04 am6:04 am12:04 pm6:04 pm,121017,519427,7786286,,,9501.0,8305713
9,Mon Aug 3 2020,12:04 am6:04 am12:04 pm6:04 pm,148721,514901,7669795,,,9388.0,8184696
10,Sun Aug 2 2020,12:04 am6:05 am12:05 pm6:05 pm,149388,509162,7526813,,,9356.0,8035975
11,Sat Aug 1 2020,12:04 am6:05 am12:04 pm6:04 pm,75546,500130,7386457,,,9224.0,7886587
12,Fri Jul 31 2020,12:04 am6:05 am12:05 pm6:04 pm,177201,493588,7317453,,,9005.0,7811041
13,Thu Jul 30 2020,12:04 am6:04 am12:04 pm6:04 pm,116374,485502,7148338,,,8909.0,7633840
14,Wed Jul 29 2020,12:04 am6:04 am12:04 pm6:05 pm,99600,475305,7042161,,,8715.0,7517466
15,Tue Jul 28 2020,12:04 am6:04 am12:04 pm6:04 pm,121288,466550,6951316,,,8518.0,7417866
16,Mon Jul 27 2020,12:04 am6:04 am12:05 pm6:04 pm,128439,460550,6836028,,,8445.0,7296578
17,Sun Jul 26 2020,12:04 am6:04 am12:04 pm6:04 pm,120784,453659,6714480,,,8416.0,7168139
18,Sat Jul 25 2020,12:04 am6:04 am12:04 pm6:04 pm,131479,445400,6601955,,,8337.0,7047355
19,Fri Jul 24 2020,12:05 am6:05 am12:05 pm6:05 pm,137572,435334,6480542,,,8186.0,6915876
20,Thu Jul 23 2020,12:05 am6:05 am12:05 pm6:05 pm,113885,425616,6352688,,,8027.0,6778304
21,Wed Jul 22 2020,12:05 am6:05 am12:04 pm6:04 pm,127487,413576,6250843,,,7870.0,6664419
22,Tue Jul 21 2020,12:04 am6:04 am12:05 pm6:04 pm,122611,400769,6136163,,,7755.0,6536932
23,Mon Jul 20 2020,12:04 am6:04 am12:04 pm6:04 pm,127469,391538,6022783,,,7694.0,6414321
24,Sun Jul 19 2020,12:04 am6:04 am12:04 pm6:04 pm,119634,384692,5902160,,,7685.0,6286852
25,Sat Jul 18 2020,12:04 am6:05 am12:04 pm6:05 pm,123119,375363,5791855,,,7595.0,6167218
26,Fri Jul 17 2020,12:04 am6:04 am12:04 pm6:04 pm,128591,366164,5677935,,,7475.0,6044099
27,Thu Jul 16 2020,12:04 am6:04 am12:05 pm6:04 pm,122232,356178,5559330,,,7345.0,5915508
28,Wed Jul 15 2020,12:04 am12:04 pm,118321,347634,5445642,,,7227.0,5793276
29,Tue Jul 14 2020,12:04 am6:05 am12:04 pm6:05 pm,130590,336508,5338447,,,7087.0,5674955
30,Mon Jul 13 2020,12:05 am6:04 am12:04 pm6:04 pm,137766,329162,5215203,,,7040.0,5544365
31,Sun Jul 12 2020,12:04 am6:04 am12:04 pm6:04 pm,130904,320804,5085795,,,7017.0,5406599
32,Sat Jul 11 2020,12:05 am6:04 am12:04 pm6:05 pm,99958,312344,4963351,,,6945.0,5275695
33,Fri Jul 10 2020,12:04 am6:05 am12:04 pm6:04 pm,97303,304297,4871440,,,6851.0,5175737
34,Thu Jul 9 2020,12:04 am6:04 am12:04 pm6:04 pm,82259,296499,4781935,,,6711.0,5078434
35,Wed Jul 8 2020,12:04 am6:05 am12:05 pm6:04 pm,99805,289468,4706707,,,6562.0,4996175
36,Tue Jul 7 2020,12:33 am6:36 am12:33 pm,103017,277774,4618596,,,6448.0,4896370
37,Mon Jul 6 2020,12:34 am6:33 am12:38 pm6:35 pm,113215,271684,4521669,,,6337.0,4793353
38,Sun Jul 5 2020,12:34 am6:35 am12:33 pm6:39 pm,127107,265985,4414153,,,6331.0,4680138
39,Sat Jul 4 2020,12:33 am6:32 am12:33 pm6:43 pm,104855,257388,4295643,,,6313.0,4553031
40,Fri Jul 3 2020,6:34 am12:35 pm6:33 pm,109458,248235,4199941,,,6263.0,4448176
41,Thu Jul 2 2020,12:33 am6:34 am12:32 pm6:32 pm,84542,242547,4096171,,,6163.0,4338718
42,Wed Jul 1 2020,12:33 am6:34 am12:32 pm6:32 pm,87037,236139,4018037,,,6090.0,4254176
43,Tue Jun 30 2020,12:32 am6:31 am12:32 pm6:31 pm,105447,228732,3938407,,,5980.0,4167139
44,Mon Jun 29 2020,12:33 am6:34 am12:31 pm6:33 pm,105740,219252,3842440,,,5936.0,4061692
45,Sun Jun 28 2020,12:32 am6:31 am12:32 pm6:31 pm,93642,211243,3744709,,,5905.0,3955952
