,Date,Screenshots (ET),New Tests,Cases,Negative,Pending,Hospitalized,Deaths,Total
0,Wed Aug 12 2020,12:05 am6:05 am12:09 pm6:05 pm,4118,51441,549859,,6679.0,1751.0,601300
1,Tue Aug 11 2020,12:05 am6:05 am12:05 pm6:05 pm,5342,51039,546143,,6627.0,1746.0,597182
2,Mon Aug 10 2020,12:05 am6:05 am12:05 pm6:04 pm,5960,50660,541180,,6616.0,1736.0,591840
3,Sun Aug 9 2020,12:05 am6:05 am12:05 pm6:06 pm,6749,50324,535556,,6602.0,1736.0,585880
4,Sat Aug 8 2020,12:06 am6:05 am12:05 pm6:05 pm,7768,49893,529238,,6582.0,1736.0,579131
5,Fri Aug 7 2020,12:05 am6:05 am12:05 pm6:05 pm,6044,49436,521927,,6572.0,1729.0,571363
6,Thu Aug 6 2020,12:05 am6:05 am12:06 pm6:05 pm,9897,48988,516331,,6536.0,1717.0,565319
7,Wed Aug 5 2020,12:05 am6:05 am12:05 pm6:05 pm,3419,48394,507028,,6516.0,1710.0,555422
8,Tue Aug 4 2020,12:05 am6:05 am12:05 pm6:05 pm,4791,47968,504035,,6487.0,1710.0,552003
9,Mon Aug 3 2020,12:04 am6:05 am12:05 pm6:05 pm,6640,47716,499496,,6474.0,1691.0,547212
10,Sun Aug 2 2020,12:05 am6:05 am12:05 pm6:05 pm,7169,47267,493305,,6465.0,1691.0,540572
11,Sat Aug 1 2020,12:05 am6:05 am12:05 pm6:05 pm,7057,46809,486594,,6441.0,1691.0,533403
12,Fri Jul 31 2020,12:04 am6:05 am12:06 pm6:05 pm,6674,46204,480142,,6413.0,1691.0,526346
13,Thu Jul 30 2020,12:05 am6:04 am12:05 pm6:04 pm,7495,45796,473876,,6398.0,1688.0,519672
14,Wed Jul 29 2020,12:04 am6:05 am12:05 pm6:06 pm,11747,45314,466863,,6319.0,1679.0,512177
15,Tue Jul 28 2020,12:05 am6:05 am12:04 pm6:05 pm,2642,44565,455865,,6271.0,1668.0,500430
16,Mon Jul 27 2020,12:05 am6:05 am12:05 pm6:04 pm,7392,44336,453452,,6268.0,1661.0,497788
17,Sun Jul 26 2020,12:04 am6:05 am12:04 pm6:05 pm,10652,43789,446607,,6261.0,1661.0,490396
18,Sat Jul 25 2020,12:04 am6:05 am12:05 pm6:05 pm,8867,42980,436764,,6227.0,1661.0,479744
19,Fri Jul 24 2020,12:05 am6:05 am12:06 pm6:05 pm,5466,42314,428563,,6149.0,1645.0,470877
20,Thu Jul 23 2020,12:05 am6:05 am12:05 pm6:05 pm,8009,41698,423713,,6133.0,1643.0,465411
21,Wed Jul 22 2020,12:05 am6:05 am12:05 pm6:05 pm,6103,41059,416343,,6110.0,1643.0,457402
22,Tue Jul 21 2020,12:05 am6:05 am12:05 pm6:05 pm,9130,40566,410733,,6057.0,1615.0,451299
23,Mon Jul 20 2020,12:05 am6:05 am12:05 pm6:05 pm,6231,40142,402027,,6032.0,1615.0,442169
24,Sun Jul 19 2020,12:04 am6:05 am12:05 pm6:05 pm,5155,39788,396150,,6019.0,1615.0,435938
25,Sat Jul 18 2020,12:04 am6:05 am12:04 pm6:06 pm,6434,39344,391439,,5994.0,1615.0,430783
26,Fri Jul 17 2020,12:04 am6:05 am12:04 pm6:05 pm,8133,38726,385623,,5966.0,1615.0,424349
27,Thu Jul 16 2020,12:05 am6:05 am12:05 pm6:05 pm,6226,38155,378061,,5950.0,1601.0,416216
28,Wed Jul 15 2020,12:05 am6:05 am12:04 pm6:04 pm,5035,37686,372304,,5963.0,1594.0,409990
29,Tue Jul 14 2020,12:05 am6:05 am12:05 pm6:05 pm,5590,37242,367713,,5941.0,1589.0,404955
30,Mon Jul 13 2020,12:05 am6:05 am12:04 pm6:05 pm,7262,36913,362452,,5895.0,1586.0,399365
31,Sun Jul 12 2020,12:04 am6:05 am12:05 pm6:05 pm,6242,36591,355512,,5885.0,1586.0,392103
32,Sat Jul 11 2020,12:06 am6:05 am12:05 pm6:05 pm,8721,36191,349670,,5864.0,1586.0,385861
33,Fri Jul 10 2020,12:05 am6:05 am12:05 pm,6438,35525,341615,,5831.0,1581.0,377140
34,Thu Jul 9 2020,12:04 am6:05 am12:05 pm6:04 pm,5629,35116,335586,,5820.0,1544.0,370702
35,Wed Jul 8 2020,12:05 am6:05 am12:05 pm6:05 pm,4433,34664,330409,,5741.0,1542.0,365073
36,Tue Jul 7 2020,12:34 am6:36 am12:34 pm,4985,34257,326383,,5591.0,1542.0,360640
37,Mon Jul 6 2020,12:34 am6:33 am12:39 pm6:36 pm,4938,34065,321590,,5565.0,1521.0,355655
38,Sun Jul 5 2020,12:35 am6:35 am12:33 pm6:39 pm,4963,33866,316851,,5550.0,1521.0,350717
39,Sat Jul 4 2020,12:33 am6:33 am12:34 pm6:43 pm,5464,33619,312135,,5537.0,1521.0,345754
40,Fri Jul 3 2020,6:34 am12:35 pm6:34 pm,7035,33352,306938,,5527.0,1521.0,340290
41,Thu Jul 2 2020,12:34 am6:35 am12:32 pm6:33 pm,5752,33029,300226,,5513.0,1520.0,333255
42,Wed Jul 1 2020,12:34 am6:35 am12:33 pm6:32 pm,3646,32715,294788,,5489.0,1520.0,327503
43,Tue Jun 30 2020,12:33 am6:32 am12:33 pm6:31 pm,4292,32511,291346,,5442.0,1508.0,323857
44,Mon Jun 29 2020,12:33 am6:35 am12:32 pm6:33 pm,5854,32307,287258,,5401.0,1482.0,319565
45,Sun Jun 28 2020,12:32 am6:31 am12:33 pm6:32 pm,6128,32022,281689,,5399.0,1482.0,313711
46,Sat Jun 27 2020,12:32 am6:37 am12:33 pm6:31 pm,5006,31796,275787,,5392.0,1482.0,307583
47,Fri Jun 26 2020,12:32 am6:34 am12:31 pm6:34 pm,6512,31479,271098,,5386.0,1475.0,302577
48,Thu Jun 25 2020,12:31 am6:33 am12:34 pm6:32 pm,5231,31155,264910,,5375.0,1457.0,296065
49,Wed Jun 24 2020,12:31 am6:32 am12:32 pm6:32 pm,2958,30893,259941,,5366.0,1455.0,290834
50,Tue Jun 23 2020,12:34 am6:33 am12:33 pm6:31 pm,5104,30705,257171,,5343.0,1438.0,287876
51,Mon Jun 22 2020,6:31 am12:31 pm6:33 pm,4386,30539,252233,,5327.0,1429.0,282772
52,Sun Jun 21 2020,12:32 am6:30 am12:31 pm6:31 pm,5317,30349,248037,,5323.0,1429.0,278386
53,Sat Jun 20 2020,12:33 am6:32 am12:31 pm6:32 pm,8623,30187,242882,,5318.0,1429.0,273069
54,Fri Jun 19 2020,12:33 am6:33 am12:32 pm6:32 pm,2230,29901,234545,,5308.0,1417.0,264446
55,Thu Jun 18 2020,12:32 am6:32 am12:34 pm6:29 pm,5549,29673,232543,,5294.0,1402.0,262216
56,Wed Jun 17 2020,12:33 am6:33 am12:33 pm6:33 pm,3511,29442,227225,,5272.0,1373.0,256667
57,Tue Jun 16 2020,12:32 am6:31 am12:34 pm6:31 pm,4071,29299,223857,,5269.0,1373.0,253156
58,Mon Jun 15 2020,12:30 am6:31 am12:32 pm6:30 pm,4442,29130,219955,,5244.0,1348.0,249085
59,Sun Jun 14 2020,12:30 am6:32 am12:33 pm6:30 pm,8182,29017,215626,,5244.0,1348.0,244643
60,Sat Jun 13 2020,12:31 am6:32 am12:31 pm6:32 pm,2091,28822,207639,,5234.0,1348.0,236461
61,Fri Jun 12 2020,12:32 am6:33 am12:32 pm6:32 pm,4025,28647,205723,,5057.0,1339.0,234370
62,Thu Jun 11 2020,12:32 am6:32 am12:32 pm6:30 pm,4251,28499,201846,,5035.0,1328.0,230345
63,Wed Jun 10 2020,12:30 am6:31 am12:31 pm6:29 pm,4207,28347,197747,,5025.0,1312.0,226094
64,Tue Jun 9 2020,12:31 am6:30 am12:35 pm6:30 pm,4403,28183,193704,,4859.0,1292.0,221887
65,Mon Jun 8 2020,12:28 am6:31 am12:36 pm6:31 pm,4470,28001,189483,,4485.0,1274.0,217484
66,Sun Jun 7 2020,12:28 am6:31 am12:28 pm6:28 pm,4737,27848,185166,,4480.0,1274.0,213014
67,Sat Jun 6 2020,12:34 am6:29 am12:32 pm6:30 pm,4853,27615,180662,,4472.0,1274.0,208277
68,Fri Jun 5 2020,12:27 am6:27 am12:28 pm6:33 pm,6224,27360,176064,,4460.0,1255.0,203424
69,Thu Jun 4 2020,12:28 am6:29 am12:27 pm6:27 pm,3023,27060,170140,,4443.0,1254.0,197200
70,Wed Jun 3 2020,12:28 am6:28 am12:32 pm6:29 pm,3640,26788,167389,,4419.0,1228.0,194177
71,Tue Jun 2 2020,12:30 am6:30 am12:28 pm6:29 pm,4161,26577,163960,,4372.0,1185.0,190537
72,Mon Jun 1 2020,12:29 am6:31 am12:28 pm6:27 pm,5749,26378,159998,,4347.0,1181.0,186376
73,Sun May 31 2020,12:28 am6:29 am12:30 pm6:29 pm,4886,26098,154529,,4333.0,1181.0,180627
74,Sat May 30 2020,12:27 am6:28 am12:28 pm6:27 pm,6782,25613,150128,,4307.0,1181.0,175741
75,Fri May 29 2020,12:29 am6:28 am7:04 pm,5836,25121,143838,,4254.0,1168.0,168959
76,Thu May 28 2020,12:28 am6:29 am12:28 pm6:27 pm,3703,24767,138356,,4196.0,1135.0,163123
77,Wed May 27 2020,12:35 am6:27 am12:29 pm6:30 pm,3409,24565,134855,,4160.0,1114.0,159420
78,Tue May 26 2020,12:29 am6:30 am12:28 pm6:28 pm,5703,24269,131742,,4128.0,1088.0,156011
79,Mon May 25 2020,12:26 am6:28 am12:28 pm6:27 pm,257,24174,126134,,4119.0,1088.0,150308
80,Sun May 24 2020,12:28 am6:26 am12:32 pm6:28 pm,5099,23964,126087,,4105.0,1088.0,150051
81,Sat May 23 2020,12:29 am6:28 am12:28 pm6:28 pm,2727,23487,121465,,4082.0,1088.0,144952
82,Fri May 22 2020,12:31 am6:31 am12:32 pm6:36 pm,6614,23191,119034,,4037.0,1062.0,142225
83,Thu May 21 2020,12:28 am6:27 am12:28 pm6:29 pm,3774,22797,112814,,3990.0,1001.0,135611
84,Wed May 20 2020,12:33 am6:29 am12:27 pm6:28 pm,504,22482,109355,,3955.0,968.0,131837
85,Tue May 19 2020,12:28 am6:28 am12:29 pm6:30 pm,2838,22202,109131,,3899.0,921.0,131333
86,Mon May 18 2020,12:29 am6:29 am12:28 pm6:32 pm,2947,21938,106557,,3872.0,878.0,128495
87,Sun May 17 2020,12:29 am6:29 am12:29 pm,3708,21633,103915,,3866.0,878.0,125548
88,Sat May 16 2020,12:28 am6:29 am12:28 pm6:29 pm,3810,21232,100608,,3842.0,878.0,121840
89,Fri May 15 2020,12:29 am6:28 am12:30 pm6:29 pm,3511,20838,97192,,3789.0,1091.0,118030
90,Thu May 14 2020,12:27 am6:28 am12:30 pm6:31 pm,3269,20475,94044,,3735.0,1062.0,114519
91,Wed May 13 2020,12:28 am6:27 am12:30 pm6:28 pm,2593,20157,91093,,3695.0,1009.0,111250
92,Tue May 12 2020,12:27 am6:27 am12:27 pm6:27 pm,-133,19879,88778,,3663.0,987.0,108657
93,Mon May 11 2020,12:05 am6:05 am12:05 pm6:34 pm,4713,19899,88891,,3689.0,981.0,108790
94,Sun May 10 2020,12:05 am6:04 am12:05 pm6:04 pm,7305,19703,84374,,3623.0,967.0,104077
95,Sat May 9 2020,12:06 am6:05 am12:05 pm6:05 pm,2236,18827,77945,,3600.0,960.0,96772
96,Fri May 8 2020,12:05 am6:04 am12:05 pm6:05 pm,3189,18801,75735,,3557.0,961.0,94536
97,Thu May 7 2020,12:06 am6:05 am12:06 pm6:05 pm,5371,17830,73517,,2986.0,921.0,91347
98,Wed May 6 2020,12:05 am6:05 am12:06 pm6:05 pm,972,17364,68612,,2919.0,903.0,85976
99,Tue May 5 2020,12:05 am6:05 am12:06 pm6:05 pm,1914,16907,68097,,2838.0,851.0,85004
100,Mon May 4 2020,12:05 am6:06 am12:05 pm6:05 pm,3184,16635,66455,,2799.0,842.0,83090
101,Sun May 3 2020,12:06 am6:05 am12:05 pm6:04 pm,2957,16225,63681,,2793.0,832.0,79906
102,Sat May 2 2020,12:06 am6:06 am12:06 pm6:05 pm,4559,15768,61181,,2747.0,820.0,76949
103,Fri May 1 2020,12:06 am6:06 am12:05 pm6:05 pm,1331,15284,57106,,2697.0,777.0,72390
104,Thu Apr 30 2020,12:05 pm6:05 pm,1610,14758,56301,,2621.0,766.0,71059
105,Wed Apr 29 2020,12:05 am6:06 am6:05 pm,3108,14735,54714,,2610.0,760.0,69449
106,Tue Apr 28 2020,12:05 am6:05 am12:05 pm,3067,13879,52462,,2485.0,706.0,66341
107,Mon Apr 27 2020,12:06 am6:05 am12:06 pm6:05 pm,3483,13441,49833,,2438.0,680.0,63274
108,Sun Apr 26 2020,12:05 am6:05 am12:05 pm6:05 pm,3002,12968,46823,,2410.0,672.0,59791
109,Sat Apr 25 2020,12:05 am6:05 am12:05 pm6:06 pm,4465,12256,44533,,2366.0,674.0,56789
110,Fri Apr 24 2020,12:05 am6:05 am12:06 pm6:05 pm,1679,11262,41062,,2237.0,552.0,52324
111,Thu Apr 23 2020,12:05 am6:05 am12:05 pm6:06 pm,1941,10878,39767,,2123.0,508.0,50645
112,Wed Apr 22 2020,12:05 am6:05 am12:05 pm6:05 pm,1238,10447,38257,,2003.0,486.0,48704
113,Tue Apr 21 2020,6:03 am12:04 pm6:03 pm,1271,10106,37360,,1880.0,449.0,47466
114,Mon Apr 20 2020,6:04 am12:03 pm6:03 pm,1589,9730,36465,,1813.0,422.0,46195
115,Sun Apr 19 2020,6:05 am12:03 pm6:03 pm,1299,9433,35173,,1797.0,411.0,44606
116,Sat Apr 18 2020,12:03 am6:03 pm,1477,9047,34260,,1755.0,391.0,43307
117,Fri Apr 17 2020,12:03 am6:04 am12:04 pm6:03 pm,1297,8675,33155,,1693.0,374.0,41830
118,Thu Apr 16 2020,12:03 am12:04 pm6:03 pm,953,8280,32253,,1636.0,357.0,40533
119,Wed Apr 15 2020,12:04 am6:03 am12:04 pm6:04 pm,838,7941,31639,,1556.0,329.0,39580
120,Tue Apr 14 2020,6:04 am12:03 pm6:03 pm,1208,7691,31051,,1493.0,308.0,38742
121,Mon Apr 13 2020,12:03 am12:03 pm6:03 pm,2661,7684,29850,,1472.0,304.0,37534
122,Sun Apr 12 2020,12:03 am6:03 am12:04 pm6:03 pm,2220,6893,27980,,1376.0,274.0,34873
123,Sat Apr 11 2020,12:04 am6:03 am12:03 pm6:03 pm,0,6510,26143,,1312.0,250.0,32653
124,Fri Apr 10 2020,12:03 am10:32 am6:04 pm,3454,6510,26143,,1312.0,250.0,32653
125,Thu Apr 9 2020,9:38 am12:03 pm6:33 pm,1105,5655,23544,,1162.0,193.0,29199
126,Wed Apr 8 2020,,1219,5429,22665,,1079.0,179.0,28094
127,Tue Apr 7 2020,12:03 am6:04 am12:04 pm6:04 pm,1102,5172,21703,,994.0,150.0,26875
128,Mon Apr 6 2020,12:03 am6:04 am12:03 pm6:04 pm,1873,4950,20823,,924.0,140.0,25773
129,Sun Apr 5 2020,12:03 am6:03 am12:03 pm6:03 pm,1829,4565,19335,,875.0,126.0,23900
130,Sat Apr 4 2020,12:02 am6:03 am12:03 pm6:03 pm,1660,4173,17898,,823.0,111.0,22071
131,Fri Apr 3 2020,12:02 am6:02 am12:03 pm6:03 pm,1766,3728,16683,,710.0,97.0,20411
132,Thu Apr 2 2020,12:03 am6:02 am12:02 pm6:03 pm,1796,3342,15303,,620.0,80.0,18645
133,Wed Apr 1 2020,12:03 am6:01 am12:01 pm6:02 pm,1485,2966,13883,,509.0,69.0,16849
134,Tue Mar 31 2020,12:03 am6:02 am12:02 pm6:02 pm,0,2627,12737,,414.0,51.0,15364
135,Mon Mar 30 2020,6:02 am12:02 pm6:02 pm,2088,2627,12737,,414.0,51.0,15364
136,Sun Mar 29 2020,1:02 am4:02 pm7:02 pm,1600,2061,11215,,274.0,44.0,13276
137,Sat Mar 28 2020,1:03 am4:03 pm7:03 pm,1554,1734,9942,,239.0,31.0,11676
138,Fri Mar 27 2020,4:02 pm7:02 pm,2058,1430,8692,,184.0,24.0,10122
139,Thu Mar 26 2020,1:02 am2:02 pm,363,1086,6978,,148.0,19.0,8064
140,Wed Mar 25 2020,12:44 am2:02 pm7:02 pm,1477,912,6789,,84.0,11.0,7701
141,Tue Mar 24 2020,1:01 am2:01 pm7:01 pm,788,720,5504,,72.0,7.0,6224
142,Mon Mar 23 2020,1:01 am2:01 pm7:01 pm,886,591,4845,,58.0,6.0,5436
143,Sun Mar 22 2020,1:01 am2:01 pm7:01 pm,870,475,4075,,49.0,5.0,4550
144,Sat Mar 21 2020,1:01 am2:01 pm7:01 pm,728,363,3317,,44.0,4.0,3680
145,Fri Mar 20 2020,1:01 am2:01 pm7:03 pm,624,277,2675,,,3.0,2952
146,Thu Mar 19 2020,1:01 am2:02 pm7:01 pm,528,216,2112,,,2.0,2328
147,Wed Mar 18 2020,1:01 am2:03 pm7:01 pm,584,183,1617,,,2.0,1800
148,Tue Mar 17 2020,11:06 pm2:10 pm6:01 pm,458,160,1056,,,1.0,1216
149,Mon Mar 16 2020,10:54 am,0,131,627,,,1.0,758
150,Sun Mar 15 2020,2:15 am4:33 pm,47,131,627,,,1.0,758
151,Sat Mar 14 2020,,115,101,610,,,1.0,711
152,Fri Mar 13 2020,,253,72,524,,,,596
153,Thu Mar 12 2020,,64,45,298,,,,343
154,Wed Mar 11 2020,,125,28,251,,,,279
155,Tue Mar 10 2020,,12,12,142,1.0,,,154
156,Mon Mar 9 2020,,30,9,133,,,,142
157,Sun Mar 8 2020,,49,8,104,,,,112
158,Sat Mar 7 2020,,15,8,55,69.0,,,63
159,Fri Mar 6 2020,,29,2,46,30.0,,,48
160,Thu Mar 5 2020,,0,0,19,21.0,,,19
