,Date,Screenshots (ET),New Tests,Cases,Negative,Pending,Hospitalized,Deaths,Total
0,Wed Aug 12 2020,12:06 am6:07 am12:11 pm6:07 pm,38304,550901,3536678,3529.0,32349.0,8898.0,4087579
1,Tue Aug 11 2020,12:06 am6:06 am12:07 pm6:06 pm,35418,542792,3506483,3444.0,31750.0,8685.0,4049275
2,Mon Aug 10 2020,12:07 pm6:06 pm,28194,536961,3476896,3362.0,31177.0,8408.0,4013857
3,Sun Aug 9 2020,12:07 am6:07 am6:08 pm,39791,532806,3452857,3353.0,30893.0,8315.0,3985663
4,Sat Aug 8 2020,6:06 am12:06 pm,48933,526577,3419295,3350.0,30639.0,8238.0,3945872
5,Fri Aug 7 2020,12:07 am6:07 am12:07 pm6:06 pm,39576,518075,3378864,3374.0,30114.0,8051.0,3896939
6,Thu Aug 6 2020,12:06 am6:06 am6:07 pm,42479,510389,3346974,3325.0,29515.0,7871.0,3857363
7,Wed Aug 5 2020,12:06 am6:06 am12:07 pm,30426,502739,3312145,3277.0,28956.0,7751.0,3814884
8,Tue Aug 4 2020,12:06 am6:06 am12:07 pm6:06 pm,31660,497330,3287128,3280.0,28333.0,7526.0,3784458
9,Mon Aug 3 2020,12:06 am6:06 am12:07 pm6:06 pm,31801,491884,3260914,3228.0,27744.0,7279.0,3752798
10,Sun Aug 2 2020,12:06 am6:07 am12:07 pm6:07 pm,41554,487132,3233865,3394.0,27524.0,7206.0,3720997
11,Sat Aug 1 2020,12:06 am12:06 pm6:07 pm,51355,480028,3199415,3409.0,27344.0,7144.0,3679443
12,Fri Jul 31 2020,12:06 am6:07 am12:07 pm6:07 pm,48971,470386,3157702,3363.0,26905.0,6966.0,3628088
13,Thu Jul 30 2020,12:06 pm6:05 pm,52352,461379,3117738,3304.0,26386.0,6709.0,3579117
14,Wed Jul 29 2020,6:06 am12:06 pm6:07 pm,46466,451423,3075342,3220.0,25867.0,6457.0,3526765
15,Tue Jul 28 2020,12:06 am6:06 am12:06 pm6:07 pm,48802,441977,3038322,3017.0,25280.0,6240.0,3480299
16,Mon Jul 27 2020,12:06 am6:07 am12:07 pm6:06 pm,44994,432747,2998750,2902.0,24690.0,6049.0,3431497
17,Sun Jul 26 2020,12:06 am6:06 am6:06 pm,50126,423855,2962648,2871.0,24421.0,5972.0,3386503
18,Sat Jul 25 2020,12:06 am6:07 am12:06 pm,59741,414511,2921866,2850.0,24086.0,5894.0,3336377
19,Fri Jul 24 2020,12:07 pm6:07 pm,65694,402312,2874324,2727.0,23575.0,5768.0,3276636
20,Thu Jul 23 2020,12:07 am6:08 am12:07 pm,56231,389868,2821074,2626.0,22991.0,5632.0,3210942
21,Wed Jul 22 2020,12:08 am6:07 am12:06 pm6:07 pm,54961,379619,2775092,2524.0,22588.0,5459.0,3154711
22,Tue Jul 21 2020,12:07 am6:07 am6:06 pm,47644,369834,2729916,2462.0,22123.0,5319.0,3099750
23,Mon Jul 20 2020,12:06 am6:07 am12:06 pm6:07 pm,49465,360394,2691712,2391.0,21605.0,5183.0,3052106
