,Date,Screenshots (ET),New Tests,Cases,Negative,Pending,Hospitalized,Deaths,Total
0,Wed Aug 12 2020,12:07 am6:08 am12:12 pm6:08 pm,21257,226153,1690589.0,,21379.0,4456.0,1916742
1,Tue Aug 11 2020,12:07 am6:07 am12:08 pm6:07 pm,33523,222588,1672897.0,,21031.0,4351.0,1895485
2,Mon Aug 10 2020,12:07 am6:08 am12:08 pm6:07 pm,26914,219025,1642937.0,,20676.0,4229.0,1861962
3,Sun Aug 9 2020,12:07 am6:08 am12:07 pm6:09 pm,37082,216596,1618452.0,,20628.0,4199.0,1835048
4,Sat Aug 8 2020,12:09 am6:07 am12:07 pm6:07 pm,44837,213427,1584539.0,,20556.0,4186.0,1797966
5,Fri Aug 7 2020,12:08 am6:08 am12:08 pm6:07 pm,28367,209004,1544125.0,,20282.0,4117.0,1753129
6,Thu Aug 6 2020,12:07 am6:07 am12:09 pm6:08 pm,29538,204895,1519867.0,,20002.0,4026.0,1724762
7,Wed Aug 5 2020,12:07 am6:07 am12:08 pm6:07 pm,30812,201713,1493511.0,,19788.0,3984.0,1695224
8,Tue Aug 4 2020,12:07 am6:07 am12:08 pm6:07 pm,18011,197948,1466464.0,,19426.0,3842.0,1664412
9,Mon Aug 3 2020,12:07 am6:07 am12:08 pm6:07 pm,21761,195435,1450966.0,,19124.0,3842.0,1646401
10,Sun Aug 2 2020,12:06 am6:08 am12:08 pm6:08 pm,28555,193177,1431463.0,,19064.0,3840.0,1624640
11,Sat Aug 1 2020,12:07 am6:08 am12:07 pm6:07 pm,21398,190012,1406073.0,,18995.0,3825.0,1596085
12,Fri Jul 31 2020,12:07 am6:08 am12:08 pm6:08 pm,33298,186352,1388335.0,,18689.0,3752.0,1574687
13,Thu Jul 30 2020,12:07 am6:06 am12:07 pm6:06 pm,28925,182286,1359103.0,,18303.0,3671.0,1541389
14,Wed Jul 29 2020,12:07 am6:07 am12:06 pm6:08 pm,25138,178323,1334141.0,,17964.0,3642.0,1512464
15,Tue Jul 28 2020,12:07 am6:07 am12:07 pm6:08 pm,34363,175052,1312274.0,,17544.0,3563.0,1487326
16,Mon Jul 27 2020,12:07 am6:08 am12:07 pm6:07 pm,24018,170843,1282120.0,,17138.0,3509.0,1452963
17,Sun Jul 26 2020,12:07 am6:07 am12:07 pm6:07 pm,21105,167953,1260992.0,,17091.0,3498.0,1428945
18,Sat Jul 25 2020,12:07 am6:07 am12:07 pm6:07 pm,25396,165188,1242652.0,,17029.0,3495.0,1407840
19,Fri Jul 24 2020,12:08 am6:08 am12:08 pm6:07 pm,45506,161401,1221043.0,,16752.0,3442.0,1382444
20,Thu Jul 23 2020,12:08 am6:09 am12:08 pm6:08 pm,20094,156588,1180350.0,,16353.0,3360.0,1336938
21,Wed Jul 22 2020,12:09 am6:08 am12:07 pm6:08 pm,21553,152302,1164542.0,,15922.0,3335.0,1316844
22,Tue Jul 21 2020,12:07 am6:08 am12:08 pm6:07 pm,21510,148988,1146303.0,,15494.0,3254.0,1295291
23,Mon Jul 20 2020,12:07 am6:08 am12:07 pm6:08 pm,18462,145575,1128206.0,,15047.0,3176.0,1273781
24,Sun Jul 19 2020,12:07 am6:08 am12:08 pm6:08 pm,23513,143123,1112196.0,,15010.0,3173.0,1255319
25,Sat Jul 18 2020,12:07 am6:08 am12:07 pm6:08 pm,33128,139872,1091934.0,,14961.0,3168.0,1231806
26,Fri Jul 17 2020,12:07 am6:09 am12:07 pm6:07 pm,20456,135183,1063495.0,,14647.0,3132.0,1198678
27,Thu Jul 16 2020,12:07 am6:07 am12:08 pm6:08 pm,23239,131275,1046947.0,,14346.0,3104.0,1178222
