,Date,Screenshots (ET),New Tests,Cases,Negative,Pending,Hospitalized,Deaths,Total
0,Wed Aug 12 2020,12:09 am6:10 am12:14 pm6:10 pm,42098,199893,2991208,,,7881.0,3191101
1,Tue Aug 11 2020,12:09 am6:09 am12:11 pm6:09 pm,41362,198248,2950755,,,7866.0,3149003
2,Mon Aug 10 2020,12:09 am6:10 am12:11 pm6:09 pm,32353,196699,2910942,,,7846.0,3107641
3,Sun Aug 9 2020,12:10 am6:11 am12:10 pm6:12 pm,41354,195380,2879908,,,7845.0,3075288
4,Sat Aug 8 2020,12:11 am6:09 am12:09 pm6:09 pm,48016,193998,2839936,,,7840.0,3033934
5,Fri Aug 7 2020,12:10 am6:11 am12:10 pm6:09 pm,46888,191808,2794110,,,7822.0,2985918
6,Thu Aug 6 2020,12:09 am6:10 am12:11 pm6:10 pm,41686,189705,2749325,,,7791.0,2939030
7,Wed Aug 5 2020,12:09 am6:09 am12:10 pm6:10 pm,46668,187752,2709592,,,7770.0,2897344
8,Tue Aug 4 2020,12:09 am6:09 am12:10 pm6:10 pm,42598,185993,2664683,,,7742.0,2850676
9,Mon Aug 3 2020,12:09 am6:09 am12:11 pm6:10 pm,28475,184522,2623556,,,7723.0,2808078
10,Sun Aug 2 2020,12:09 am6:11 am12:10 pm6:10 pm,38945,183224,2596379,,,7714.0,2779603
11,Sat Aug 1 2020,12:10 am6:11 am12:09 pm6:10 pm,39809,181757,2558901,,,7700.0,2740658
12,Fri Jul 31 2020,12:09 am6:10 am12:11 pm6:10 pm,49821,180118,2520731,,,7692.0,2700849
13,Thu Jul 30 2020,12:10 am6:09 am12:09 pm6:09 pm,41134,178138,2472890,,,7670.0,2651028
14,Wed Jul 29 2020,12:09 am6:09 am12:09 pm6:11 pm,38187,176366,2433528,,,7654.0,2609894
15,Tue Jul 28 2020,12:09 am6:10 am12:09 pm6:10 pm,28331,174973,2396734,,,7638.0,2571707
16,Mon Jul 27 2020,12:09 am6:10 am12:10 pm6:09 pm,30567,173897,2369479,,,7608.0,2543376
17,Sun Jul 26 2020,12:09 am6:10 am12:10 pm6:09 pm,40844,172666,2340143,,,7590.0,2512809
18,Sat Jul 25 2020,12:09 am6:10 am12:10 pm6:09 pm,38200,171125,2300840,,,7589.0,2471965
19,Fri Jul 24 2020,12:12 am6:11 am12:11 pm6:11 pm,44397,169699,2264066,,,7577.0,2433765
20,Thu Jul 23 2020,12:11 am6:12 am12:11 pm6:11 pm,39706,168100,2221268,,,7560.0,2389368
21,Wed Jul 22 2020,12:12 am6:11 am12:10 pm6:11 pm,39633,166476,2183186,,,7540.0,2349662
22,Tue Jul 21 2020,12:11 am6:11 am12:12 pm6:10 pm,29745,164878,2145151,,,7517.0,2310029
23,Mon Jul 20 2020,12:10 am6:11 am12:10 pm6:11 pm,34598,163923,2116361,,,7494.0,2280284
24,Sun Jul 19 2020,12:10 am6:11 am12:11 pm6:11 pm,32113,162750,2082936,,,7488.0,2245686
25,Sat Jul 18 2020,12:09 am6:11 am12:10 pm6:11 pm,46099,161785,2051788,,,7483.0,2213573
26,Fri Jul 17 2020,12:10 am6:12 am12:10 pm6:10 pm,43735,160509,2006965,,,7465.0,2167474
27,Thu Jul 16 2020,12:10 am6:10 am12:11 pm6:11 pm,43006,159082,1964657,,,7452.0,2123739
28,Wed Jul 15 2020,12:10 am6:11 am12:10 pm6:10 pm,38161,157825,1922908,,,7427.0,2080733
29,Tue Jul 14 2020,12:10 am6:11 am12:11 pm6:11 pm,28446,156638,1885934,,,7419.0,2042572
30,Mon Jul 13 2020,12:11 am6:10 am12:09 pm6:10 pm,30012,155931,1858195,,,7394.0,2014126
31,Sun Jul 12 2020,12:10 am6:10 am12:11 pm6:11 pm,38894,155048,1829066,,,7388.0,1984114
32,Sat Jul 11 2020,12:12 am6:11 am12:10 pm6:10 pm,32345,154094,1791126,,,7369.0,1945220
33,Fri Jul 10 2020,12:11 am6:11 am12:11 pm6:11 pm,32997,152899,1759976,,,7345.0,1912875
34,Thu Jul 9 2020,12:10 am6:10 am12:10 pm6:11 pm,36180,151572,1728306,,,7329.0,1879878
35,Wed Jul 8 2020,12:10 am6:10 am12:11 pm6:10 pm,32742,150554,1693144,,,7309.0,1843698
36,Tue Jul 7 2020,12:39 am6:41 am12:38 pm,26994,149574,1661382,,,7273.0,1810956
37,Mon Jul 6 2020,12:39 am6:38 am12:43 pm6:41 pm,21134,148987,1634975,,,7236.0,1783962
38,Sun Jul 5 2020,12:39 am6:40 am12:38 pm6:44 pm,27235,148373,1614455,,,7230.0,1762828
39,Sat Jul 4 2020,12:38 am6:38 am12:38 pm6:49 pm,33836,147734,1587859,,,7224.0,1735593
40,Fri Jul 3 2020,6:39 am12:41 pm6:38 pm,34387,146872,1554885,,,7215.0,1701757
41,Thu Jul 2 2020,12:39 am6:40 am12:38 pm6:38 pm,30262,145935,1521435,,,7188.0,1667370
42,Wed Jul 1 2020,12:39 am6:40 am12:38 pm6:37 pm,33090,145066,1492042,,,7152.0,1637108
43,Tue Jun 30 2020,12:38 am6:36 am12:38 pm6:36 pm,31069,144238,1459780,,,7124.0,1604018
