,Date,Screenshots (ET),New Tests,Cases,Negative,Pending,Hospitalized,Deaths,Total
0,Wed Aug 12 2020,12:10 am6:12 am12:15 pm6:11 pm,7894,32547,302016,,1975.0,395.0,334563
1,Tue Aug 11 2020,12:10 am6:10 am12:12 pm6:11 pm,0,31730,294939,,1911.0,387.0,326669
2,Mon Aug 10 2020,12:11 am6:11 am12:12 pm6:10 pm,10157,31730,294939,,1911.0,387.0,326669
3,Sun Aug 9 2020,12:11 am6:12 am12:11 pm6:13 pm,0,30638,285874,,1875.0,380.0,316512
4,Sat Aug 8 2020,12:12 am6:11 am12:10 pm6:11 pm,0,30638,285874,,1875.0,380.0,316512
5,Fri Aug 7 2020,12:12 am6:12 am12:11 pm6:10 pm,7794,30638,285874,,1875.0,380.0,316512
6,Thu Aug 6 2020,12:10 am6:11 am12:12 pm6:11 pm,0,29717,279001,,1821.0,368.0,308718
7,Wed Aug 5 2020,12:10 am6:10 am12:11 pm6:11 pm,6879,29717,279001,,1821.0,368.0,308718
8,Tue Aug 4 2020,12:10 am6:10 am12:11 pm6:11 pm,0,28876,272963,,1782.0,365.0,301839
9,Mon Aug 3 2020,12:10 am6:10 am12:11 pm6:11 pm,9332,28876,272963,,1782.0,365.0,301839
10,Sun Aug 2 2020,12:09 am6:11 am12:10 pm6:11 pm,0,27812,264695,,1751.0,358.0,292507
11,Sat Aug 1 2020,12:10 am6:12 am12:09 pm6:10 pm,0,27812,264695,,1751.0,358.0,292507
12,Fri Jul 31 2020,12:10 am6:11 am12:11 pm6:10 pm,7558,27812,264695,,1751.0,358.0,292507
13,Thu Jul 30 2020,12:11 am6:09 am12:10 pm6:09 pm,0,26870,258079,,1700.0,349.0,284949
14,Wed Jul 29 2020,12:10 am6:10 am12:09 pm6:11 pm,6013,26870,258079,,1700.0,349.0,284949
15,Tue Jul 28 2020,12:10 am6:11 am12:10 pm6:11 pm,0,26172,252764,,1644.0,335.0,278936
16,Mon Jul 27 2020,12:09 am6:11 am12:10 pm6:09 pm,969,26172,252764,,1644.0,335.0,278936
17,Sun Jul 26 2020,12:10 am6:11 am12:10 pm6:10 pm,0,25109,252858,,1596.0,326.0,277967
18,Sat Jul 25 2020,12:10 am6:10 am12:10 pm6:09 pm,0,25109,252858,,1596.0,326.0,277967
19,Fri Jul 24 2020,12:13 am6:11 am12:12 pm6:11 pm,9281,25109,252858,,1596.0,326.0,277967
20,Thu Jul 23 2020,12:12 am6:13 am12:12 pm6:11 pm,0,24104,244582,,1545.0,308.0,268686
21,Wed Jul 22 2020,12:13 am6:11 am12:11 pm6:12 pm,7155,24104,244582,,1545.0,308.0,268686
22,Tue Jul 21 2020,12:11 am6:12 am12:13 pm6:11 pm,0,23334,238197,,1497.0,307.0,261531
23,Mon Jul 20 2020,12:11 am6:12 am12:11 pm6:11 pm,12178,23334,238197,,1497.0,307.0,261531
24,Sun Jul 19 2020,12:10 am6:12 am12:12 pm6:11 pm,0,21965,227388,,1453.0,299.0,249353
25,Sat Jul 18 2020,12:10 am6:12 am12:10 pm6:12 pm,0,21965,227388,,1453.0,299.0,249353
26,Fri Jul 17 2020,12:11 am6:13 am12:11 pm6:11 pm,9979,21965,227388,,1453.0,299.0,249353
27,Thu Jul 16 2020,12:11 am6:10 am12:11 pm6:11 pm,0,20933,218441,,1393.0,299.0,239374
28,Wed Jul 15 2020,12:11 am6:12 am12:10 pm6:10 pm,8199,20933,218441,,1393.0,299.0,239374
29,Tue Jul 14 2020,12:11 am6:12 am12:11 pm6:12 pm,0,20058,211117,,1343.0,288.0,231175
30,Mon Jul 13 2020,12:11 am6:11 am12:10 pm6:11 pm,13396,20058,211117,,1343.0,288.0,231175
31,Sun Jul 12 2020,12:11 am6:11 am12:12 pm6:12 pm,0,18611,199168,,1304.0,284.0,217779
32,Sat Jul 11 2020,12:13 am6:12 am12:10 pm6:10 pm,0,18611,199168,,1304.0,284.0,217779
33,Fri Jul 10 2020,12:11 am6:11 am12:12 pm6:11 pm,9297,18611,199168,,1304.0,284.0,217779
34,Thu Jul 9 2020,12:10 am6:11 am12:11 pm6:11 pm,0,17618,190864,,1269.0,282.0,208482
35,Wed Jul 8 2020,12:11 am6:11 am12:11 pm6:11 pm,6263,17618,190864,,1269.0,282.0,208482
36,Tue Jul 7 2020,12:40 am6:42 am12:39 pm,0,16901,185318,,1235.0,280.0,202219
37,Mon Jul 6 2020,12:39 am6:39 am12:44 pm6:41 pm,10658,16901,185318,,1235.0,280.0,202219
38,Sun Jul 5 2020,12:40 am6:41 am12:38 pm6:44 pm,0,15919,175642,,1219.0,277.0,191561
39,Sat Jul 4 2020,12:39 am6:38 am12:38 pm6:49 pm,0,15919,175642,,1219.0,277.0,191561
40,Fri Jul 3 2020,6:40 am12:42 pm6:39 pm,8388,15919,175642,,1219.0,277.0,191561
41,Thu Jul 2 2020,12:40 am6:40 am12:38 pm6:38 pm,0,14990,168183,,1195.0,272.0,183173
42,Wed Jul 1 2020,12:39 am6:41 am12:38 pm6:37 pm,6448,14990,168183,,1152.0,272.0,183173
43,Tue Jun 30 2020,12:38 am6:36 am12:39 pm6:36 pm,0,14443,162282,,1152.0,270.0,176725
44,Mon Jun 29 2020,12:38 am6:39 am12:37 pm6:38 pm,8866,14443,162282,,1152.0,270.0,176725
45,Sun Jun 28 2020,12:37 am6:37 am12:38 pm6:37 pm,0,13538,154321,,1128.0,264.0,167859
46,Sat Jun 27 2020,12:37 am6:44 am12:38 pm6:36 pm,0,13538,154321,,1128.0,264.0,167859
47,Fri Jun 26 2020,12:37 am6:39 am12:36 pm6:39 pm,6154,13538,154321,,1128.0,264.0,167859
48,Thu Jun 25 2020,12:37 am6:39 am12:39 pm6:37 pm,0,12970,148735,,1082.0,261.0,161705
49,Wed Jun 24 2020,12:37 am6:37 am12:37 pm6:37 pm,6692,12970,148735,,1082.0,261.0,161705
50,Tue Jun 23 2020,12:39 am6:38 am12:38 pm6:36 pm,0,12465,142548,,1056.0,259.0,155013
51,Mon Jun 22 2020,12:35 am6:36 am12:36 pm6:38 pm,7364,12465,142548,,1056.0,259.0,155013
52,Sun Jun 21 2020,12:37 am6:35 am12:37 pm6:36 pm,0,12059,135590,,1035.0,254.0,147649
53,Sat Jun 20 2020,12:38 am6:37 am12:36 pm6:37 pm,0,12059,135590,,1035.0,254.0,147649
54,Fri Jun 19 2020,12:37 am6:38 am12:37 pm6:37 pm,5525,12059,135590,,1035.0,254.0,147649
55,Thu Jun 18 2020,12:37 am6:37 am12:39 pm6:33 pm,0,11681,130443,,1011.0,247.0,142124
56,Wed Jun 17 2020,12:38 am6:38 am12:38 pm6:38 pm,5162,11681,130443,,1011.0,247.0,142124
57,Tue Jun 16 2020,12:38 am6:36 am12:39 pm6:35 pm,0,11419,125543,,988.0,245.0,136962
58,Mon Jun 15 2020,12:35 am6:37 am12:37 pm6:35 pm,7810,11419,125543,,988.0,245.0,136962
59,Sun Jun 14 2020,12:35 am6:37 am12:38 pm6:35 pm,0,11047,118105,,973.0,243.0,129152
60,Sat Jun 13 2020,12:36 am6:38 am12:36 pm6:37 pm,0,11047,118105,,973.0,243.0,129152
61,Fri Jun 12 2020,12:37 am6:38 am12:37 pm6:37 pm,5410,11047,118105,,973.0,243.0,129152
62,Thu Jun 11 2020,12:37 am6:37 am12:37 pm6:35 pm,0,10812,112930,,954.0,240.0,123742
63,Wed Jun 10 2020,12:35 am6:37 am12:36 pm6:34 pm,4233,10812,112930,,954.0,240.0,123742
64,Tue Jun 9 2020,12:37 am6:35 am12:40 pm6:35 pm,0,10650,108859,,936.0,236.0,119509
65,Mon Jun 8 2020,12:34 am6:36 am12:41 pm6:41 pm,5856,10650,108859,,936.0,236.0,119509
66,Sun Jun 7 2020,12:33 am6:37 am12:34 pm6:35 pm,0,10393,103260,,917.0,232.0,113653
67,Sat Jun 6 2020,12:39 am6:34 am12:37 pm6:36 pm,0,10393,103260,,917.0,232.0,113653
68,Fri Jun 5 2020,12:32 am6:33 am12:33 pm6:39 pm,5600,10393,103260,,917.0,232.0,113653
69,Thu Jun 4 2020,12:34 am6:34 am12:33 pm6:33 pm,0,10170,97883,,890.0,222.0,108053
70,Wed Jun 3 2020,12:34 am6:33 am12:37 pm6:35 pm,4741,10170,97883,,890.0,222.0,108053
71,Tue Jun 2 2020,12:35 am6:36 am12:34 pm6:34 pm,8071,10011,93301,,862.0,217.0,103312
72,Mon Jun 1 2020,12:34 am6:36 am12:33 pm6:33 pm,292,10011,85230,,842.0,217.0,95241
73,Sun May 31 2020,12:34 am6:34 am12:36 pm6:35 pm,0,9719,85230,,842.0,208.0,94949
74,Sat May 30 2020,12:33 am6:33 am12:33 pm6:33 pm,0,9719,85230,,842.0,208.0,94949
75,Fri May 29 2020,12:34 am6:33 am7:10 pm,10461,9719,85230,,842.0,208.0,94949
76,Thu May 28 2020,12:34 am6:35 am12:33 pm6:33 pm,0,9337,75151,,822.0,205.0,84488
77,Wed May 27 2020,12:40 am6:32 am12:34 pm6:36 pm,3089,9337,75151,,822.0,205.0,84488
78,Tue May 26 2020,12:34 am6:35 am12:33 pm6:33 pm,0,9218,72181,,800.0,188.0,81399
79,Mon May 25 2020,12:32 am6:32 am12:33 pm6:32 pm,4965,9218,72181,,800.0,188.0,81399
80,Sun May 24 2020,12:33 am6:31 am12:37 pm6:33 pm,0,8958,67476,,787.0,185.0,76434
81,Sat May 23 2020,12:34 am6:33 am12:32 pm6:34 pm,0,8958,67476,,787.0,185.0,76434
82,Fri May 22 2020,12:36 am6:37 am12:37 pm6:41 pm,5231,8958,67476,,787.0,185.0,76434
83,Thu May 21 2020,12:34 am6:32 am12:32 pm6:35 pm,0,8539,62664,,760.0,178.0,71203
84,Wed May 20 2020,12:39 am6:34 am12:32 pm6:33 pm,4213,8539,62664,,760.0,178.0,71203
85,Tue May 19 2020,12:33 am6:33 am12:34 pm6:35 pm,0,8340,58650,,740.0,173.0,66990
86,Mon May 18 2020,12:34 am6:34 am12:33 pm6:37 pm,5398,8340,58650,,740.0,173.0,66990
87,Sun May 17 2020,12:34 am6:35 am12:35 pm6:36 pm,0,7886,53706,,724.0,172.0,61592
88,Sat May 16 2020,12:34 am6:34 am12:33 pm6:34 pm,0,7886,53706,,724.0,172.0,61592
89,Fri May 15 2020,12:34 am6:33 am12:35 pm6:35 pm,3964,7886,53706,,724.0,172.0,61592
90,Thu May 14 2020,12:32 am6:34 am12:35 pm6:36 pm,0,7468,50160,,704.0,164.0,57628
91,Wed May 13 2020,12:34 am6:32 am12:35 pm6:33 pm,3519,7468,50160,,704.0,164.0,57628
