,Date,Screenshots (ET),New Tests,Cases,Negative,Pending,Hospitalized,Deaths,Total
0,Wed Aug 12 2020,12:11 am6:12 am12:16 pm6:11 pm,6420,36945,637830,,4091.0,790.0,674775
1,Tue Aug 11 2020,12:11 am6:10 am12:12 pm6:11 pm,10548,35793,632562,,4063.0,783.0,668355
2,Mon Aug 10 2020,12:11 am6:11 am12:13 pm6:11 pm,8968,35254,622553,,4024.0,775.0,657807
3,Sun Aug 9 2020,12:11 am6:13 am12:11 pm6:13 pm,404,34982,613857,,4002.0,773.0,648839
4,Sat Aug 8 2020,12:13 am6:11 am12:10 pm6:11 pm,6441,34578,613857,,4002.0,772.0,648435
5,Fri Aug 7 2020,12:12 am6:12 am12:12 pm6:10 pm,9550,33796,608198,,3975.0,764.0,641994
6,Thu Aug 6 2020,12:11 am6:11 am12:12 pm6:12 pm,11622,33254,599190,,3924.0,760.0,632444
7,Wed Aug 5 2020,12:11 am6:11 am12:11 pm6:12 pm,12967,32741,588081,,3903.0,752.0,620822
8,Tue Aug 4 2020,12:10 am6:10 am12:11 pm6:11 pm,7562,32197,575658,,3851.0,751.0,607855
9,Mon Aug 3 2020,12:10 am6:10 am12:12 pm6:11 pm,3157,31508,568785,,3815.0,744.0,600293
10,Sun Aug 2 2020,12:10 am6:12 am12:11 pm6:11 pm,462,31185,565951,,3782.0,742.0,597136
11,Sat Aug 1 2020,12:11 am6:12 am12:10 pm6:10 pm,8851,30723,565951,,3782.0,740.0,596674
12,Fri Jul 31 2020,12:10 am6:11 am12:12 pm6:11 pm,8517,30151,557672,,3314.0,735.0,587823
13,Thu Jul 30 2020,12:11 am6:09 am12:10 pm6:09 pm,10965,29386,549920,,3304.0,731.0,579306
14,Wed Jul 29 2020,12:10 am6:10 am12:10 pm6:12 pm,10628,28727,539614,,3281.0,724.0,568341
15,Tue Jul 28 2020,12:11 am6:11 am12:10 pm6:12 pm,10263,28126,529587,,3279.0,719.0,557713
16,Mon Jul 27 2020,12:10 am6:11 am12:10 pm6:10 pm,5552,27601,519849,,3276.0,709.0,547450
17,Sun Jul 26 2020,12:10 am6:11 am12:11 pm6:10 pm,315,27079,514819,,3266.0,700.0,541898
18,Sat Jul 25 2020,12:10 am6:11 am12:11 pm6:10 pm,8107,26764,514819,,3266.0,696.0,541583
19,Fri Jul 24 2020,12:13 am6:12 am12:12 pm6:11 pm,8681,25931,507545,,3248.0,691.0,533476
20,Thu Jul 23 2020,12:12 am6:13 am12:12 pm6:12 pm,5720,25147,499648,,2921.0,684.0,524795
21,Wed Jul 22 2020,12:13 am6:11 am12:11 pm6:12 pm,10382,24540,494535,,2914.0,677.0,519075
22,Tue Jul 21 2020,12:12 am6:12 am12:14 pm6:11 pm,14539,24060,484633,,2900.0,674.0,508693
23,Mon Jul 20 2020,12:12 am6:12 am12:11 pm6:12 pm,1430,23414,470740,,2882.0,671.0,494154
24,Sun Jul 19 2020,12:11 am6:12 am12:12 pm6:12 pm,2523,23161,469563,,2880.0,670.0,492724
25,Sat Jul 18 2020,12:10 am6:12 am12:11 pm6:12 pm,7139,22184,468017,,2875.0,667.0,490201
26,Fri Jul 17 2020,12:11 am6:13 am12:11 pm6:11 pm,15058,21605,461457,,2864.0,658.0,483062
27,Thu Jul 16 2020,12:11 am6:11 am12:12 pm6:12 pm,8817,21083,446921,,2842.0,650.0,468004
28,Wed Jul 15 2020,12:11 am6:12 am12:11 pm6:11 pm,3631,20677,438510,,2823.0,645.0,459187
29,Tue Jul 14 2020,12:11 am6:12 am12:12 pm6:12 pm,13671,20223,435333,,2802.0,635.0,455556
30,Mon Jul 13 2020,12:12 am6:11 am12:10 pm6:11 pm,3715,19653,422232,,2791.0,629.0,441885
31,Sun Jul 12 2020,12:11 am6:11 am12:12 pm6:12 pm,268,19389,418781,,2779.0,625.0,438170
32,Sat Jul 11 2020,12:13 am6:12 am12:10 pm6:11 pm,5212,19121,418781,,2779.0,622.0,437902
33,Fri Jul 10 2020,12:11 am6:11 am12:12 pm6:12 pm,8677,18670,414020,,2763.0,620.0,432690
34,Thu Jul 9 2020,12:11 am6:11 am12:11 pm6:12 pm,8092,18245,405768,,2747.0,612.0,424013
35,Wed Jul 8 2020,12:11 am6:11 am12:11 pm6:11 pm,6049,17919,398002,,2737.0,608.0,415921
36,Tue Jul 7 2020,12:40 am6:42 am12:39 pm,9530,17519,392353,,2708.0,602.0,409872
37,Mon Jul 6 2020,12:40 am6:39 am12:45 pm6:42 pm,4695,17152,383190,,2699.0,593.0,400342
38,Sun Jul 5 2020,12:40 am6:41 am12:39 pm6:45 pm,0,16376,379271,,2685.0,585.0,395647
39,Sat Jul 4 2020,12:39 am6:39 am12:39 pm6:49 pm,0,16376,379271,,2685.0,585.0,395647
40,Fri Jul 3 2020,6:40 am12:42 pm6:39 pm,9853,16376,379271,,2685.0,585.0,395647
41,Thu Jul 2 2020,12:40 am6:40 am12:39 pm6:39 pm,8704,16079,369715,,2662.0,581.0,385794
42,Wed Jul 1 2020,12:39 am6:41 am12:38 pm6:37 pm,6156,15842,361248,,2635.0,572.0,377090
43,Tue Jun 30 2020,12:39 am6:37 am12:39 pm6:37 pm,9493,15624,355310,,2621.0,565.0,370934
44,Mon Jun 29 2020,12:38 am6:40 am12:37 pm6:38 pm,2950,15347,346094,,2602.0,560.0,361441
