,Date,Screenshots (ET),New Tests,Cases,Negative,Pending,Hospitalized,Deaths,Total
0,Wed Aug 12 2020,12:14 am6:15 am12:19 pm6:14 pm,35287,98689,2083152.0,,,6539.0,2181841
1,Tue Aug 11 2020,12:14 am6:13 am12:15 pm6:14 pm,23965,98213,2048341.0,,,6533.0,2146554
2,Mon Aug 10 2020,12:15 am6:14 am12:15 pm6:13 pm,21257,97306,2025283.0,,,6526.0,2122589
3,Sun Aug 9 2020,12:14 am6:16 am12:15 pm6:16 pm,26211,96726,2004606.0,,,6519.0,2101332
4,Sat Aug 8 2020,12:16 am6:15 am12:13 pm6:14 pm,38526,96191,1978930.0,,,6520.0,2075121
5,Fri Aug 7 2020,12:16 am6:15 am12:15 pm6:13 pm,30017,95470,1941125.0,,,6524.0,2036595
6,Thu Aug 6 2020,12:14 am6:14 am12:15 pm6:15 pm,26106,94656,1911922.0,,,6506.0,2006578
7,Wed Aug 5 2020,12:14 am6:14 am12:15 pm6:14 pm,26057,93893,1886579.0,,,6478.0,1980472
8,Tue Aug 4 2020,12:13 am6:13 am12:14 pm6:14 pm,27592,93175,1861240.0,,,6471.0,1954415
9,Mon Aug 3 2020,12:13 am6:13 am12:15 pm6:14 pm,24982,92374,1834449.0,,,6463.0,1926823
10,Sun Aug 2 2020,12:12 am6:15 am12:15 pm6:14 pm,25011,91761,1810080.0,,,6457.0,1901841
11,Sat Aug 1 2020,12:14 am6:15 am12:13 pm6:13 pm,32383,91332,1785498.0,,,6457.0,1876830
12,Fri Jul 31 2020,12:13 am6:14 am12:15 pm6:14 pm,31269,90574,1753873.0,,,6450.0,1844447
13,Thu Jul 30 2020,12:14 am6:13 am12:13 pm6:12 pm,19945,89781,1723397.0,,,6443.0,1813178
14,Wed Jul 29 2020,12:13 am6:13 am12:13 pm6:15 pm,65351,88974,1704259.0,,,6422.0,1793233
15,Tue Jul 28 2020,12:13 am6:14 am12:13 pm6:15 pm,27393,87958,1639924.0,,,6421.0,1727882
16,Mon Jul 27 2020,12:13 am6:14 am12:13 pm6:13 pm,29745,87173,1613316.0,,,6405.0,1700489
17,Sun Jul 26 2020,12:13 am6:14 am12:14 pm6:13 pm,56098,86661,1584083.0,,,6400.0,1670744
18,Sat Jul 25 2020,12:13 am6:14 am12:14 pm6:13 pm,0,85072,1529574.0,,,6400.0,1614646
19,Fri Jul 24 2020,12:16 am6:15 am12:15 pm6:15 pm,27922,85072,1529574.0,,,6400.0,1614646
20,Thu Jul 23 2020,12:15 am6:16 am12:15 pm6:15 pm,27111,84431,1502293.0,,,6395.0,1586724
21,Wed Jul 22 2020,12:16 am6:14 am12:14 pm6:15 pm,30238,83730,1475883.0,,,6388.0,1559613
22,Tue Jul 21 2020,12:15 am6:15 am12:17 pm6:14 pm,22586,83059,1446316.0,,,6382.0,1529375
23,Mon Jul 20 2020,12:15 am6:15 am12:15 pm6:15 pm,22330,82395,1424394.0,,,6373.0,1506789
