,Date,Screenshots (ET),New Tests,Cases,Negative,Pending,Hospitalized,Deaths,Total
0,Wed Aug 12 2020,12:14 am6:16 am12:19 pm6:15 pm,6755,62303,890482,,5711.0,1724.0,952785
1,Tue Aug 11 2020,12:14 am6:14 am12:16 pm6:15 pm,1870,61839,884191,,5661.0,1707.0,946030
2,Mon Aug 10 2020,12:15 am6:14 am12:16 pm6:13 pm,9187,61516,882644,,5606.0,1701.0,944160
3,Sun Aug 9 2020,12:14 am12:15 pm6:17 pm,13576,60898,874075,,5555.0,1698.0,934973
4,Sat Aug 8 2020,12:16 am6:15 am12:14 pm6:14 pm,11126,60101,861296,,5506.0,1689.0,921397
5,Fri Aug 7 2020,12:16 am6:16 am12:15 pm6:14 pm,10791,59185,851086,,5458.0,1681.0,910271
6,Thu Aug 6 2020,12:14 am6:14 am12:15 pm6:15 pm,11857,58640,840840,,5421.0,1677.0,899480
7,Wed Aug 5 2020,12:14 am6:14 am12:15 pm6:15 pm,9512,57779,829844,,5373.0,1670.0,887623
8,Tue Aug 4 2020,12:14 am6:13 am12:14 pm6:14 pm,6107,57162,820949,,5346.0,1660.0,878111
9,Mon Aug 3 2020,12:13 am6:13 am12:15 pm6:14 pm,13663,56560,815444,,5298.0,1656.0,872004
10,Sun Aug 2 2020,12:13 am6:16 am12:15 pm6:14 pm,12073,55947,802394,,5241.0,1654.0,858341
11,Sat Aug 1 2020,12:15 am6:15 am12:13 pm6:14 pm,11914,55188,791080,,5208.0,1646.0,846268
12,Fri Jul 31 2020,12:13 am6:15 am12:15 pm6:14 pm,-173528,54463,779891,,5155.0,1640.0,834354
13,Thu Jul 30 2020,12:14 am6:13 am12:14 pm6:12 pm,14791,53692,954190,,5112.0,1634.0,1007882
14,Wed Jul 29 2020,12:14 am6:14 am12:14 pm6:15 pm,13103,52947,940144,,5077.0,1629.0,993091
15,Tue Jul 28 2020,12:13 am6:15 am12:14 pm6:15 pm,9262,52281,927707,,5028.0,1620.0,979988
16,Mon Jul 27 2020,12:13 am6:14 am12:13 pm6:14 pm,13352,51803,918923,,4961.0,1616.0,970726
17,Sun Jul 26 2020,12:14 am6:15 am12:14 pm6:14 pm,16678,51153,906221,,4920.0,1614.0,957374
18,Sat Jul 25 2020,12:14 am6:14 am12:14 pm6:13 pm,17820,50291,890405,,4889.0,1611.0,940696
