,Date,Screenshots (ET),New Tests,Cases,Negative,Pending,Hospitalized,Deaths,Total
0,Wed Aug 12 2020,12:18 am6:20 am12:24 pm6:18 pm,2730,29030,279432,,1880.0,351.0,308462
1,Tue Aug 11 2020,12:19 am6:18 am12:21 pm6:19 pm,3097,28696,277036,,1741.0,348.0,305732
2,Mon Aug 10 2020,12:19 am6:18 am12:20 pm6:18 pm,2961,28432,274203,,1722.0,345.0,302635
3,Sun Aug 9 2020,12:18 am6:21 am12:19 pm6:21 pm,2136,28245,271429,,1715.0,345.0,299674
4,Sat Aug 8 2020,12:21 am6:19 am12:18 pm6:18 pm,3636,28104,269434,,1704.0,345.0,297538
5,Fri Aug 7 2020,12:20 am6:21 am12:19 pm6:19 pm,3721,27821,266081,,1688.0,340.0,293902
6,Thu Aug 6 2020,12:18 am6:18 am12:19 pm6:19 pm,3076,27489,262692,,1681.0,335.0,290181
7,Wed Aug 5 2020,12:18 am6:18 am12:20 pm6:19 pm,3246,27178,259927,,1644.0,332.0,287105
8,Tue Aug 4 2020,12:18 am6:17 am12:18 pm,2753,26956,256903,,1644.0,332.0,283859
9,Mon Aug 3 2020,12:17 am6:17 am12:20 pm6:19 pm,3863,26702,254404,,1630.0,332.0,281106
10,Sun Aug 2 2020,12:17 am6:20 am12:19 pm6:19 pm,1984,26391,250852,,1629.0,332.0,277243
11,Sat Aug 1 2020,12:18 am6:19 am12:17 pm,4303,26211,249048,,1622.0,332.0,275259
12,Fri Jul 31 2020,12:16 am6:18 am12:19 pm6:18 pm,4063,25766,245190,,1610.0,328.0,270956
13,Thu Jul 30 2020,12:18 am6:17 am12:17 pm6:16 pm,2860,25422,241471,,1610.0,324.0,266893
14,Wed Jul 29 2020,12:17 am6:17 am12:18 pm6:19 pm,2930,25157,238876,,1606.0,321.0,264033
15,Tue Jul 28 2020,12:17 am6:19 am12:18 pm6:19 pm,2276,24899,236204,,1587.0,317.0,261103
16,Mon Jul 27 2020,12:17 am6:17 am12:18 pm6:18 pm,3363,24618,234209,,1570.0,316.0,258827
17,Sun Jul 26 2020,12:18 am6:18 am12:18 pm6:23 pm,2859,24395,231069,,1567.0,316.0,255464
18,Sat Jul 25 2020,12:18 am6:18 am12:17 pm6:17 pm,3531,24174,228431,,1548.0,316.0,252605
19,Fri Jul 24 2020,12:21 am6:20 am12:20 pm6:19 pm,3501,23818,225256,,1548.0,316.0,249074
20,Thu Jul 23 2020,12:20 am6:20 am12:20 pm6:20 pm,2952,23486,222087,,1522.0,311.0,245573
21,Wed Jul 22 2020,12:20 am6:18 am12:19 pm6:20 pm,4180,23190,219431,,1508.0,310.0,242621
22,Tue Jul 21 2020,12:19 am6:20 am6:18 pm,3545,22847,215594,,1502.0,306.0,238441
23,Mon Jul 20 2020,12:18 am6:19 am12:19 pm6:20 pm,2495,22583,212313,,1482.0,301.0,234896
24,Sun Jul 19 2020,12:18 am6:19 am12:19 pm6:19 pm,1250,22481,209920,,1481.0,301.0,232401
25,Sat Jul 18 2020,12:17 am6:19 am12:18 pm6:19 pm,4955,22361,208790,,1480.0,301.0,231151
26,Fri Jul 17 2020,12:18 am6:20 am12:18 pm6:18 pm,2967,22134,204062,,1453.0,299.0,226196
27,Thu Jul 16 2020,12:18 am6:18 am12:19 pm6:19 pm,3486,21979,201250,,1453.0,291.0,223229
28,Wed Jul 15 2020,12:18 am6:19 am12:17 pm6:17 pm,3508,21717,198026,,1442.0,286.0,219743
29,Tue Jul 14 2020,12:18 am6:20 am12:19 pm6:23 pm,4576,21399,194836,,1431.0,288.0,216235
30,Mon Jul 13 2020,12:18 am6:18 am12:17 pm6:18 pm,3556,21172,190487,,1421.0,285.0,211659
31,Sun Jul 12 2020,12:17 am6:17 am12:19 pm6:19 pm,4249,20998,187105,,1421.0,285.0,208103
32,Sat Jul 11 2020,12:21 am12:17 pm6:17 pm,2840,20777,183077,,1419.0,286.0,203854
33,Fri Jul 10 2020,12:18 am6:18 am12:19 pm6:18 pm,3179,20623,180391,,1419.0,284.0,201014
34,Thu Jul 9 2020,12:17 am6:17 am12:18 pm6:18 pm,2787,20425,177410,,1405.0,282.0,197835
35,Wed Jul 8 2020,12:17 am6:17 am12:17 pm6:17 pm,1975,20201,174847,,1398.0,282.0,195048
36,Tue Jul 7 2020,12:47 am12:45 pm,1333,20046,173027,,1369.0,283.0,193073
37,Mon Jul 6 2020,12:47 am6:46 am12:51 pm6:48 pm,1812,19929,171811,,1369.0,284.0,191740
38,Sun Jul 5 2020,12:47 am6:48 am6:50 pm,2340,19827,170101,,1368.0,284.0,189928
39,Sat Jul 4 2020,12:45 am6:45 am12:45 pm6:55 pm,3454,19660,167928,,1365.0,284.0,187588
40,Fri Jul 3 2020,6:47 am12:49 pm6:45 pm,1472,19452,164682,,1353.0,282.0,184134
