,Date,Screenshots (ET),New Tests,Cases,Negative,Pending,Hospitalized,Deaths,Total
0,Wed Aug 12 2020,12:19 am6:20 am12:25 pm6:19 pm,25706,185938,2190078.0,,22096.0,15885.0,2376016
1,Tue Aug 11 2020,12:20 am6:19 am12:22 pm6:19 pm,26264,185475,2164835.0,,22052.0,15890.0,2350310
2,Mon Aug 10 2020,12:20 am6:19 am12:20 pm6:19 pm,22194,185031,2139015.0,,21992.0,15878.0,2324046
3,Sun Aug 9 2020,12:19 am6:21 am12:20 pm6:22 pm,49060,184773,2117079.0,,21992.0,15874.0,2301852
4,Sat Aug 8 2020,12:22 am6:19 am12:19 pm6:19 pm,0,184429,2068363.0,,21949.0,15869.0,2252792
5,Fri Aug 7 2020,12:21 am6:21 am12:20 pm6:19 pm,22547,184061,2068731.0,,21949.0,15860.0,2252792
6,Thu Aug 6 2020,12:19 am6:19 am12:20 pm6:20 pm,43227,183701,2046544.0,,21565.0,15849.0,2230245
7,Wed Aug 5 2020,12:19 am6:19 am12:21 pm6:20 pm,22082,183327,2003691.0,,21565.0,15842.0,2187018
8,Tue Aug 4 2020,12:19 am6:18 am12:19 pm6:24 pm,356,182970,1981966.0,,21565.0,15835.0,2164936
9,Mon Aug 3 2020,12:18 am6:18 am12:20 pm6:19 pm,18702,182614,1981966.0,,21565.0,15824.0,2164580
10,Sun Aug 2 2020,12:17 am6:21 am12:20 pm6:20 pm,49180,182350,1963528.0,,21565.0,15814.0,2145878
11,Sat Aug 1 2020,12:19 am6:21 am12:17 pm6:19 pm,369,182029,1914669.0,,21565.0,15808.0,2096698
12,Fri Jul 31 2020,12:17 am6:19 am12:20 pm6:19 pm,36765,181660,1914669.0,,21565.0,15797.0,2096329
13,Thu Jul 30 2020,12:18 am6:18 am12:18 pm6:17 pm,16882,180970,1878594.0,,21565.0,15787.0,2059564
14,Wed Jul 29 2020,12:18 am6:18 am12:19 pm6:19 pm,58378,180766,1861916.0,,21321.0,15776.0,2042682
