,Date,Screenshots (ET),New Tests,Cases,Negative,Pending,Hospitalized,Deaths,Total
0,Wed Aug 12 2020,12:17 am6:19 am12:23 pm6:17 pm,-194215,139061,1684222.0,,,2249.0,1823283
1,Tue Aug 11 2020,12:17 am6:17 am12:19 pm6:17 pm,15579,137895,1879603.0,,,2204.0,2017498
2,Mon Aug 10 2020,12:18 am6:17 am12:18 pm6:17 pm,15371,136844,1865075.0,,,2172.0,2001919
3,Sun Aug 9 2020,12:17 am6:20 am12:18 pm6:20 pm,16782,136218,1850330.0,,,2168.0,1986548
4,Sat Aug 8 2020,12:20 am6:18 am12:17 pm6:17 pm,29954,134766,1835000.0,,,2160.0,1969766
5,Fri Aug 7 2020,12:19 am6:19 am12:18 pm6:17 pm,35062,132812,1807000.0,,,2134.0,1939812
6,Thu Aug 6 2020,12:17 am6:17 am12:18 pm6:18 pm,31082,131267,1773483.0,,,2092.0,1904750
7,Wed Aug 5 2020,12:17 am6:17 am12:19 pm6:18 pm,19642,129288,1744380.0,,,2050.0,1873668
8,Tue Aug 4 2020,12:17 am6:16 am12:17 pm6:21 pm,16616,128161,1725865.0,,,2010.0,1854026
9,Mon Aug 3 2020,12:16 am6:16 am12:18 pm6:17 pm,23900,126532,1710878.0,,,1982.0,1837410
10,Sun Aug 2 2020,12:15 am6:19 am12:18 pm6:18 pm,27098,125219,1688291.0,,,1969.0,1813510
11,Sat Aug 1 2020,12:17 am6:18 am12:16 pm6:17 pm,29310,123878,1662534.0,,,1964.0,1786412
12,Fri Jul 31 2020,12:15 am6:17 am12:18 pm6:17 pm,32178,122148,1634954.0,,,1924.0,1757102
13,Thu Jul 30 2020,12:17 am6:16 am12:16 pm6:15 pm,33490,120194,1604730.0,,,1903.0,1724924
14,Wed Jul 29 2020,12:16 am6:16 am12:17 pm6:17 pm,27894,117850,1573584.0,,,1865.0,1691434
15,Tue Jul 28 2020,12:16 am6:17 am12:16 pm6:18 pm,28064,116087,1547453.0,,,1820.0,1663540
16,Mon Jul 27 2020,12:16 am6:16 am12:16 pm6:17 pm,22091,114338,1521138.0,,,1790.0,1635476
17,Sun Jul 26 2020,12:17 am6:17 am12:17 pm6:22 pm,34343,112713,1500672.0,,,1785.0,1613385
18,Sat Jul 25 2020,12:16 am6:17 am12:16 pm6:16 pm,28745,111092,1467950.0,,,1778.0,1579042
19,Fri Jul 24 2020,12:20 am6:19 am12:19 pm6:18 pm,26622,108995,1441302.0,,,1746.0,1550297
20,Thu Jul 23 2020,12:19 am6:19 am12:19 pm6:19 pm,31855,106893,1416782.0,,,1726.0,1523675
21,Wed Jul 22 2020,12:19 am6:17 am12:17 pm6:19 pm,32823,105001,1386819.0,,,1698.0,1491820
22,Tue Jul 21 2020,12:18 am6:18 am12:20 pm6:17 pm,35109,102861,1356136.0,,,1668.0,1458997
23,Mon Jul 20 2020,12:18 am6:18 am12:18 pm6:19 pm,29024,101046,1322842.0,,,1642.0,1423888
24,Sun Jul 19 2020,12:17 am6:18 am12:18 pm6:18 pm,15721,99778,1295086.0,,,1634.0,1394864
25,Sat Jul 18 2020,12:16 am6:18 am12:17 pm6:18 pm,35169,97958,1281185.0,,,1629.0,1379143
26,Fri Jul 17 2020,12:17 am6:19 am12:17 pm6:17 pm,31217,95477,1248497.0,,,1606.0,1343974
27,Thu Jul 16 2020,12:18 am6:17 am12:18 pm6:18 pm,28120,93426,1219331.0,,,1588.0,1312757
28,Wed Jul 15 2020,12:17 am6:19 am12:17 pm6:17 pm,29791,91266,1193371.0,,,1568.0,1284637
29,Tue Jul 14 2020,12:17 am6:19 am12:18 pm6:23 pm,34360,89484,1165362.0,,,1552.0,1254846
30,Mon Jul 13 2020,12:18 am6:18 am12:16 pm6:18 pm,20911,87528,1132958.0,,,1510.0,1220486
31,Sun Jul 12 2020,12:17 am6:17 am12:19 pm6:19 pm,23517,85701,1113874.0,,,1503.0,1199575
32,Sat Jul 11 2020,12:20 am6:18 am12:16 pm6:16 pm,25446,83793,1092265.0,,,1499.0,1176058
33,Fri Jul 10 2020,12:18 am6:18 am12:19 pm6:17 pm,28801,81331,1069281.0,,,1479.0,1150612
34,Thu Jul 9 2020,12:17 am6:17 am12:18 pm6:17 pm,25129,79349,1042462.0,,,1461.0,1121811
35,Wed Jul 8 2020,12:17 am6:17 am12:17 pm6:16 pm,25392,77310,1019372.0,,,1441.0,1096682
36,Tue Jul 7 2020,6:48 am12:44 pm,19444,75875,995415.0,,,1420.0,1071290
37,Mon Jul 6 2020,12:46 am6:45 am12:50 pm6:47 pm,15008,74529,977317.0,,,1398.0,1051846
38,Sun Jul 5 2020,12:46 am6:47 am12:44 pm6:50 pm,18542,72983,963855.0,,,1396.0,1036838
39,Sat Jul 4 2020,12:45 am6:45 am12:44 pm6:55 pm,19003,71654,946642.0,,,1395.0,1018296
40,Fri Jul 3 2020,6:46 am12:48 pm6:45 pm,28173,70241,929052.0,,,1392.0,999293
41,Thu Jul 2 2020,12:46 am6:46 am12:44 pm6:45 pm,28882,68142,902978.0,,,1391.0,971120
42,Wed Jul 1 2020,12:44 am6:46 am12:43 pm6:43 pm,32205,66513,875725.0,,,1373.0,942238
43,Tue Jun 30 2020,12:44 am6:41 am12:44 pm6:42 pm,23728,64670,845363.0,,,1343.0,910033
44,Mon Jun 29 2020,12:43 am6:45 am12:43 pm6:43 pm,14400,63484,822821.0,,,1325.0,886305
45,Sun Jun 28 2020,12:43 am6:42 am12:44 pm6:43 pm,16774,62142,809763.0,,,1322.0,871905
46,Sat Jun 27 2020,12:44 am6:49 am12:43 pm6:42 pm,18406,60537,794594.0,,,1312.0,855131
47,Fri Jun 26 2020,12:42 am6:45 am12:42 pm6:45 pm,25447,58818,777907.0,,,1303.0,836725
48,Thu Jun 25 2020,12:42 am6:45 am12:45 pm6:43 pm,19993,57183,754095.0,,,1284.0,811278
49,Wed Jun 24 2020,12:42 am6:42 am12:43 pm6:42 pm,17457,56174,735111.0,,,1266.0,791285
50,Tue Jun 23 2020,12:45 am6:43 am12:44 pm6:41 pm,16483,54453,719375.0,,,1251.0,773828
51,Mon Jun 22 2020,12:40 am6:41 am12:42 pm6:43 pm,11570,53605,703740.0,,,1223.0,757345
52,Sun Jun 21 2020,12:42 am6:40 am12:42 pm6:41 pm,14434,52801,692974.0,,,1220.0,745775
53,Sat Jun 20 2020,12:44 am6:43 am12:40 pm6:42 pm,19028,51389,679952.0,,,1212.0,731341
54,Fri Jun 19 2020,12:43 am6:44 am12:43 pm6:43 pm,18635,49840,662473.0,,,1197.0,712313
55,Thu Jun 18 2020,12:43 am6:42 am12:44 pm6:39 pm,26256,48188,645490.0,,,1175.0,693678
56,Wed Jun 17 2020,12:43 am6:44 am12:43 pm6:43 pm,16001,46855,620567.0,,,1168.0,667422
57,Tue Jun 16 2020,12:43 am6:41 am12:44 pm6:40 pm,12942,45853,605568.0,,,1154.0,651421
58,Mon Jun 15 2020,12:41 am6:42 am12:43 pm6:40 pm,11349,45102,593377.0,,,1118.0,638479
59,Sun Jun 14 2020,12:40 am6:42 am12:43 pm6:40 pm,15440,44119,583011.0,,,1109.0,627130
60,Sat Jun 13 2020,12:42 am6:44 am12:41 pm6:42 pm,15993,42676,569014.0,,,1104.0,611690
61,Fri Jun 12 2020,12:42 am6:43 am12:43 pm6:42 pm,23020,41249,554448.0,,,1092.0,595697
62,Thu Jun 11 2020,12:42 am6:43 am12:42 pm6:40 pm,19027,39481,533196.0,,,1064.0,572677
