,Date,Screenshots (ET),New Tests,Cases,Negative,Pending,Hospitalized,Deaths,Total
0,Wed Aug 12 2020,12:21 am6:22 am12:26 pm6:20 pm,20610,104248,1624132,,11901.0,3734.0,1728380
1,Tue Aug 11 2020,12:21 am6:21 am12:23 pm6:21 pm,20126,102826,1604944,,11760.0,3708.0,1707770
2,Mon Aug 10 2020,12:21 am6:20 am12:22 pm6:21 pm,19096,101731,1585913,,11629.0,3673.0,1687644
3,Sun Aug 9 2020,12:21 am6:23 am12:21 pm6:23 pm,24055,100848,1567700,,11565.0,3669.0,1668548
4,Sat Aug 8 2020,12:23 am6:21 am12:20 pm6:20 pm,21398,99969,1544524,,11516.0,3668.0,1644493
5,Fri Aug 7 2020,12:23 am6:22 am12:21 pm6:21 pm,25056,98675,1524420,,11447.0,3652.0,1623095
6,Thu Aug 6 2020,12:20 am6:20 am12:21 pm6:21 pm,23426,97471,1500568,,11366.0,3618.0,1598039
7,Wed Aug 5 2020,12:20 am6:20 am12:22 pm6:21 pm,18801,96305,1478308,,11231.0,3596.0,1574613
8,Tue Aug 4 2020,12:20 am6:19 am12:21 pm6:25 pm,20269,95106,1460706,,11119.0,3570.0,1555812
9,Mon Aug 3 2020,12:19 am6:19 am12:22 pm6:21 pm,17997,93963,1441580,,10992.0,3539.0,1535543
10,Sun Aug 2 2020,12:18 am6:22 am12:21 pm6:21 pm,24643,93031,1424515,,10900.0,3529.0,1517546
11,Sat Aug 1 2020,12:20 am6:22 am12:19 pm6:20 pm,24569,92087,1400816,,10857.0,3515.0,1492903
12,Fri Jul 31 2020,12:19 am6:20 am12:22 pm6:21 pm,21862,91159,1377175,,10790.0,3489.0,1468334
13,Thu Jul 30 2020,12:20 am6:19 am12:20 pm6:18 pm,25635,89626,1356846,,10678.0,3442.0,1446472
14,Wed Jul 29 2020,12:19 am6:20 am12:20 pm6:20 pm,22104,87893,1332944,,10553.0,3422.0,1420837
15,Tue Jul 28 2020,12:20 am6:21 am12:19 pm6:22 pm,54635,86497,1312236,,10425.0,3382.0,1398733
