,Date,Screenshots (ET),New Tests,Cases,Negative,Pending,Hospitalized,Deaths,Total
0,Wed Aug 12 2020,12:22 am6:23 am12:28 pm,17512,121130,1271976.0,,,7385.0,1393106
1,Tue Aug 11 2020,12:23 am6:23 am12:25 pm6:22 pm,15311,120281,1255313.0,,,7352.0,1375594
2,Mon Aug 10 2020,12:23 am6:22 am12:23 pm6:22 pm,13073,119453,1240830.0,,,7317.0,1360283
3,Sun Aug 9 2020,12:23 am6:24 am6:25 pm,14153,118852,1228358.0,,,7314.0,1347210
4,Sat Aug 8 2020,12:24 am6:23 am12:21 pm6:22 pm,16158,118092,1214965.0,,,7313.0,1333057
5,Fri Aug 7 2020,12:25 am6:25 am6:22 pm,16648,117279,1199620.0,,,7297.0,1316899
6,Thu Aug 6 2020,12:21 am6:22 am12:23 pm6:23 pm,15526,116521,1183730.0,,,7282.0,1300251
7,Wed Aug 5 2020,12:22 am6:22 am12:24 pm6:23 pm,13196,115714,1169011.0,,,7244.0,1284725
8,Tue Aug 4 2020,12:22 am6:20 am12:23 pm6:27 pm,14960,115009,1156520.0,,,7232.0,1271529
9,Mon Aug 3 2020,12:21 am6:21 am12:23 pm6:23 pm,12000,114155,1142414.0,,,7209.0,1256569
10,Sun Aug 2 2020,12:20 am6:24 am12:23 pm6:23 pm,12247,113590,1130979.0,,,7209.0,1244569
11,Sat Aug 1 2020,12:22 am6:24 am12:21 pm6:22 pm,15450,112936,1119386.0,,,7204.0,1232322
12,Fri Jul 31 2020,12:20 am6:22 am12:23 pm6:23 pm,16935,112048,1104824.0,,,7189.0,1216872
13,Thu Jul 30 2020,12:22 am6:20 am12:22 pm6:20 pm,15856,111078,1088859.0,,,7176.0,1199937
14,Wed Jul 29 2020,12:21 am6:22 am12:22 pm6:22 pm,14921,110218,1073863.0,,,7162.0,1184081
15,Tue Jul 28 2020,12:21 am12:21 pm6:24 pm,18472,109384,1059776.0,,,7146.0,1169160
16,Mon Jul 27 2020,12:21 am6:21 am12:23 pm6:22 pm,14487,108264,1042424.0,,,7122.0,1150688
17,Sun Jul 26 2020,12:21 am6:22 am6:28 pm,12871,107425,1028776.0,,,7118.0,1136201
18,Sat Jul 25 2020,12:22 am6:22 am12:21 pm6:22 pm,18382,106625,1016705.0,,,7114.0,1123330
19,Fri Jul 24 2020,12:24 am6:23 am12:24 pm6:23 pm,19331,105571,999377.0,,,7101.0,1104948
20,Thu Jul 23 2020,6:24 am12:24 pm6:24 pm,14140,104358,981259.0,,,7079.0,1085617
21,Wed Jul 22 2020,12:24 am6:22 am6:24 pm,15714,103396,968081.0,,,7063.0,1071477
22,Tue Jul 21 2020,12:23 am6:24 am12:27 pm6:21 pm,15850,102765,952998.0,,,7038.0,1055763
23,Mon Jul 20 2020,12:22 am6:23 am12:23 pm6:23 pm,12534,101738,938175.0,,,7018.0,1039913
24,Sun Jul 19 2020,12:22 am6:23 am6:22 pm,14652,101027,926352.0,,,7015.0,1027379
25,Sat Jul 18 2020,12:22 pm6:23 pm,13337,100241,912486.0,,,7007.0,1012727
26,Fri Jul 17 2020,6:24 am12:21 pm6:22 pm,15749,99478,899912.0,,,6992.0,999390
27,Thu Jul 16 2020,12:22 am12:22 pm6:23 pm,14992,98446,885195.0,,,6973.0,983641
28,Wed Jul 15 2020,12:21 am6:23 am12:20 pm6:21 pm,21366,97665,870984.0,,,6957.0,968649
29,Tue Jul 14 2020,12:22 am6:23 am12:22 pm6:27 pm,15809,96671,850612.0,,,6931.0,947283
30,Mon Jul 13 2020,12:22 am6:22 am12:21 pm6:21 pm,7190,95742,835732.0,,,6911.0,931474
31,Sun Jul 12 2020,12:21 am6:21 am12:22 pm6:23 pm,11961,95266,829018.0,,,6904.0,924284
32,Sat Jul 11 2020,12:25 am6:23 am12:20 pm6:20 pm,13683,94689,817634.0,,,6897.0,912323
33,Fri Jul 10 2020,12:21 am6:22 am6:20 pm,18617,93876,804764.0,,,6880.0,898640
34,Thu Jul 9 2020,,13497,92867,787156.0,,,6848.0,880023
