,Date,Screenshots (ET),New Tests,Cases,Negative,Pending,Hospitalized,Deaths,Total
0,Wed Aug 12 2020,12:26 am6:26 am12:31 pm6:25 pm,18908,126393,1633299.0,,5554.0,1289.0,1759692
1,Tue Aug 11 2020,12:27 am6:26 am12:29 pm6:25 pm,12877,124915,1615869.0,,5464.0,1271.0,1740784
2,Mon Aug 10 2020,12:27 am6:25 am12:26 pm6:26 pm,14787,123914,1603993.0,,5339.0,1233.0,1727907
3,Sun Aug 9 2020,12:26 am6:28 am12:26 pm6:29 pm,27634,122712,1590408.0,,5304.0,1223.0,1713120
4,Sat Aug 8 2020,12:27 am6:26 am12:26 pm6:25 pm,23454,120585,1564901.0,,5262.0,1215.0,1685486
5,Fri Aug 7 2020,12:28 am6:29 am12:27 pm6:26 pm,26841,118782,1543250.0,,5190.0,1206.0,1662032
6,Thu Aug 6 2020,12:25 am6:27 am12:28 pm6:27 pm,23146,116350,1518841.0,,5109.0,1186.0,1635191
7,Wed Aug 5 2020,12:25 am6:26 am12:28 pm6:27 pm,19395,114098,1497947.0,,5001.0,1144.0,1612045
8,Tue Aug 4 2020,12:26 am6:24 am12:27 pm6:31 pm,18117,112441,1480209.0,,4900.0,1117.0,1592650
9,Mon Aug 3 2020,12:25 am6:24 am12:27 pm6:27 pm,12235,110636,1463897.0,,4808.0,1092.0,1574533
10,Sun Aug 2 2020,12:23 am6:28 am12:27 pm6:27 pm,19445,109627,1452671.0,,4756.0,1073.0,1562298
11,Sat Aug 1 2020,12:25 am6:27 am12:25 pm6:26 pm,29448,108184,1434669.0,,4724.0,1067.0,1542853
12,Fri Jul 31 2020,12:24 am6:26 am12:26 pm6:26 pm,32593,105959,1407446.0,,4661.0,1060.0,1513405
13,Thu Jul 30 2020,12:25 am6:23 am12:25 pm6:24 pm,24573,102871,1377941.0,,4572.0,1033.0,1480812
14,Wed Jul 29 2020,12:24 am6:25 am12:25 pm6:25 pm,44787,100822,1355417.0,,4482.0,1020.0,1456239
15,Tue Jul 28 2020,12:25 am6:26 am12:24 pm6:28 pm,0,96489,1314963.0,,4280.0,978.0,1411452
16,Mon Jul 27 2020,12:24 am6:25 am12:26 pm6:25 pm,28600,96489,1314963.0,,4280.0,978.0,1411452
17,Sun Jul 26 2020,12:25 am6:25 am12:25 pm6:31 pm,50478,93936,1288916.0,,4244.0,967.0,1382852
18,Sat Jul 25 2020,12:25 am6:25 am12:24 pm6:25 pm,9761,90796,1241578.0,,4196.0,964.0,1332374
19,Fri Jul 24 2020,12:28 am6:27 am12:28 pm6:27 pm,26628,89078,1233535.0,,4120.0,938.0,1322613
20,Thu Jul 23 2020,12:27 am6:28 am12:27 pm6:28 pm,32157,86987,1208998.0,,4016.0,925.0,1295985
21,Wed Jul 22 2020,12:28 am6:25 am12:26 pm6:27 pm,25595,84417,1179411.0,,3907.0,888.0,1263828
22,Tue Jul 21 2020,12:27 am6:28 am12:31 pm6:25 pm,23066,81944,1156289.0,,3798.0,871.0,1238233
23,Mon Jul 20 2020,12:26 am6:27 am12:27 pm6:26 pm,17870,79754,1135413.0,,3712.0,847.0,1215167
24,Sun Jul 19 2020,12:26 am6:26 am12:26 pm6:26 pm,23645,78115,1119182.0,,3681.0,843.0,1197297
25,Sat Jul 18 2020,12:25 am6:27 am12:26 pm6:26 pm,22980,76336,1097316.0,,3649.0,838.0,1173652
26,Fri Jul 17 2020,12:26 am6:28 am12:25 pm6:25 pm,26975,73819,1076853.0,,3562.0,815.0,1150672
27,Thu Jul 16 2020,12:26 am6:25 am12:26 pm6:26 pm,26024,71540,1052157.0,,3497.0,796.0,1123697
28,Wed Jul 15 2020,12:24 am6:27 am12:24 pm6:24 pm,25785,69061,1028612.0,,3434.0,783.0,1097673
29,Tue Jul 14 2020,12:25 am6:27 am12:26 pm6:30 pm,17927,66788,1005100.0,,3378.0,767.0,1071888
30,Mon Jul 13 2020,12:25 am6:26 am12:25 pm6:25 pm,35946,65274,988687.0,,3284.0,749.0,1053961
31,Sun Jul 12 2020,12:25 am6:24 am12:26 pm6:28 pm,10901,61960,956055.0,,3250.0,741.0,1018015
32,Sat Jul 11 2020,12:29 am6:27 am12:24 pm6:23 pm,12539,61006,946108.0,,3193.0,738.0,1007114
33,Fri Jul 10 2020,12:25 am6:26 am12:26 pm6:24 pm,21861,59546,935029.0,,3146.0,723.0,994575
34,Thu Jul 9 2020,12:24 am6:24 am12:25 pm6:25 pm,21755,57591,915123.0,,3088.0,710.0,972714
35,Wed Jul 8 2020,12:23 am6:24 am12:24 pm6:23 pm,29760,55986,894973.0,,3023.0,685.0,950959
36,Tue Jul 7 2020,12:53 am6:57 am,16581,53514,867685.0,,2950.0,665.0,921199
37,Mon Jul 6 2020,12:54 am6:52 am,8452,52155,852463.0,,2897.0,653.0,904618
38,Sun Jul 5 2020,12:53 am6:54 am12:51 pm6:56 pm,17562,51431,844735.0,,2871.0,646.0,896166
39,Sat Jul 4 2020,12:52 am6:52 am12:52 pm7:02 pm,16115,50140,828464.0,,2860.0,637.0,878604
40,Fri Jul 3 2020,6:54 am12:56 pm6:52 pm,24035,48712,813777.0,,2825.0,633.0,862489
41,Thu Jul 2 2020,12:53 am6:54 am12:51 pm6:52 pm,20568,46890,791564.0,,2775.0,620.0,838454
42,Wed Jul 1 2020,12:52 am6:52 am12:51 pm6:50 pm,24759,45315,772571.0,,2715.0,609.0,817886
