,COUNTY,CASE_STATUS,Cases,Deaths,Updated
0,Alcona,Confirmed,24,1,2020-08-08 13:32:53.887
1,Alcona,Probable,4,0,2020-08-08 13:32:53.887
2,Alger,Confirmed,10,0,2020-08-08 13:32:53.887
3,Alger,Probable,1,0,2020-08-08 13:32:53.887
4,Allegan,Confirmed,465,7,2020-08-08 13:32:53.887
5,Allegan,Probable,57,0,2020-08-08 13:32:53.887
6,Alpena,Confirmed,114,13,2020-08-08 13:32:53.887
7,Alpena,Probable,14,0,2020-08-08 13:32:53.887
8,Antrim,Confirmed,38,0,2020-08-08 13:32:53.887
9,Antrim,Probable,3,0,2020-08-08 13:32:53.887
10,Arenac,Confirmed,37,3,2020-08-08 13:32:53.887
11,Arenac,Probable,4,0,2020-08-08 13:32:53.887
12,Baraga,Confirmed,5,0,2020-08-08 13:32:53.887
13,Barry,Confirmed,151,2,2020-08-08 13:32:53.887
14,Barry,Probable,29,0,2020-08-08 13:32:53.887
15,Bay,Confirmed,548,31,2020-08-08 13:32:53.887
16,Bay,Probable,72,0,2020-08-08 13:32:53.887
17,Benzie,Confirmed,26,1,2020-08-08 13:32:53.887
18,Benzie,Probable,2,0,2020-08-08 13:32:53.887
19,Berrien,Confirmed,1178,65,2020-08-08 13:32:53.887
20,Berrien,Probable,179,1,2020-08-08 13:32:53.887
21,Branch,Confirmed,330,2,2020-08-08 13:32:53.887
22,Branch,Probable,34,0,2020-08-08 13:32:53.887
23,Calhoun,Confirmed,690,40,2020-08-08 13:32:53.887
24,Calhoun,Probable,99,1,2020-08-08 13:32:53.887
25,Cass,Confirmed,299,13,2020-08-08 13:32:53.887
26,Cass,Probable,21,1,2020-08-08 13:32:53.887
27,Charlevoix,Confirmed,43,2,2020-08-08 13:32:53.887
28,Charlevoix,Probable,4,0,2020-08-08 13:32:53.887
29,Cheboygan,Confirmed,39,2,2020-08-08 13:32:53.887
30,Cheboygan,Probable,7,0,2020-08-08 13:32:53.887
31,Chippewa,Confirmed,27,0,2020-08-08 13:32:53.887
32,Chippewa,Probable,12,0,2020-08-08 13:32:53.887
33,Clare,Confirmed,66,3,2020-08-08 13:32:53.887
34,Clare,Probable,5,0,2020-08-08 13:32:53.887
35,Clinton,Confirmed,356,13,2020-08-08 13:32:53.887
36,Clinton,Probable,66,0,2020-08-08 13:32:53.887
37,Crawford,Confirmed,97,5,2020-08-08 13:32:53.887
38,Crawford,Probable,9,0,2020-08-08 13:32:53.887
39,Delta,Confirmed,70,3,2020-08-08 13:32:53.887
40,Delta,Probable,20,0,2020-08-08 13:32:53.887
41,Detroit City,Confirmed,12947,1490,2020-08-08 13:32:53.887
42,Detroit City,Probable,920,97,2020-08-08 13:32:53.887
43,Dickinson,Confirmed,52,2,2020-08-08 13:32:53.887
44,Dickinson,Probable,1,0,2020-08-08 13:32:53.887
45,Eaton,Confirmed,399,8,2020-08-08 13:32:53.887
46,Eaton,Probable,60,0,2020-08-08 13:32:53.887
47,Emmet,Confirmed,54,2,2020-08-08 13:32:53.887
48,Emmet,Probable,8,0,2020-08-08 13:32:53.887
49,FCI,Confirmed,190,5,2020-08-08 13:32:53.887
50,FCI,Probable,4,0,2020-08-08 13:32:53.887
51,Genesee,Confirmed,2933,270,2020-08-08 13:32:53.887
52,Genesee,Probable,706,25,2020-08-08 13:32:53.887
53,Gladwin,Confirmed,55,2,2020-08-08 13:32:53.887
54,Gladwin,Probable,3,0,2020-08-08 13:32:53.887
55,Gogebic,Confirmed,112,1,2020-08-08 13:32:53.887
56,Gogebic,Probable,7,0,2020-08-08 13:32:53.887
57,Grand Traverse,Confirmed,186,5,2020-08-08 13:32:53.887
58,Grand Traverse,Probable,22,0,2020-08-08 13:32:53.887
59,Gratiot,Confirmed,137,15,2020-08-08 13:32:53.887
60,Gratiot,Probable,18,0,2020-08-08 13:32:53.887
61,Hillsdale,Confirmed,245,25,2020-08-08 13:32:53.887
62,Hillsdale,Probable,20,0,2020-08-08 13:32:53.887
63,Houghton,Confirmed,43,0,2020-08-08 13:32:53.887
64,Houghton,Probable,7,0,2020-08-08 13:32:53.887
65,Huron,Confirmed,131,4,2020-08-08 13:32:53.887
66,Huron,Probable,25,0,2020-08-08 13:32:53.887
67,Ingham,Confirmed,1494,30,2020-08-08 13:32:53.887
68,Ingham,Probable,47,0,2020-08-08 13:32:53.887
69,Ionia,Confirmed,239,6,2020-08-08 13:32:53.887
70,Ionia,Probable,35,0,2020-08-08 13:32:53.887
71,Iosco,Confirmed,110,11,2020-08-08 13:32:53.887
72,Iosco,Probable,20,1,2020-08-08 13:32:53.887
73,Iron,Confirmed,19,1,2020-08-08 13:32:53.887
74,Isabella,Confirmed,180,9,2020-08-08 13:32:53.887
75,Isabella,Probable,25,0,2020-08-08 13:32:53.887
76,Jackson,Confirmed,689,33,2020-08-08 13:32:53.887
77,Jackson,Probable,20,1,2020-08-08 13:32:53.887
78,Kalamazoo,Confirmed,1501,81,2020-08-08 13:32:53.887
79,Kalamazoo,Probable,130,2,2020-08-08 13:32:53.887
80,Kalkaska,Confirmed,39,4,2020-08-08 13:32:53.887
81,Kalkaska,Probable,13,0,2020-08-08 13:32:53.887
82,Kent,Confirmed,6809,154,2020-08-08 13:32:53.887
83,Kent,Probable,676,3,2020-08-08 13:32:53.887
84,Keweenaw,Confirmed,2,0,2020-08-08 13:32:53.887
85,Keweenaw,Probable,1,0,2020-08-08 13:32:53.887
86,Lake,Confirmed,20,0,2020-08-08 13:32:53.887
87,Lake,Probable,1,0,2020-08-08 13:32:53.887
88,Lapeer,Confirmed,387,32,2020-08-08 13:32:53.887
89,Lapeer,Probable,77,1,2020-08-08 13:32:53.887
90,Leelanau,Confirmed,67,0,2020-08-08 13:32:53.887
91,Leelanau,Probable,4,0,2020-08-08 13:32:53.887
