response__holidays__name,response__holidays__country__name,response__holidays__date__iso
The Prophet's Birthday,Afghanistan,2014-01-14
March Equinox,Afghanistan,2014-03-20
Afghan Victory Day,Afghanistan,2014-04-28
June Solstice,Afghanistan,2014-06-21
Ramadan starts,Afghanistan,2014-06-29
Eid al-Fitr,Afghanistan,2014-07-29
Eid al-Fitr Holiday,Afghanistan,2014-07-30
Eid al-Fitr Holiday,Afghanistan,2014-07-31
Independence Day (National Day),Afghanistan,2014-08-19
Martyrs and Ahmad Shah Masoud Day,Afghanistan,2014-09-09
September Equinox,Afghanistan,2014-09-23
Day of Arafat,Afghanistan,2014-10-04
Eid al-Qurban,Afghanistan,2014-10-05
Eid al-Qurban Holiday,Afghanistan,2014-10-06
Eid al-Qurban Holiday,Afghanistan,2014-10-07
Ashura,Afghanistan,2014-11-03
Arba'een,Afghanistan,2014-12-13
December Solstice,Afghanistan,2014-12-22
The Prophet's Birthday,Afghanistan,2015-01-03
March Equinox,Afghanistan,2015-03-21
Nawrooz,Afghanistan,2015-03-21
Afghan Victory Day,Afghanistan,2015-04-28
Ramadan starts,Afghanistan,2015-06-18
June Solstice,Afghanistan,2015-06-21
Eid al-Fitr,Afghanistan,2015-07-18
Eid al-Fitr Holiday,Afghanistan,2015-07-19
Eid al-Fitr Holiday,Afghanistan,2015-07-20
Independence Day (National Day),Afghanistan,2015-08-19
Martyrs and Ahmad Shah Masoud Day,Afghanistan,2015-09-09
Commemoration of the assassination of Burhanuddin Rabbani,Afghanistan,2015-09-20
September Equinox,Afghanistan,2015-09-23
Eid al-Qurban,Afghanistan,2015-09-23
Day of Arafat,Afghanistan,2015-09-23
Eid al-Qurban,Afghanistan,2015-09-24
Eid al-Qurban,Afghanistan,2015-09-25
Eid al-Qurban Holiday,Afghanistan,2015-09-25
Eid al-Qurban Holiday,Afghanistan,2015-09-26
Ashura,Afghanistan,2015-10-24
Arba'een,Afghanistan,2015-12-02
December Solstice,Afghanistan,2015-12-22
The Prophet's Birthday,Afghanistan,2015-12-24
March Equinox,Afghanistan,2016-03-20
Afghan Victory Day,Afghanistan,2016-04-28
Ramadan starts,Afghanistan,2016-06-07
June Solstice,Afghanistan,2016-06-21
Eid al-Fitr,Afghanistan,2016-07-07
Eid al-Fitr Holiday,Afghanistan,2016-07-08
Eid al-Fitr Holiday,Afghanistan,2016-07-09
Independence Day (National Day),Afghanistan,2016-08-19
Martyrs and Ahmad Shah Masoud Day,Afghanistan,2016-09-09
Day of Arafat,Afghanistan,2016-09-12
Eid al-Qurban,Afghanistan,2016-09-13
Eid al-Qurban Holiday,Afghanistan,2016-09-14
Eid al-Qurban Holiday,Afghanistan,2016-09-15
September Equinox,Afghanistan,2016-09-22
Ashura,Afghanistan,2016-10-12
Arba'een,Afghanistan,2016-11-20
The Prophet's Birthday,Afghanistan,2016-12-12
December Solstice,Afghanistan,2016-12-21
Non-working Day,Afghanistan,2017-02-05
Soviet Withdrawal from Afghanistan,Afghanistan,2017-02-14
March Equinox,Afghanistan,2017-03-20
Afghan Victory Day,Afghanistan,2017-04-28
Afghan Victory Day observed,Afghanistan,2017-04-29
Ramadan starts,Afghanistan,2017-05-27
June Solstice,Afghanistan,2017-06-21
Eid al-Fitr,Afghanistan,2017-06-26
Eid al-Fitr Holiday,Afghanistan,2017-06-27
Eid al-Fitr Holiday,Afghanistan,2017-06-28
Independence Day (National Day),Afghanistan,2017-08-19
Day of Arafat,Afghanistan,2017-09-01
Eid al-Qurban,Afghanistan,2017-09-02
Eid al-Qurban Holiday,Afghanistan,2017-09-03
Eid al-Qurban Holiday,Afghanistan,2017-09-04
Martyrs and Ahmad Shah Masoud Day,Afghanistan,2017-09-09
September Equinox,Afghanistan,2017-09-23
Ashura,Afghanistan,2017-10-01
Arba'een,Afghanistan,2017-11-09
The Prophet's Birthday,Afghanistan,2017-12-01
December Solstice,Afghanistan,2017-12-21
