response__holidays__name,response__holidays__country__name,response__holidays__date__iso
New Year's Day,India,2014-01-01
Guru Govind Singh Jayanti,India,2014-01-07
Pongal,India,2014-01-14
Makar Sankranti,India,2014-01-14
Milad un-Nabi/Id-e-Milad,India,2014-01-14
Republic Day,India,2014-01-26
Chinese New Year,India,2014-01-31
Vasant Panchami,India,2014-02-04
Guru Ravidas Jayanti,India,2014-02-14
Valentine's Day,India,2014-02-14
Shivaji Jayanti,India,2014-02-19
Maharishi Dayanand Saraswati Jayanti,India,2014-02-24
Maha Shivaratri/Shivaratri,India,2014-02-27
Holi,India,2014-03-16
Holika Dahana,India,2014-03-16
Holi,India,2014-03-17
March Equinox,India,2014-03-20
Chaitra Sukhladi,India,2014-03-31
Rama Navami,India,2014-04-08
Mahavir Jayanti,India,2014-04-13
Vaisakhi,India,2014-04-14
Ambedkar Jayanti,India,2014-04-14
First day of Passover,India,2014-04-15
Mesadi/Vaisakhadi,India,2014-04-15
Maundy Thursday,India,2014-04-17
Good Friday,India,2014-04-18
Easter Day,India,2014-04-20
May Day,India,2014-05-01
Birthday of Ravindranath,India,2014-05-09
Mother's Day,India,2014-05-11
Hazarat Ali's Birthday,India,2014-05-13
Buddha Purnima/Vesak,India,2014-05-14
Father's Day,India,2014-06-15
June Solstice,India,2014-06-21
Rath Yatra,India,2014-06-29
Guru Purnima,India,2014-07-12
Jamat Ul-Vida,India,2014-07-25
Ramzan Id/Eid-ul-Fitar,India,2014-07-29
Friendship Day,India,2014-08-03
Raksha Bandhan (Rakhi),India,2014-08-10
Independence Day,India,2014-08-15
Janmashtami,India,2014-08-17
Parsi New Year,India,2014-08-18
Ganesh Chaturthi/Vinayaka Chaturthi,India,2014-08-29
Onam,India,2014-09-07
September Equinox,India,2014-09-23
Maha Saptami,India,2014-10-01
Mahatma Gandhi Jayanti,India,2014-10-02
Maha Ashtami,India,2014-10-02
Dussehra,India,2014-10-03
Bakr Id/Eid ul-Adha,India,2014-10-06
Karaka Chaturthi (Karva Chauth),India,2014-10-11
Naraka Chaturdasi,India,2014-10-22
Diwali/Deepavali,India,2014-10-23
Govardhan Puja,India,2014-10-24
Bhai Duj,India,2014-10-25
Chhat Puja (Pratihar Sashthi/Surya Sashthi),India,2014-10-29
Halloween,India,2014-10-31
Muharram/Ashura,India,2014-11-04
Guru Nanak Jayanti,India,2014-11-06
Guru Tegh Bahadur's Martyrdom Day,India,2014-11-24
First Day of Hanukkah,India,2014-12-17
December Solstice,India,2014-12-22
Last day of Hanukkah,India,2014-12-24
Christmas Eve,India,2014-12-24
Christmas,India,2014-12-25
New Year's Eve,India,2014-12-31
New Year's Day,India,2015-01-01
Milad un-Nabi/Id-e-Milad,India,2015-01-04
Guru Govind Singh Jayanti,India,2015-01-05
Makar Sankranti,India,2015-01-14
Pongal,India,2015-01-15
"Beti Bachao, Beti Padhao Campaign Launch Day",India,2015-01-22
Vasant Panchami,India,2015-01-24
Republic Day,India,2015-01-26
Guru Ravidas Jayanti,India,2015-02-03
Maharishi Dayanand Saraswati Jayanti,India,2015-02-14
Valentine's Day,India,2015-02-14
Maha Shivaratri/Shivaratri,India,2015-02-17
Shivaji Jayanti,India,2015-02-19
Chinese New Year,India,2015-02-19
Holika Dahana,India,2015-03-05
Holi,India,2015-03-06
March Equinox,India,2015-03-21
Chaitra Sukhladi,India,2015-03-21
Rama Navami,India,2015-03-28
Maundy Thursday,India,2015-04-02
Mahavir Jayanti,India,2015-04-02
Good Friday,India,2015-04-03
First day of Passover,India,2015-04-04
Easter Day,India,2015-04-05
Vaisakhi,India,2015-04-14
Ambedkar Jayanti,India,2015-04-14
Mesadi/Vaisakhadi,India,2015-04-15
May Day,India,2015-05-01
Hazarat Ali's Birthday,India,2015-05-03
Buddha Purnima/Vesak,India,2015-05-04
Birthday of Ravindranath,India,2015-05-09
Mother's Day,India,2015-05-10
Father's Day,India,2015-06-21
June Solstice,India,2015-06-21
Jamat Ul-Vida,India,2015-07-17
Rath Yatra,India,2015-07-18
Ramzan Id/Eid-ul-Fitar,India,2015-07-19
Guru Purnima,India,2015-07-31
Friendship Day,India,2015-08-02
Independence Day,India,2015-08-15
Parsi New Year,India,2015-08-18
Onam,India,2015-08-28
Raksha Bandhan (Rakhi),India,2015-08-29
Janmashtami,India,2015-09-05
Ganesh Chaturthi/Vinayaka Chaturthi,India,2015-09-17
September Equinox,India,2015-09-23
Bakr Id/Eid ul-Adha,India,2015-09-25
Mahatma Gandhi Jayanti,India,2015-10-02
Maha Saptami,India,2015-10-20
Maha Ashtami,India,2015-10-21
Dussehra,India,2015-10-22
Muharram/Ashura,India,2015-10-24
Maharishi Valmiki Jayanti,India,2015-10-27
Karaka Chaturthi (Karva Chauth),India,2015-10-30
Halloween,India,2015-10-31
Naraka Chaturdasi,India,2015-11-10
Diwali/Deepavali,India,2015-11-11
Govardhan Puja,India,2015-11-12
Bhai Duj,India,2015-11-13
Chhat Puja (Pratihar Sashthi/Surya Sashthi),India,2015-11-17
Guru Tegh Bahadur's Martyrdom Day,India,2015-11-24
Guru Nanak Jayanti,India,2015-11-25
First Day of Hanukkah,India,2015-12-07
Last day of Hanukkah,India,2015-12-14
December Solstice,India,2015-12-22
Christmas Eve,India,2015-12-24
Christmas,India,2015-12-25
New Year's Eve,India,2015-12-31
New Year's Day,India,2016-01-01
Makar Sankranti,India,2016-01-14
Pongal,India,2016-01-15
Guru Govind Singh Jayanti,India,2016-01-16
Republic Day,India,2016-01-26
Chinese New Year,India,2016-02-08
Vasant Panchami,India,2016-02-12
Valentine's Day,India,2016-02-14
Shivaji Jayanti,India,2016-02-19
Guru Ravidas Jayanti,India,2016-02-22
Maharishi Dayanand Saraswati Jayanti,India,2016-03-04
Maha Shivaratri/Shivaratri,India,2016-03-07
March Equinox,India,2016-03-20
Holika Dahana,India,2016-03-23
Maundy Thursday,India,2016-03-24
Holi,India,2016-03-24
Good Friday,India,2016-03-25
Easter Day,India,2016-03-27
Chaitra Sukhladi,India,2016-04-08
Vaisakhi,India,2016-04-13
Mesadi/Vaisakhadi,India,2016-04-14
Ambedkar Jayanti,India,2016-04-14
Rama Navami,India,2016-04-15
Mahavir Jayanti,India,2016-04-20
Hazarat Ali's Birthday,India,2016-04-21
First day of Passover,India,2016-04-23
May Day,India,2016-05-01
Mother's Day,India,2016-05-08
Birthday of Ravindranath,India,2016-05-08
Buddha Purnima/Vesak,India,2016-05-21
Father's Day,India,2016-06-19
June Solstice,India,2016-06-21
Jamat Ul-Vida,India,2016-07-01
Ramzan Id/Eid-ul-Fitar,India,2016-07-06
Rath Yatra,India,2016-07-06
Guru Purnima,India,2016-07-19
Friendship Day,India,2016-08-07
Independence Day,India,2016-08-15
Parsi New Year,India,2016-08-17
Raksha Bandhan (Rakhi),India,2016-08-18
Janmashtami,India,2016-08-25
Ganesh Chaturthi/Vinayaka Chaturthi,India,2016-09-05
Bakr Id/Eid ul-Adha,India,2016-09-13
Onam,India,2016-09-14
September Equinox,India,2016-09-22
Mahatma Gandhi Jayanti,India,2016-10-02
Maha Ashtami,India,2016-10-09
Dussehra,India,2016-10-11
Muharram/Ashura,India,2016-10-12
Maharishi Valmiki Jayanti,India,2016-10-16
Karaka Chaturthi (Karva Chauth),India,2016-10-19
Naraka Chaturdasi,India,2016-10-29
Diwali/Deepavali,India,2016-10-30
Halloween,India,2016-10-31
Govardhan Puja,India,2016-10-31
Bhai Duj,India,2016-11-01
Chhat Puja (Pratihar Sashthi/Surya Sashthi),India,2016-11-06
Guru Nanak Jayanti,India,2016-11-14
Guru Tegh Bahadur's Martyrdom Day,India,2016-11-24
Milad un-Nabi/Id-e-Milad,India,2016-12-13
December Solstice,India,2016-12-21
Christmas Eve,India,2016-12-24
First Day of Hanukkah,India,2016-12-25
Christmas,India,2016-12-25
New Year's Eve,India,2016-12-31
Last day of Hanukkah,India,2017-01-01
New Year's Day,India,2017-01-01
Guru Govind Singh Jayanti,India,2017-01-05
Pongal,India,2017-01-14
Makar Sankranti,India,2017-01-14
Republic Day,India,2017-01-26
Chinese New Year,India,2017-01-28
Vasant Panchami,India,2017-02-01
Guru Ravidas Jayanti,India,2017-02-10
Valentine's Day,India,2017-02-14
Shivaji Jayanti,India,2017-02-19
Maharishi Dayanand Saraswati Jayanti,India,2017-02-21
Maha Shivaratri/Shivaratri,India,2017-02-24
Holika Dahana,India,2017-03-12
Holi,India,2017-03-13
March Equinox,India,2017-03-20
Chaitra Sukhladi,India,2017-03-28
Rama Navami,India,2017-04-04
Mahavir Jayanti,India,2017-04-09
First day of Passover,India,2017-04-11
Hazarat Ali's Birthday,India,2017-04-11
Maundy Thursday,India,2017-04-13
Good Friday,India,2017-04-14
Vaisakhi,India,2017-04-14
Ambedkar Jayanti,India,2017-04-14
Mesadi/Vaisakhadi,India,2017-04-15
Easter Day,India,2017-04-16
May Day,India,2017-05-01
Birthday of Ravindranath,India,2017-05-09
Buddha Purnima/Vesak,India,2017-05-10
Mother's Day,India,2017-05-14
Father's Day,India,2017-06-18
June Solstice,India,2017-06-21
Jamat Ul-Vida,India,2017-06-23
Rath Yatra,India,2017-06-25
Ramzan Id/Eid-ul-Fitar,India,2017-06-26
Guru Purnima,India,2017-07-09
Friendship Day,India,2017-08-06
Raksha Bandhan (Rakhi),India,2017-08-07
Independence Day,India,2017-08-15
Janmashtami,India,2017-08-15
Parsi New Year,India,2017-08-17
Ganesh Chaturthi/Vinayaka Chaturthi,India,2017-08-25
Bakr Id/Eid ul-Adha,India,2017-09-02
Onam,India,2017-09-04
September Equinox,India,2017-09-23
Maha Saptami,India,2017-09-27
Maha Ashtami,India,2017-09-28
Maha Navami,India,2017-09-29
Dussehra,India,2017-09-30
Muharram/Ashura,India,2017-10-01
Mahatma Gandhi Jayanti,India,2017-10-02
Maharishi Valmiki Jayanti,India,2017-10-05
Karaka Chaturthi (Karva Chauth),India,2017-10-08
Naraka Chaturdasi,India,2017-10-18
Diwali/Deepavali,India,2017-10-19
Govardhan Puja,India,2017-10-20
Bhai Duj,India,2017-10-21
