,date,county,state,fips,cases,deaths,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths
0,2020-08-13,Autauga,Alabama,1001.0,1241,23.0,1188.0,22.0,53.0,1.0
1,2020-08-13,Baldwin,Alabama,1003.0,3776,32.0,3710.0,29.0,66.0,3.0
2,2020-08-13,Barbour,Alabama,1005.0,646,6.0,581.0,6.0,65.0,0.0
3,2020-08-13,Bibb,Alabama,1007.0,464,6.0,453.0,5.0,11.0,1.0
4,2020-08-13,Blount,Alabama,1009.0,967,5.0,825.0,5.0,142.0,0.0
5,2020-08-13,Bullock,Alabama,1011.0,500,12.0,492.0,11.0,8.0,1.0
6,2020-08-13,Butler,Alabama,1013.0,788,37.0,773.0,36.0,15.0,1.0
7,2020-08-13,Calhoun,Alabama,1015.0,1935,20.0,1828.0,19.0,107.0,1.0
8,2020-08-13,Chambers,Alabama,1017.0,918,38.0,848.0,38.0,70.0,0.0
9,2020-08-13,Cherokee,Alabama,1019.0,310,9.0,279.0,8.0,31.0,1.0
10,2020-08-13,Chilton,Alabama,1021.0,879,12.0,827.0,9.0,52.0,3.0
11,2020-08-13,Choctaw,Alabama,1023.0,296,12.0,289.0,12.0,7.0,0.0
12,2020-08-13,Clarke,Alabama,1025.0,855,10.0,821.0,10.0,34.0,0.0
13,2020-08-13,Clay,Alabama,1027.0,284,5.0,277.0,5.0,7.0,0.0
14,2020-08-13,Cleburne,Alabama,1029.0,134,1.0,129.0,1.0,5.0,0.0
15,2020-08-13,Coffee,Alabama,1031.0,830,6.0,779.0,6.0,51.0,0.0
16,2020-08-13,Colbert,Alabama,1033.0,1252,18.0,1225.0,18.0,27.0,0.0
17,2020-08-13,Conecuh,Alabama,1035.0,422,10.0,394.0,10.0,28.0,0.0
18,2020-08-13,Coosa,Alabama,1037.0,120,3.0,105.0,3.0,15.0,0.0
19,2020-08-13,Covington,Alabama,1039.0,899,23.0,746.0,21.0,153.0,2.0
20,2020-08-13,Crenshaw,Alabama,1041.0,362,9.0,331.0,8.0,31.0,1.0
21,2020-08-13,Cullman,Alabama,1043.0,1331,12.0,1238.0,12.0,93.0,0.0
22,2020-08-13,Dale,Alabama,1045.0,876,29.0,850.0,29.0,26.0,0.0
23,2020-08-13,Dallas,Alabama,1047.0,1455,25.0,1347.0,25.0,108.0,0.0
24,2020-08-13,DeKalb,Alabama,1049.0,1914,17.0,1852.0,14.0,62.0,3.0
25,2020-08-13,Elmore,Alabama,1051.0,1850,41.0,1767.0,39.0,83.0,2.0
26,2020-08-13,Escambia,Alabama,1053.0,1226,17.0,1094.0,17.0,132.0,0.0
27,2020-08-13,Etowah,Alabama,1055.0,2271,35.0,2190.0,34.0,81.0,1.0
28,2020-08-13,Fayette,Alabama,1057.0,237,5.0,223.0,5.0,14.0,0.0
29,2020-08-13,Franklin,Alabama,1059.0,1325,22.0,1308.0,22.0,17.0,0.0
30,2020-08-13,Geneva,Alabama,1061.0,285,3.0,265.0,2.0,20.0,1.0
31,2020-08-13,Greene,Alabama,1063.0,258,11.0,253.0,11.0,5.0,0.0
32,2020-08-13,Hale,Alabama,1065.0,509,26.0,488.0,26.0,21.0,0.0
33,2020-08-13,Henry,Alabama,1067.0,280,4.0,264.0,3.0,16.0,1.0
34,2020-08-13,Houston,Alabama,1069.0,1508,15.0,1450.0,13.0,58.0,2.0
35,2020-08-13,Jackson,Alabama,1071.0,1104,6.0,1072.0,4.0,32.0,2.0
36,2020-08-13,Jefferson,Alabama,1073.0,13751,263.0,13463.0,261.0,288.0,2.0
37,2020-08-13,Lamar,Alabama,1075.0,238,2.0,230.0,2.0,8.0,0.0
38,2020-08-13,Lauderdale,Alabama,1077.0,1217,20.0,1203.0,20.0,14.0,0.0
39,2020-08-13,Lawrence,Alabama,1079.0,366,3.0,356.0,3.0,10.0,0.0
40,2020-08-13,Lee,Alabama,1081.0,2930,51.0,2724.0,47.0,206.0,4.0
41,2020-08-13,Limestone,Alabama,1083.0,1406,14.0,1378.0,13.0,28.0,1.0
42,2020-08-13,Lowndes,Alabama,1085.0,588,26.0,575.0,24.0,13.0,2.0
43,2020-08-13,Macon,Alabama,1087.0,354,14.0,341.0,14.0,13.0,0.0
44,2020-08-13,Madison,Alabama,1089.0,5632,40.0,5510.0,35.0,122.0,5.0
45,2020-08-13,Marengo,Alabama,1091.0,579,18.0,568.0,17.0,11.0,1.0
46,2020-08-13,Marion,Alabama,1093.0,624,26.0,587.0,26.0,37.0,0.0
47,2020-08-13,Marshall,Alabama,1095.0,3293,39.0,3199.0,38.0,94.0,1.0
48,2020-08-13,Mobile,Alabama,1097.0,10763,221.0,10671.0,216.0,92.0,5.0
49,2020-08-13,Monroe,Alabama,1099.0,488,7.0,424.0,6.0,64.0,1.0
50,2020-08-13,Montgomery,Alabama,1101.0,7099,156.0,6955.0,153.0,144.0,3.0
51,2020-08-13,Morgan,Alabama,1103.0,2467,22.0,2425.0,20.0,42.0,2.0
52,2020-08-13,Perry,Alabama,1105.0,477,4.0,446.0,4.0,31.0,0.0
53,2020-08-13,Pickens,Alabama,1107.0,422,11.0,411.0,10.0,11.0,1.0
