,date,state,fips,cases,deaths,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths
0,2020-08-13,Alabama,1,104786,1882,100801.0,1814.0,3985.0,68.0
1,2020-08-13,Alaska,2,4653,25,4653.0,25.0,0.0,0.0
2,2020-08-13,Arizona,4,189522,4348,,,,
3,2020-08-13,Arkansas,5,51114,573,51114.0,573.0,0.0,0.0
4,2020-08-13,California,6,595097,10808,595097.0,10808.0,0.0,0.0
5,2020-08-13,Colorado,8,51847,1881,,,,
6,2020-08-13,Connecticut,9,50706,4450,,,,
7,2020-08-13,Delaware,10,15765,592,,,,
8,2020-08-13,District of Columbia,11,12959,593,12959.0,593.0,0.0,0.0
9,2020-08-13,Florida,12,550893,8764,0.0,8764.0,550893.0,0.0
10,2020-08-13,Georgia,13,209683,4360,209683.0,4360.0,0.0,0.0
11,2020-08-13,Guam,66,1418,6,1410.0,6.0,8.0,0.0
12,2020-08-13,Hawaii,15,3935,37,,,,
13,2020-08-13,Idaho,16,26280,251,24489.0,221.0,1791.0,30.0
14,2020-08-13,Illinois,17,200586,7899,199286.0,7689.0,1300.0,210.0
15,2020-08-13,Indiana,18,78337,3086,76522.0,2878.0,1815.0,208.0
16,2020-08-13,Iowa,19,49973,953,49973.0,953.0,0.0,0.0
17,2020-08-13,Kansas,20,32969,396,,,,
18,2020-08-13,Kentucky,21,38546,809,,,,
19,2020-08-13,Louisiana,22,134427,4361,134304.0,4238.0,123.0,123.0
20,2020-08-13,Maine,23,4070,126,3662.0,126.0,408.0,0.0
21,2020-08-13,Maryland,24,97959,3612,97846.0,3480.0,113.0,132.0
22,2020-08-13,Massachusetts,25,122000,8769,113198.0,8547.0,8802.0,222.0
23,2020-08-13,Michigan,26,98825,6541,89187.0,6275.0,9638.0,266.0
24,2020-08-13,Minnesota,27,62349,1724,62303.0,1678.0,46.0,46.0
25,2020-08-13,Mississippi,28,69374,1989,67913.0,1922.0,1461.0,67.0
26,2020-08-13,Missouri,29,63328,1407,63199.0,1406.0,129.0,1.0
27,2020-08-13,Montana,30,5292,80,5288.0,80.0,4.0,0.0
28,2020-08-13,Nebraska,31,29244,359,29244.0,359.0,0.0,0.0
29,2020-08-13,Nevada,32,58132,999,58125.0,999.0,7.0,0.0
30,2020-08-13,New Hampshire,33,6887,420,6887.0,420.0,0.0,0.0
31,2020-08-13,New Jersey,34,187777,15885,185938.0,14046.0,1839.0,1839.0
32,2020-08-13,New Mexico,35,22816,695,22816.0,695.0,0.0,0.0
33,2020-08-13,New York,36,427419,32384,422787.0,27752.0,4632.0,4632.0
34,2020-08-13,North Carolina,37,139413,2277,139413.0,2277.0,0.0,0.0
35,2020-08-13,North Dakota,38,7974,124,7970.0,120.0,4.0,4.0
36,2020-08-13,Northern Mariana Islands,69,49,2,49.0,2.0,0.0,0.0
37,2020-08-13,Ohio,39,104248,3734,,,,
38,2020-08-13,Oklahoma,40,45392,627,45392.0,627.0,0.0,0.0
39,2020-08-13,Oregon,41,22029,378,21277.0,188.0,752.0,190.0
40,2020-08-13,Pennsylvania,42,125965,7447,,,,
41,2020-08-13,Puerto Rico,72,24074,295,10169.0,174.0,13905.0,121.0
42,2020-08-13,Rhode Island,44,20129,1018,20129.0,1018.0,0.0,0.0
43,2020-08-13,South Carolina,45,102974,2144,102143.0,2057.0,831.0,87.0
44,2020-08-13,South Dakota,46,9815,147,9813.0,,2.0,
45,2020-08-13,Tennessee,47,123489,1274,121529.0,610.0,1960.0,664.0
46,2020-08-13,Texas,48,529465,9638,512829.0,6948.0,16636.0,2690.0
47,2020-08-13,Utah,49,45181,355,27448.0,216.0,17733.0,139.0
48,2020-08-13,Vermont,50,1478,58,1478.0,58.0,0.0,0.0
49,2020-08-13,Virginia,51,102521,2352,,,,
50,2020-08-13,Virgin Islands,78,639,9,639.0,9.0,0.0,0.0
51,2020-08-13,Washington,53,67171,1789,65387.0,1716.0,1784.0,73.0
52,2020-08-13,West Virginia,54,8008,153,7844.0,152.0,164.0,1.0
53,2020-08-13,Wisconsin,55,66705,1022,62314.0,1015.0,4391.0,7.0
54,2020-08-13,Wyoming,56,3086,29,2600.0,,486.0,
