,county,totalcases,newcases,totaldeaths,newdeaths,activecases,totaltests
0,California Total,594808.0,"+9,090",10810.0,160.0,346087.0,9303467.0
1,Los Angeles,214197.0,"+2,389",5109.0,52.0,209088.0,1984394.0
2,Riverside,44237.0,+861,853.0,29.0,20531.0,421273.0
3,Orange,41823.0,+245,745.0,11.0,8860.0,504559.0
4,San Bernardino,38290.0,+923,555.0,6.0,7578.0,311994.0
5,San Diego,33393.0,+236,608.0,6.0,5106.0,690861.0
6,Kern,25179.0,+184,183.0,,17371.0,147451.0
7,Fresno,18344.0,+366,191.0,,10877.0,151188.0
8,Alameda,14099.0,+435,212.0,7.0,13887.0,313365.0
9,San Joaquin,14026.0,+156,239.0,4.0,1306.0,
10,Santa Clara,13059.0,+97,207.0,,12852.0,446926.0
11,Sacramento,12478.0,+204,186.0,7.0,81.0,184780.0
12,Tulare,11643.0,+94,205.0,7.0,1318.0,
13,Stanislaus,11592.0,+737,182.0,5.0,1172.0,71921.0
14,Contra Costa,10103.0,+316,149.0,3.0,1155.0,157696.0
15,Imperial,9919.0,+52,252.0,8.0,914.0,52105.0
16,Ventura,8953.0,+102,93.0,,3286.0,129767.0
17,San Francisco,7834.0,+142,67.0,,7767.0,302175.0
18,Santa Barbara,7083.0,+9,73.0,,249.0,90759.0
19,San Mateo,6535.0,+104,122.0,,6413.0,118432.0
20,Merced,6224.0,+122,74.0,,2318.0,32927.0
21,Monterey,5628.0,+134,39.0,2.0,2015.0,56803.0
22,Marin,5583.0,+112,81.0,,465.0,59898.0
23,Kings,5067.0,+479,62.0,6.0,2212.0,31246.0
24,Solano,4414.0,+76,41.0,,231.0,60258.0
25,Sonoma,3825.0,+72,51.0,1.0,1785.0,75381.0
26,Madera,2759.0,+169,44.0,4.0,746.0,28993.0
27,Placer,2413.0,+36,26.0,2.0,387.0,43339.0
28,San Luis Obispo,2300.0,+22,17.0,,348.0,40079.0
29,Yolo,1918.0,+20,45.0,,1873.0,27718.0
30,Santa Cruz,1352.0,+65,6.0,,970.0,32811.0
31,Butte,1305.0,+25,8.0,,211.0,19158.0
32,Napa,1143.0,+14,11.0,,739.0,36115.0
33,Sutter,1041.0,+45,7.0,,469.0,8363.0
34,El Dorado,793.0,+8,2.0,,155.0,20431.0
35,San Benito,773.0,+6,4.0,,54.0,9773.0
36,Yuba,688.0,+22,4.0,,325.0,5313.0
37,Lassen,685.0,,,,156.0,5315.0
38,Mendocino,489.0,+11,10.0,,199.0,19918.0
39,Shasta,476.0,+7,10.0,,46.0,26604.0
40,Glenn,403.0,,3.0,,38.0,3183.0
41,Colusa,397.0,+1,5.0,,20.0,2663.0
42,Nevada,358.0,+1,1.0,,48.0,14259.0
43,Tehama,304.0,+1,1.0,,38.0,7309.0
44,Humboldt,299.0,+6,4.0,,62.0,17840.0
45,Lake,260.0,+7,2.0,,33.0,8157.0
46,Amador,198.0,+3,10.0,,48.0,4900.0
47,Calaveras,161.0,,1.0,,29.0,4593.0
48,Mono,160.0,+2,1.0,,159.0,4023.0
49,Tuolumne,159.0,,2.0,,6.0,8799.0
50,Inyo,115.0,+2,5.0,,56.0,3618.0
51,Siskiyou,108.0,+2,,,11.0,5712.0
52,Del Norte,104.0,,,,13.0,6335.0
53,Mariposa,63.0,,2.0,,3.0,4234.0
54,Plumas,38.0,+1,,,4.0,1491.0
55,Trinity,6.0,,,,1.0,1523.0
56,Modoc,5.0,,,,1.0,1319.0
57,Sierra,5.0,,,,2.0,492.0
58,Alpine,2.0,,,,,16.0
59,Alameda - Berkeley,,,,,,
60,Yuba-Sutter,,,,,,
61,Unassigned,,,,,,2482912.0
62,Total:,594808.0,"+9,090",10810.0,160.0,346087.0,9303467.0
