,county,totalcases,newcases,totaldeaths,newdeaths,activecases,totaltests
0,New Jersey Total,191507.0,372.0,15964.0,7.0,21865.0,2376016.0
1,Bergen,21147.0,32.0,2036.0,,19111.0,
2,Hudson,20403.0,58.0,1555.0,,18848.0,
3,Passaic,20157.0,,1242.0,,18915.0,75996.0
4,Essex,20047.0,32.0,2110.0,,17937.0,149620.0
5,Middlesex,18193.0,30.0,1409.0,1.0,16784.0,
6,Union,16948.0,29.0,1348.0,,15600.0,
7,Monmouth,10777.0,33.0,856.0,,9921.0,
8,Ocean,10719.0,12.0,1020.0,,9699.0,
9,Camden,9296.0,34.0,579.0,,8717.0,
10,Mercer,8182.0,4.0,621.0,,7561.0,
11,Morris,7474.0,13.0,829.0,,6645.0,
12,Burlington,6341.0,25.0,498.0,2.0,5843.0,
13,Somerset,5350.0,10.0,564.0,2.0,4786.0,
14,Atlantic,3728.0,13.0,256.0,,1257.0,
15,Cumberland,3390.0,11.0,158.0,,3232.0,
16,Gloucester,3335.0,25.0,214.0,1.0,3121.0,37601.0
17,Warren,1462.0,5.0,172.0,,247.0,
18,Sussex,1421.0,3.0,198.0,,49.0,
19,Hunterdon,1204.0,,124.0,,1080.0,
20,Cape May,1020.0,3.0,88.0,1.0,89.0,
21,Salem,913.0,1.0,87.0,,114.0,9497.0
22,Unassigned,,,,,,2103302.0
23,Total:,191507.0,372.0,15964.0,7.0,21865.0,2376016.0
