,county,totalcases,newcases,totaldeaths,newdeaths,activecases,totaltests
0,New York Total,452509,773.0,32874.0,17.0,72726.0,6728481.0
1,Queens,70059,96.0,7201.0,2.0,62858.0,789219.0
2,Suffolk,68340,127.0,1998.0,,36286.0,539870.0
3,Kings,65038,102.0,7261.0,,57777.0,863088.0
4,Bronx,51299,91.0,4872.0,1.0,46427.0,527242.0
5,Nassau,43761,37.0,2195.0,,37436.0,521121.0
6,Westchester,36324,52.0,1447.0,,34877.0,438649.0
7,Manhattan,31787,76.0,3154.0,1.0,28633.0,641557.0
8,Richmond,15155,21.0,1077.0,,14078.0,178522.0
9,Rockland,13966,12.0,674.0,,13292.0,113150.0
10,Orange,11252,2.0,493.0,,9421.0,109828.0
11,Erie,9013,26.0,674.0,3.0,8339.0,264945.0
12,Monroe,5035,33.0,289.0,,611.0,255700.0
13,Dutchess,4631,12.0,153.0,,247.0,105107.0
14,Onondaga,3613,11.0,203.0,2.0,246.0,155354.0
15,Albany,2624,10.0,129.0,1.0,154.0,86206.0
16,Oneida,2180,5.0,116.0,,149.0,83682.0
17,Ulster,2085,1.0,92.0,,157.0,62350.0
18,Putnam,1646,,63.0,,,30089.0
19,Niagara,1514,2.0,99.0,,38.0,61138.0
20,Sullivan,1491,1.0,50.0,,,20128.0
21,Broome,1150,7.0,75.0,,158.0,67829.0
22,Schenectady,1079,4.0,43.0,,100.0,47153.0
23,Rensselaer,828,9.0,38.0,,82.0,37361.0
24,Saratoga,804,4.0,17.0,,47.0,53280.0
25,Columbia,548,2.0,47.0,,27.0,20157.0
26,Madison,440,1.0,17.0,,11.0,19189.0
27,Greene,377,3.0,18.0,,4.0,11708.0
28,Ontario,363,1.0,34.0,,15.0,30882.0
29,Steuben,315,,42.0,,8.0,22748.0
30,Warren,312,,34.0,,6.0,18190.0
31,Fulton,299,2.0,28.0,,271.0,15118.0
32,Orleans,298,,55.0,,117.0,9532.0
33,Genesee,280,1.0,6.0,,69.0,17774.0
34,Herkimer,277,,7.0,,270.0,23252.0
35,St. Lawrence,263,,4.0,,3.0,31117.0
36,Chautauqua,262,1.0,9.0,,7.0,35749.0
37,Washington,260,,14.0,,24.0,16493.0
38,Oswego,260,1.0,4.0,,7.0,29608.0
39,Wayne,258,6.0,5.0,1.0,23.0,28628.0
40,Clinton,257,1.0,4.0,,2.0,21788.0
41,Tompkins,234,,2.0,,13.0,36234.0
42,Livingston,224,,8.0,,3.0,16474.0
43,Chenango,218,,7.0,,15.0,18819.0
44,Jefferson,214,,1.0,,9.0,24002.0
45,Tioga,202,,25.0,,5.0,12401.0
46,Montgomery,177,,4.0,,62.0,16844.0
47,Chemung,177,1.0,3.0,,40.0,27378.0
48,Cattaraugus,168,,6.0,,34.0,22310.0
49,Cayuga,161,4.0,3.0,,15.0,22772.0
50,Otsego,118,,6.0,,9.0,15589.0
51,Wyoming,118,,5.0,,7.0,10782.0
52,Allegany,115,,2.0,,3.0,10688.0
53,Delaware,106,,4.0,,14.0,13179.0
54,Cortland,96,1.0,1.0,,4.0,16882.0
55,Seneca,91,,3.0,,21.0,9432.0
56,Schoharie,69,,2.0,,4.0,5283.0
57,Yates,57,,7.0,,1.0,6397.0
58,Lewis,57,1.0,5.0,,5.0,6993.0
59,Essex,56,,,,56.0,10773.0
60,Franklin,54,,1.0,,53.0,13709.0
61,Schuyler,23,,,,,5572.0
62,Hamilton,8,,1.0,,7.0,1467.0
63,Unassigned,23,6.0,37.0,6.0,,
64,Total:,452509,773.0,32874.0,17.0,72726.0,6728481.0
