,county,totalcases,newcases,totaldeaths,newdeaths,activecases,totaltests
0,Ohio Total,104268.0,"+1,419",3738.0,28.0,18220.0,1722857.0
1,Franklin,18965.0,+268,531.0,2.0,18434.0,
2,Cuyahoga,13869.0,+135,512.0,7.0,13357.0,
3,Hamilton,9844.0,+78,259.0,2.0,8726.0,
4,Lucas,5512.0,+64,326.0,,5186.0,38417.0
5,Montgomery,4489.0,+51,98.0,2.0,4391.0,
6,Summit,3667.0,+53,224.0,1.0,3443.0,
7,Butler,3033.0,+57,64.0,1.0,2969.0,
8,Marion,2942.0,+7,45.0,,2897.0,
9,Mahoning,2623.0,+28,256.0,1.0,2367.0,
10,Pickaway,2400.0,+9,42.0,,2358.0,
11,Stark,1904.0,+20,142.0,2.0,1762.0,
12,Warren,1850.0,+29,39.0,,1811.0,
13,Lorain,1831.0,+18,78.0,,1135.0,
14,Columbiana,1683.0,+12,60.0,,974.0,
15,Trumbull,1563.0,+14,110.0,2.0,1453.0,
16,Fairfield,1432.0,+16,32.0,,1257.0,
17,Delaware,1365.0,+21,19.0,,1141.0,
18,Licking,1345.0,+26,51.0,,1294.0,
19,Clark,1213.0,+35,15.0,,1198.0,
20,Lake,1146.0,+15,42.0,1.0,1104.0,
21,Wood,1090.0,+22,58.0,,1032.0,
22,Clermont,962.0,+9,11.0,,715.0,
23,Medina,959.0,+14,36.0,1.0,923.0,
24,Miami,868.0,+10,39.0,,829.0,
25,Tuscarawas,797.0,+4,14.0,,320.0,
26,Allen,794.0,+25,46.0,,748.0,
27,Portage,776.0,+5,64.0,1.0,712.0,
28,Greene,730.0,+12,12.0,,718.0,
29,Mercer,641.0,+10,13.0,,628.0,
30,Belmont,627.0,+4,26.0,,83.0,
31,Richland,619.0,+5,12.0,,126.0,
32,Erie,610.0,+13,28.0,,582.0,
33,Ashtabula,577.0,+1,46.0,,531.0,
34,Geauga,561.0,+2,44.0,,517.0,
35,Wayne,554.0,+9,59.0,1.0,495.0,
36,Ross,509.0,+15,4.0,,460.0,
37,Madison,503.0,+102,10.0,,493.0,
38,Darke,414.0,+8,29.0,,203.0,
39,Huron,411.0,+7,5.0,,406.0,
40,Ottawa,404.0,+8,26.0,,378.0,
41,Sandusky,399.0,+9,17.0,,382.0,
42,Hancock,397.0,+8,3.0,,394.0,
43,Athens,361.0,+1,2.0,,343.0,
44,Holmes,331.0,+3,6.0,,325.0,
45,Lawrence,318.0,+18,,,318.0,
46,Auglaize,275.0,+12,6.0,,181.0,
47,Union,273.0,+13,1.0,,200.0,
48,Muskingum,265.0,+3,1.0,,54.0,
49,Scioto,259.0,+17,1.0,,258.0,
50,Jefferson,240.0,+3,3.0,,156.0,
51,Seneca,234.0,+6,4.0,1.0,202.0,
52,Shelby,215.0,+5,4.0,,211.0,
53,Knox,214.0,+2,7.0,,116.0,2645.0
54,Putnam,212.0,+1,17.0,,195.0,
55,Preble,212.0,+5,2.0,,154.0,
56,Washington,211.0,+2,22.0,,189.0,
57,Coshocton,196.0,,7.0,,189.0,
58,Champaign,188.0,+7,2.0,,186.0,
59,Morrow,179.0,+3,2.0,,177.0,
60,Crawford,178.0,+1,5.0,,9.0,
61,Hardin,175.0,+5,12.0,,163.0,
62,Clinton,171.0,+2,6.0,,165.0,
63,Highland,169.0,+3,2.0,1.0,155.0,
64,Logan,167.0,+7,2.0,,102.0,
65,Ashland,155.0,+1,3.0,,27.0,
66,Fulton,155.0,+2,1.0,,154.0,
67,Defiance,154.0,+4,4.0,,150.0,
68,Wyandot,151.0,+1,9.0,,142.0,
69,Brown,150.0,+4,2.0,,51.0,
70,Perry,148.0,+8,3.0,,145.0,
71,Williams,137.0,+1,3.0,,134.0,
72,Fayette,124.0,+3,,,65.0,
73,Hocking,122.0,+4,9.0,,113.0,
74,Henry,122.0,,2.0,,120.0,
75,Guernsey,119.0,,7.0,,112.0,
76,Carroll,113.0,,5.0,,81.0,
77,Monroe,94.0,,18.0,,76.0,
78,Pike,80.0,+1,,,39.0,880.0
79,Jackson,77.0,+1,,,61.0,
80,Gallia,74.0,+4,1.0,,73.0,
81,Van Wert,73.0,,2.0,,71.0,
82,Paulding,70.0,,1.0,,69.0,
83,Adams,64.0,+3,2.0,,62.0,
84,Meigs,59.0,+5,2.0,2.0,28.0,
85,Vinton,33.0,,2.0,,2.0,215.0
86,Morgan,30.0,,,,24.0,
87,Harrison,26.0,,1.0,,25.0,
88,Noble,17.0,,,,17.0,
89,Unassigned,,,,,,1680700.0
90,Total:,104268.0,"+1,419",3738.0,28.0,18220.0,1722857.0
