,county,totalcases,newcases,totaldeaths,newdeaths,activecases,totaltests
0,Pennsylvania Total,125963.0,902.0,7470.0,43.0,24012.0,1397494
1,Philadelphia,31725.0,141.0,1716.0,6.0,30009.0,260563
2,Montgomery,10219.0,32.0,859.0,1.0,9360.0,110742
3,Delaware,9482.0,90.0,752.0,6.0,1589.0,79806
4,Allegheny,9078.0,70.0,273.0,13.0,2759.0,129935
5,Bucks,7275.0,44.0,582.0,,714.0,72768
6,Lancaster,6028.0,29.0,417.0,3.0,5611.0,59268
7,Berks,5470.0,39.0,372.0,3.0,5098.0,38632
8,Chester,5234.0,40.0,350.0,1.0,861.0,57459
9,Lehigh,5022.0,30.0,338.0,,4684.0,47168
10,Northampton,3956.0,12.0,300.0,,3656.0,43347
11,Luzerne,3526.0,49.0,184.0,,3342.0,36708
12,Dauphin,2873.0,23.0,159.0,,2714.0,32305
13,York,2680.0,43.0,97.0,3.0,2583.0,41485
14,Lackawanna,1946.0,2.0,212.0,,1734.0,11303
15,Monroe,1650.0,8.0,124.0,,1526.0,18687
16,Lebanon,1626.0,5.0,55.0,,206.0,15286
17,Westmoreland,1573.0,18.0,47.0,,1526.0,33922
18,Franklin,1385.0,10.0,46.0,,1339.0,15220
19,Beaver,1351.0,19.0,93.0,1.0,1258.0,5957
20,Cumberland,1327.0,16.0,71.0,,1256.0,21283
21,Erie,1143.0,17.0,28.0,1.0,223.0,20881
22,Schuylkill,928.0,6.0,51.0,,877.0,14141
23,Washington,871.0,9.0,13.0,,858.0,6966
24,Butler,695.0,18.0,16.0,1.0,679.0,4446
25,Fayette,582.0,20.0,6.0,,576.0,4591
26,Adams,535.0,4.0,20.0,,515.0,9536
27,Pike,526.0,,21.0,,505.0,2725
28,Northumberland,513.0,6.0,15.0,2.0,498.0,7868
29,Columbia,481.0,3.0,35.0,,446.0,5922
30,Mercer,456.0,10.0,11.0,,445.0,2965
31,Lycoming,411.0,4.0,30.0,1.0,381.0,9465
32,Lawrence,401.0,9.0,16.0,,385.0,2339
33,Carbon,377.0,5.0,28.0,,349.0,7442
34,Centre,377.0,4.0,10.0,,367.0,10280
35,Cambria,351.0,2.0,3.0,,348.0,17607
36,Indiana,335.0,9.0,7.0,,328.0,6574
37,Huntingdon,309.0,,4.0,,305.0,3508
38,Blair,302.0,4.0,7.0,1.0,295.0,11927
39,Union,276.0,14.0,2.0,,274.0,7172
40,Armstrong,230.0,8.0,8.0,,222.0,1870
41,Susquehanna,217.0,2.0,27.0,,190.0,1686
42,Clearfield,177.0,3.0,1.0,,176.0,4596
43,Wayne,162.0,,10.0,,152.0,2222
44,Crawford,162.0,4.0,1.0,,161.0,4457
45,Bedford,145.0,2.0,4.0,,141.0,3103
46,Somerset,138.0,2.0,3.0,,135.0,6968
47,Juniata,135.0,2.0,6.0,,129.0,1655
48,Perry,125.0,1.0,5.0,,120.0,2955
49,Clinton,124.0,1.0,5.0,,119.0,2889
50,Mifflin,121.0,1.0,1.0,,120.0,4697
51,Greene,118.0,1.0,1.0,,117.0,1224
52,Snyder,112.0,3.0,2.0,,110.0,2230
53,Montour,104.0,,3.0,,101.0,6800
54,Bradford,90.0,,3.0,,87.0,3062
55,Clarion,83.0,2.0,2.0,,81.0,1055
56,Jefferson,74.0,1.0,1.0,,73.0,2483
57,Venango,67.0,2.0,,,67.0,688
58,Wyoming,61.0,,8.0,,53.0,975
59,Elk,54.0,4.0,2.0,,52.0,382
60,Tioga,38.0,,3.0,,35.0,694
61,McKean,34.0,,1.0,,33.0,768
62,Fulton,27.0,,2.0,,25.0,816
63,Warren,23.0,,1.0,,22.0,479
64,Potter,20.0,,,,20.0,181
65,Forest,10.0,,,,10.0,103
66,Sullivan,10.0,,,,10.0,112
67,Cameron,7.0,,,,7.0,150
68,Unassigned,,,,,,49995
69,Total:,125963.0,902.0,7470.0,43.0,24012.0,1397494
