,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Projections
0,USA Total,5360302,"+54,345",169131.0,"+1,386",2378568,16194.0,511.0,67551161.0,204080.0,
1,California,594808,"+9,090",10810.0,+160,346087,15054.0,274.0,9303467.0,235458.0,[projections]
2,Florida,550901,"+8,109",8770.0,+212,489178,25650.0,408.0,4093972.0,190615.0,[projections]
3,Texas,532985,"+6,305",9229.0,+225,156402,18381.0,318.0,4549474.0,156901.0,[projections]
4,New York,452509,+773,32874.0,+17,72726,23261.0,1690.0,6728481.0,345874.0,[projections]
5,Georgia,226153,"+3,565",4456.0,+105,184169,21300.0,420.0,2162619.0,203686.0,[projections]
6,Illinois,199893,"+1,645",7881.0,+15,46244,15775.0,622.0,3189801.0,251724.0,[projections]
7,New Jersey,191507,+372,15964.0,+2,21865,21561.0,1797.0,2376016.0,267503.0,[projections]
8,Arizona,189443,+706,4347.0,+148,158678,26027.0,597.0,1284786.0,176513.0,[projections]
9,North Carolina,139061,+249,2255.0,,19837,13259.0,215.0,1823283.0,173843.0,[projections]
10,Louisiana,134304,"+1,179",4362.0,+48,26430,28890.0,938.0,1598609.0,343876.0,[projections]
11,Tennessee,126393,"+1,478",1289.0,+18,37814,18508.0,189.0,1757690.0,257380.0,[projections]
12,Pennsylvania,125963,+902,7470.0,+43,24012,9839.0,584.0,1397494.0,109162.0,[projections]
13,Massachusetts,122000,+293,8769.0,+18,12745,17700.0,1272.0,1456081.0,211256.0,[projections]
14,Alabama,104786,+935,1882.0,+35,61381,21371.0,384.0,791786.0,161484.0,[projections]
15,Ohio,104268,"+1,419",3738.0,+28,18220,8920.0,320.0,1722857.0,147390.0,[projections]
16,South Carolina,102974,+844,2144.0,+46,59993,20000.0,416.0,857773.0,166599.0,[projections]
17,Virginia,102521,+776,2352.0,+8,86922,12011.0,276.0,1394823.0,163414.0,[projections]
18,Michigan,98689,+476,6539.0,+6,28514,9882.0,655.0,2440044.0,244326.0,[projections]
19,Maryland,97384,+541,3612.0,+8,87816,16108.0,597.0,1503630.0,248711.0,[projections]
20,Indiana,76522,+660,3086.0,+17,16227,11367.0,458.0,1097934.0,163086.0,[projections]
21,Mississippi,69374,"+1,081",1989.0,+45,17549,23310.0,668.0,524118.0,176106.0,[projections]
22,Washington,66497,+557,1726.0,+5,42276,8732.0,227.0,1010191.0,132660.0,[projections]
23,Missouri,63159,"+1,472",1423.0,+13,51739,10291.0,232.0,861382.0,140349.0,[projections]
24,Minnesota,62303,+464,1724.0,+17,4724,11047.0,306.0,1188288.0,210703.0,[projections]
25,Wisconsin,62263,+478,1011.0,+5,8902,10694.0,174.0,1085986.0,186518.0,[projections]
26,Nevada,58048,+528,996.0,+15,31041,18846.0,323.0,717306.0,232880.0,[projections]
27,Colorado,51756,+315,1875.0,,29791,8987.0,326.0,602296.0,104588.0,[projections]
28,Arkansas,51114,+703,573.0,+7,7543,16937.0,190.0,572868.0,189829.0,[projections]
29,Connecticut,50706,+22,4450.0,+6,17094,14222.0,1248.0,917282.0,257281.0,[projections]
30,Iowa,49816,+477,953.0,+13,10176,15789.0,302.0,531316.0,168401.0,[projections]
31,Oklahoma,45398,+670,627.0,+9,6783,11473.0,158.0,729940.0,184469.0,[projections]
32,Utah,45090,+338,351.0,+2,9428,14064.0,109.0,704270.0,219675.0,[projections]
33,Kentucky,36945,"+1,152",790.0,+7,27262,8269.0,177.0,717370.0,160569.0,[projections]
34,Kansas,32862,+792,396.0,+4,12146,11280.0,136.0,334563.0,114839.0,[projections]
35,Nebraska,29244,+214,356.0,+5,7425,15118.0,184.0,309938.0,160224.0,[projections]
36,Idaho,26133,+538,246.0,,16037,14623.0,138.0,212898.0,119133.0,[projections]
37,New Mexico,22816,+173,695.0,+2,12377,10881.0,331.0,644823.0,307523.0,[projections]
38,Oregon,22022,+248,375.0,+7,17402,5221.0,89.0,461395.0,109394.0,[projections]
39,Rhode Island,20129,+76,1018.0,+2,17182,19001.0,961.0,411727.0,388656.0,[projections]
40,Delaware,15765,+66,592.0,+1,6622,16190.0,608.0,203453.0,208935.0,[projections]
41,District Of Columbia,12959,+63,593.0,,2066,18362.0,840.0,226741.0,321277.0,[projections]
42,South Dakota,9815,+102,147.0,+1,1062,11095.0,166.0,123628.0,139747.0,[projections]
43,West Virginia,8008,+133,153.0,+6,1895,4468.0,85.0,335075.0,186968.0,[projections]
44,North Dakota,7970,+85,120.0,+2,1035,10458.0,157.0,173019.0,227041.0,[projections]
45,New Hampshire,6887,+26,420.0,+1,305,5065.0,309.0,208646.0,153449.0,[projections]
46,Montana,5268,+164,80.0,+3,1590,4929.0,75.0,196036.0,183421.0,[projections]
47,Maine,4070,+20,126.0,,365,3028.0,94.0,207843.0,154621.0,[projections]
48,Hawaii,3958,+202,38.0,+4,2255,2795.0,27.0,189492.0,133834.0,[projections]
49,Alaska,3881,+60,27.0,+1,2510,5305.0,37.0,292582.0,399951.0,[projections]
50,Wyoming,3086,+13,29.0,,480,5332.0,50.0,86425.0,149328.0,[projections]
51,Vermont,1478,+6,58.0,,118,2369.0,93.0,105073.0,168389.0,[projections]
52,Guam,449,+15,5.0,,102,,,26377.0,,
53,Northern Mariana Islands,49,,2.0,,28,,,14419.0,,
54,Puerto Rico,24074,+671,295.0,+8,21512,7108.0,87.0,464073.0,137018.0,
55,United States Virgin Islands,639,+63,9.0,,162,,,11444.0,,
56,US Military,46332,"+1,017",73.0,,22019,,,,,
57,Veteran Affairs,44892,+953,2373.0,+36,4658,,,494766.0,,
58,Federal Prisons,12497,+71,112.0,,1768,,,41839.0,,
59,Navajo Nation,9334,,473.0,,5730,,,81604.0,,
60,Grand Princess Ship,103,,3.0,,100,,,,,
61,Wuhan Repatriated,3,,,,3,,,3.0,,
62,Diamond Princess Ship,46,,,,46,,,46.0,,
63,Total:,5360302,"+54,345",169131.0,"+1,386",2378568,16194.0,511.0,67551161.0,204080.0,
