,county,totalcases,newcases,totaldeaths,newdeaths,activecases,totaltests
0,Washington Total,66497.0,557.0,1726.0,9.0,42276.0,1010191
1,King,16979.0,149.0,684.0,,16295.0,345323
2,Yakima,11022.0,40.0,215.0,3.0,1884.0,41127
3,Snohomish,6353.0,35.0,197.0,,3099.0,76157
4,Pierce,5874.0,69.0,143.0,,2584.0,75234
5,Spokane,4667.0,62.0,93.0,,1849.0,53882
6,Benton,3788.0,12.0,119.0,2.0,3669.0,21710
7,Franklin,3577.0,17.0,51.0,2.0,3526.0,14024
8,Clark,2160.0,39.0,45.0,2.0,2115.0,36605
9,Grant,1599.0,,13.0,,898.0,10717
10,Chelan,1405.0,37.0,10.0,,1395.0,10975
11,Whatcom,1000.0,9.0,39.0,,961.0,32702
12,Douglas,976.0,11.0,7.0,,969.0,5316
13,Skagit,904.0,13.0,21.0,,254.0,19677
14,Okanogan,881.0,4.0,9.0,,806.0,4363
15,Thurston,809.0,7.0,11.0,,141.0,23235
16,Kitsap,783.0,10.0,7.0,,50.0,21172
17,Walla Walla,571.0,11.0,3.0,,118.0,7891
18,Cowlitz,501.0,,5.0,,241.0,12004
19,Adams,462.0,1.0,5.0,,126.0,2816
20,Kittitas,452.0,9.0,20.0,,117.0,5528
21,Mason,256.0,1.0,1.0,,255.0,5145
22,Island,249.0,,11.0,,238.0,5083
23,Lewis,243.0,,4.0,,148.0,6393
24,Clallam,142.0,3.0,,,32.0,9861
25,Klickitat,134.0,8.0,3.0,,21.0,2714
26,Grays Harbor,126.0,2.0,3.0,,123.0,3967
27,Whitman,126.0,2.0,,,80.0,1878
28,Stevens,112.0,,1.0,,111.0,2956
29,Skamania,58.0,,1.0,,2.0,1347
30,Pacific,55.0,4.0,2.0,,13.0,2320
31,Jefferson,55.0,,,,,5549
32,Pend Oreille,46.0,2.0,,,46.0,1147
33,San Juan,30.0,,,,30.0,2849
34,Asotin,29.0,,2.0,,27.0,1386
35,Lincoln,27.0,,,,23.0,595
36,Ferry,24.0,,,,24.0,557
37,Columbia,13.0,,1.0,,,411
38,Wahkiakum,5.0,,,,5.0,371
39,Garfield,4.0,,,,2.0,112
40,Unassigned,,,,,,135092
41,Total:,66497.0,557.0,1726.0,9.0,42276.0,1010191
