,county,totalcases,newcases,totaldeaths,newdeaths,activecases,totaltests
0,California Total,705866.0,"+3,817",12938.0,35.0,369670.0,11231829.0
1,Los Angeles,240749.0,+993,5769.0,10.0,234980.0,2282165.0
2,Riverside,51918.0,+58,1007.0,,9698.0,506716.0
3,Orange,48444.0,+254,979.0,4.0,6517.0,637885.0
4,San Bernardino,47373.0,+228,716.0,,6075.0,486631.0
5,San Diego,38300.0,+253,682.0,3.0,3622.0,824909.0
6,Kern,29230.0,+125,286.0,,17253.0,167427.0
7,Fresno,24821.0,+209,263.0,,12652.0,195974.0
8,Alameda,18040.0,+193,258.0,11.0,17782.0,403096.0
9,San Joaquin,17493.0,+379,307.0,,1927.0,
10,Sacramento,17150.0,,274.0,,3405.0,282198.0
11,Santa Clara,17013.0,,244.0,,16769.0,572298.0
12,Stanislaus,14544.0,+287,255.0,2.0,854.0,87426.0
13,Tulare,13890.0,+6,232.0,,598.0,
14,Contra Costa,13802.0,+102,175.0,2.0,1254.0,200539.0
15,Ventura,10705.0,+99,115.0,,1455.0,150032.0
16,Imperial,10667.0,,293.0,,819.0,58590.0
17,San Francisco,9428.0,+79,83.0,,9345.0,382392.0
18,San Mateo,8074.0,,131.0,,7943.0,141702.0
19,Santa Barbara,8052.0,+38,92.0,,284.0,115721.0
20,Merced,7890.0,,115.0,,1113.0,41808.0
21,Monterey,7850.0,+165,56.0,1.0,2760.0,71166.0
22,Kings,6142.0,+39,72.0,,2325.0,34493.0
23,Marin,6068.0,,94.0,,321.0,68698.0
24,Sonoma,5654.0,+66,78.0,,2541.0,100479.0
25,Solano,5388.0,,46.0,,331.0,72141.0
26,Madera,3674.0,,54.0,,626.0,38688.0
27,Placer,2973.0,+26,32.0,,321.0,74868.0
28,San Luis Obispo,2917.0,+35,21.0,,483.0,45984.0
29,Yolo,2386.0,+51,52.0,1.0,2334.0,32995.0
30,Butte,1948.0,+62,23.0,,395.0,34247.0
31,Santa Cruz,1746.0,,7.0,,281.0,39298.0
32,Napa,1413.0,+10,13.0,,690.0,46033.0
33,Sutter,1368.0,,10.0,,590.0,9759.0
34,San Benito,1090.0,+9,8.0,,139.0,12050.0
35,El Dorado,958.0,+7,2.0,,126.0,23898.0
36,Yuba,909.0,,6.0,,385.0,6182.0
37,Lassen,717.0,,,,20.0,5990.0
38,Mendocino,696.0,+23,17.0,,85.0,22316.0
39,Shasta,562.0,,12.0,,32.0,34468.0
40,Nevada,442.0,+4,5.0,,65.0,16751.0
41,Colusa,441.0,,6.0,,16.0,4256.0
42,Glenn,440.0,,3.0,,13.0,3909.0
43,Tehama,417.0,+5,1.0,,61.0,9028.0
44,Humboldt,368.0,,4.0,,29.0,22468.0
45,Lake,332.0,+8,4.0,1.0,28.0,9606.0
46,Amador,239.0,+5,14.0,,19.0,5900.0
47,Calaveras,236.0,,2.0,,31.0,4593.0
48,Tuolumne,181.0,,2.0,,10.0,9746.0
49,Inyo,174.0,,13.0,,75.0,4246.0
50,Mono,162.0,,2.0,,160.0,4568.0
51,Siskiyou,128.0,,,,11.0,6719.0
52,Del Norte,122.0,,1.0,,13.0,7124.0
53,Mariposa,71.0,,2.0,,2.0,4801.0
54,Plumas,40.0,,,,,2757.0
55,Trinity,13.0,,,,2.0,1857.0
56,Modoc,10.0,,,,5.0,1574.0
57,Sierra,6.0,,,,,555.0
58,Alpine,2.0,,,,,16.0
59,Alameda - Berkeley,,,,,,
60,Yuba-Sutter,,,,,,
61,Unassigned,,,,,,2800093.0
62,Total:,705866.0,"+3,817",12938.0,35.0,369670.0,11231829.0
