,county,totalcases,newcases,totaldeaths,newdeaths,activecases,totaltests
0,New Jersey Total,197094.0,153.0,16041.0,3.0,19461.0,2836334.0
1,Bergen,21799.0,37.0,2032.0,,19767.0,
2,Hudson,20721.0,,1579.0,,19142.0,
3,Essex,20530.0,25.0,2113.0,1.0,18417.0,167451.0
4,Passaic,20151.0,,1245.0,,18906.0,75996.0
5,Middlesex,18633.0,17.0,1418.0,,17215.0,
6,Union,17243.0,11.0,1350.0,,15893.0,
7,Monmouth,11378.0,54.0,858.0,,10520.0,
8,Ocean,11207.0,13.0,1020.0,,10187.0,
9,Camden,9763.0,,590.0,,9173.0,
10,Mercer,8362.0,11.0,627.0,1.0,7735.0,
11,Morris,7618.0,8.0,829.0,,6789.0,
12,Burlington,6752.0,42.0,507.0,,6245.0,
13,Somerset,5474.0,13.0,567.0,,4907.0,
14,Atlantic,3977.0,22.0,256.0,,1032.0,
15,Gloucester,3699.0,16.0,219.0,,3480.0,42474.0
16,Cumberland,3568.0,15.0,155.0,,3413.0,
17,Warren,1514.0,1.0,171.0,,187.0,
18,Sussex,1476.0,,197.0,,40.0,
19,Hunterdon,1266.0,,124.0,,1142.0,
20,Cape May,1110.0,,95.0,,52.0,
21,Salem,986.0,2.0,89.0,1.0,119.0,10701.0
22,Unassigned,,,,,,2539712.0
23,Total:,197094.0,153.0,16041.0,3.0,19461.0,2836334.0
