,county,totalcases,newcases,totaldeaths,newdeaths,activecases,totaltests
0,New York Total,465375,780.0,33021.0,9.0,62036.0,8196792.0
1,Queens,71397,67.0,7222.0,1.0,64175.0,947004.0
2,Suffolk,70693,162.0,2002.0,,36989.0,648651.0
3,Kings,66567,75.0,7287.0,2.0,59280.0,1035823.0
4,Bronx,52466,68.0,4907.0,2.0,47559.0,631956.0
5,Nassau,44610,56.0,2198.0,1.0,38238.0,632637.0
6,Westchester,36949,54.0,1451.0,1.0,35498.0,526471.0
7,Manhattan,32718,64.0,3169.0,,29549.0,804061.0
8,Richmond,15452,17.0,1083.0,,14369.0,218191.0
9,Rockland,14233,15.0,674.0,,13559.0,132283.0
10,Orange,11419,,494.0,,9581.0,128198.0
11,Erie,9807,66.0,678.0,,9129.0,320904.0
12,Monroe,5443,21.0,292.0,,560.0,320400.0
13,Dutchess,4852,6.0,153.0,,259.0,132729.0
14,Onondaga,3883,17.0,204.0,,305.0,189603.0
15,Albany,2764,10.0,133.0,,168.0,107098.0
16,Oneida,2272,4.0,121.0,,92.0,106669.0
17,Ulster,2175,,94.0,,127.0,74512.0
18,Putnam,1670,,63.0,,18.0,36692.0
19,Niagara,1612,7.0,101.0,,62.0,72508.0
20,Sullivan,1521,5.0,50.0,,28.0,23311.0
21,Broome,1295,9.0,82.0,,164.0,87354.0
22,Schenectady,1260,5.0,45.0,,169.0,58415.0
23,Rensselaer,879,3.0,41.0,,50.0,45927.0
24,Saratoga,868,,17.0,,35.0,70036.0
25,Columbia,569,,47.0,,25.0,24891.0
26,Madison,478,,17.0,,24.0,26847.0
27,Greene,394,,18.0,,4.0,14667.0
28,Ontario,389,3.0,35.0,,16.0,39105.0
29,Chautauqua,382,9.0,9.0,,104.0,43542.0
30,Steuben,326,,42.0,,6.0,27822.0
31,Warren,321,,34.0,,5.0,21944.0
32,Fulton,311,,28.0,,283.0,18305.0
33,Orleans,306,,55.0,,119.0,11596.0
34,Oswego,298,,4.0,,16.0,35949.0
35,Herkimer,297,2.0,10.0,,287.0,28268.0
36,Genesee,294,1.0,6.0,,72.0,22624.0
37,Wayne,280,,5.0,,25.0,35004.0
38,St. Lawrence,274,1.0,4.0,,11.0,42696.0
39,Clinton,271,,5.0,,6.0,26087.0
40,Washington,267,,14.0,,15.0,20060.0
41,Tompkins,264,3.0,2.0,,23.0,57062.0
42,Livingston,235,,8.0,,4.0,20288.0
43,Jefferson,234,,1.0,,8.0,28398.0
44,Chenango,227,2.0,7.0,,18.0,22687.0
45,Tioga,221,1.0,25.0,,10.0,14946.0
46,Montgomery,202,,8.0,,20.0,20334.0
47,Cattaraugus,201,4.0,6.0,,58.0,27187.0
48,Chemung,200,4.0,3.0,,38.0,33203.0
49,Cayuga,177,,3.0,,13.0,27802.0
50,Otsego,143,9.0,6.0,,31.0,19150.0
51,Essex,128,2.0,6.0,1.0,122.0,13180.0
52,Wyoming,126,1.0,5.0,,8.0,13343.0
53,Allegany,126,,2.0,,3.0,13318.0
54,Delaware,115,3.0,4.0,,23.0,15746.0
55,Seneca,100,2.0,3.0,,25.0,11304.0
56,Cortland,99,1.0,1.0,,6.0,19992.0
57,Schoharie,76,,2.0,,,6348.0
58,Lewis,63,,5.0,,6.0,8228.0
59,Yates,61,,7.0,,2.0,7623.0
60,Franklin,58,,1.0,,57.0,17317.0
61,Schuyler,27,,,,2.0,6750.0
62,Hamilton,14,,1.0,,13.0,1746.0
63,Unassigned,16,1.0,21.0,1.0,,
64,Total:,465375,780.0,33021.0,9.0,62036.0,8196792.0
