,county,totalcases,newcases,totaldeaths,newdeaths,activecases,totaltests
0,Ohio Total,122394.0,"+1,013",4138.0,6.0,16312.0,2190404.0
1,Franklin,21619.0,+122,562.0,,21057.0,
2,Cuyahoga,15624.0,+80,574.0,,15050.0,
3,Hamilton,11102.0,+61,286.0,,9957.0,
4,Lucas,6389.0,+45,341.0,,6048.0,48399.0
5,Montgomery,5728.0,+146,128.0,,5600.0,
6,Summit,4418.0,+42,236.0,,4182.0,
7,Butler,3972.0,+72,73.0,,3899.0,
8,Marion,3001.0,+1,46.0,,2955.0,
9,Mahoning,2847.0,+4,265.0,,2582.0,
10,Pickaway,2493.0,+4,43.0,,2450.0,
11,Stark,2308.0,+12,151.0,,2157.0,
12,Warren,2286.0,+27,42.0,,2244.0,
13,Lorain,2144.0,+54,81.0,,672.0,
14,Columbiana,1820.0,+6,64.0,,150.0,
15,Trumbull,1744.0,+1,121.0,,1623.0,
16,Fairfield,1709.0,+14,41.0,1.0,290.0,
17,Delaware,1645.0,+16,20.0,,1420.0,
18,Licking,1576.0,+11,57.0,,1519.0,
19,Clark,1407.0,+9,27.0,,1380.0,
20,Wood,1320.0,+17,64.0,1.0,1256.0,
21,Lake,1310.0,+7,45.0,,1265.0,
22,Clermont,1265.0,+8,15.0,,1014.0,
23,Medina,1190.0,+18,37.0,,1153.0,
24,Allen,1135.0,+12,53.0,,1082.0,
25,Miami,1054.0,+11,43.0,,1011.0,
26,Greene,969.0,+13,18.0,1.0,951.0,
27,Tuscarawas,862.0,+5,16.0,,44.0,
28,Portage,850.0,+6,65.0,,785.0,
29,Mercer,817.0,+4,17.0,,800.0,
30,Erie,779.0,+10,36.0,,743.0,
31,Wayne,756.0,+5,61.0,,695.0,
32,Belmont,703.0,+7,26.0,,51.0,
33,Richland,696.0,+1,17.0,,67.0,
34,Ross,692.0,+7,10.0,,637.0,
35,Madison,689.0,+1,11.0,,678.0,
36,Darke,616.0,+9,35.0,,399.0,
37,Geauga,611.0,,46.0,,565.0,
38,Ashtabula,609.0,+4,46.0,,563.0,
39,Hancock,519.0,+7,7.0,,512.0,
40,Sandusky,517.0,+7,17.0,,500.0,
41,Huron,470.0,+1,6.0,,464.0,
42,Ottawa,448.0,+2,29.0,,419.0,
43,Lawrence,429.0,,14.0,,415.0,
44,Auglaize,416.0,+7,8.0,,146.0,
45,Athens,387.0,+2,2.0,,369.0,
46,Seneca,364.0,+26,13.0,2.0,68.0,
47,Union,362.0,+4,1.0,,289.0,
48,Shelby,359.0,+13,4.0,,146.0,
49,Scioto,350.0,+7,3.0,,347.0,
50,Holmes,349.0,,7.0,,342.0,
51,Preble,345.0,+2,4.0,,285.0,
52,Putnam,325.0,+9,17.0,,308.0,
53,Muskingum,311.0,+1,2.0,,11.0,
54,Jefferson,269.0,+2,4.0,,7.0,
55,Champaign,246.0,+1,2.0,,244.0,
56,Knox,245.0,+1,15.0,1.0,13.0,2645.0
57,Clinton,243.0,+5,10.0,,233.0,
58,Logan,233.0,+2,2.0,,168.0,
59,Washington,227.0,+1,23.0,,204.0,
60,Perry,226.0,+2,6.0,,220.0,
61,Morrow,226.0,,2.0,,224.0,
62,Hardin,219.0,+4,13.0,,206.0,
63,Coshocton,218.0,+2,9.0,,209.0,
64,Brown,215.0,+8,2.0,,19.0,
65,Henry,210.0,,3.0,,207.0,
66,Defiance,209.0,+2,5.0,,204.0,
67,Crawford,196.0,+1,5.0,,13.0,
68,Highland,190.0,+1,3.0,,175.0,
69,Fayette,189.0,,5.0,,125.0,
70,Wyandot,187.0,+2,10.0,,31.0,
71,Fulton,181.0,+1,1.0,,180.0,
72,Ashland,171.0,,5.0,,12.0,
73,Jackson,165.0,+3,1.0,,148.0,
74,Williams,159.0,+2,3.0,,156.0,
75,Gallia,140.0,,3.0,,137.0,
76,Hocking,139.0,+1,9.0,,130.0,
77,Guernsey,130.0,+1,7.0,,123.0,
78,Meigs,128.0,+6,3.0,,52.0,
79,Carroll,125.0,,6.0,,92.0,
80,Pike,107.0,+3,,,10.0,880.0
81,Monroe,103.0,,18.0,,85.0,
82,Adams,91.0,,4.0,,87.0,
83,Van Wert,89.0,,2.0,,87.0,
84,Paulding,81.0,+2,1.0,,80.0,
85,Morgan,43.0,,,,37.0,
86,Vinton,38.0,,2.0,,5.0,229.0
87,Harrison,28.0,,1.0,,27.0,
88,Noble,22.0,,,,22.0,
89,Unassigned,,,,,,2138251.0
90,Total:,122394.0,"+1,013",4138.0,6.0,16312.0,2190404.0
