,county,totalcases,newcases,totaldeaths,newdeaths,activecases,totaltests
0,Pennsylvania Total,138137.0,561.0,7757.0,,20907.0,1653874
1,Philadelphia,33607.0,,1767.0,,31840.0,311775
2,Montgomery,10996.0,49.0,861.0,,10135.0,130028
3,Delaware,10317.0,36.0,773.0,,1381.0,97088
4,Allegheny,10310.0,99.0,330.0,,2692.0,151422
5,Bucks,7777.0,33.0,586.0,,690.0,85732
6,Lancaster,6697.0,37.0,432.0,,6265.0,69516
7,Berks,6041.0,29.0,380.0,,5661.0,45866
8,Chester,5607.0,3.0,356.0,,609.0,70423
9,Lehigh,5196.0,12.0,343.0,,4853.0,55085
10,Northampton,4114.0,2.0,306.0,,3808.0,50232
11,Luzerne,3771.0,3.0,188.0,,3583.0,41985
12,York,3328.0,27.0,122.0,,3206.0,49905
13,Dauphin,3302.0,28.0,163.0,,3139.0,38447
14,Lackawanna,2079.0,18.0,213.0,,1866.0,11303
15,Westmoreland,1809.0,7.0,49.0,,1760.0,37488
16,Lebanon,1721.0,4.0,57.0,,156.0,17463
17,Monroe,1712.0,,127.0,,1585.0,21157
18,Beaver,1603.0,6.0,96.0,,1507.0,5957
19,Cumberland,1523.0,7.0,72.0,,1451.0,25064
20,Franklin,1508.0,4.0,46.0,,1462.0,18070
21,Erie,1348.0,3.0,42.0,,167.0,24114
22,Washington,1042.0,6.0,27.0,,1015.0,6966
23,Schuylkill,985.0,,51.0,,934.0,16555
24,Butler,780.0,2.0,18.0,,762.0,4446
25,Fayette,689.0,6.0,6.0,,683.0,4591
26,Northumberland,672.0,4.0,34.0,,638.0,9520
27,Columbia,659.0,61.0,35.0,,624.0,6991
28,Adams,637.0,5.0,23.0,,614.0,13568
29,Mercer,545.0,2.0,13.0,,532.0,2965
30,Pike,542.0,,21.0,,521.0,2725
31,Lycoming,518.0,10.0,22.0,,496.0,11039
32,Centre,469.0,7.0,11.0,,458.0,14152
33,Cambria,460.0,3.0,4.0,,456.0,20184
34,Blair,456.0,13.0,11.0,,445.0,14052
35,Lawrence,455.0,1.0,18.0,,437.0,2339
36,Indiana,426.0,7.0,10.0,,416.0,7895
37,Carbon,422.0,2.0,28.0,,394.0,8365
38,Union,371.0,4.0,4.0,,367.0,8943
39,Huntingdon,364.0,4.0,5.0,,359.0,4445
40,Armstrong,313.0,1.0,9.0,,304.0,1870
41,Susquehanna,265.0,1.0,27.0,,238.0,1686
42,Clearfield,227.0,1.0,1.0,,226.0,5695
43,Crawford,214.0,5.0,2.0,,212.0,4457
44,Wayne,175.0,,10.0,,165.0,2222
45,Perry,175.0,1.0,5.0,,170.0,3433
46,Bedford,170.0,2.0,5.0,,165.0,3840
47,Somerset,164.0,,3.0,,161.0,8346
48,Snyder,164.0,4.0,2.0,,162.0,2921
49,Mifflin,160.0,1.0,1.0,,159.0,5523
50,Juniata,148.0,,6.0,,142.0,2020
51,Greene,139.0,1.0,1.0,,138.0,1224
52,Clinton,135.0,2.0,5.0,,130.0,3618
53,Montour,133.0,4.0,5.0,,128.0,7425
54,Clarion,99.0,1.0,3.0,,96.0,1055
55,Bradford,98.0,,3.0,,95.0,3062
56,Jefferson,97.0,,1.0,,96.0,2968
57,Venango,70.0,,1.0,,69.0,688
58,Wyoming,66.0,,8.0,,58.0,975
59,Elk,64.0,,2.0,,62.0,382
60,Tioga,48.0,,3.0,,45.0,694
61,McKean,37.0,,1.0,,36.0,768
62,Fulton,34.0,,2.0,,32.0,1024
63,Warren,27.0,,1.0,,26.0,479
64,Potter,25.0,1.0,,,25.0,181
65,Forest,14.0,,,,14.0,103
66,Sullivan,10.0,,,,10.0,112
67,Cameron,8.0,,,,8.0,150
68,Unassigned,,,,,,69092
69,Total:,138137.0,561.0,7757.0,,20907.0,1653874
