,county,totalcases,newcases,totaldeaths,newdeaths,activecases,totaltests
0,South Carolina Total,118324,"+1,075",2709,11.0,64184.0,1006606.0
1,Charleston,13863,+89,220,1.0,13643.0,
2,Greenville,12046,+51,241,,11805.0,
3,Richland,10698,+398,188,1.0,10510.0,
4,Horry,9269,+30,173,1.0,9096.0,
5,Lexington,5590,+53,133,,5457.0,
6,Spartanburg,4966,+25,138,1.0,4828.0,
7,Berkeley,4761,+13,74,,4687.0,
8,Beaufort,4725,+26,63,,4662.0,
9,Florence,4192,+25,148,1.0,4044.0,
10,York,4173,+27,47,,4126.0,
11,Dorchester,3559,+24,74,2.0,3485.0,
12,Anderson,3126,+25,110,,3016.0,
13,Sumter,2825,+12,62,,2763.0,
14,Orangeburg,2806,+6,97,1.0,2709.0,
15,Pickens,2169,+18,31,,2138.0,
16,Aiken,2164,+28,54,,2110.0,
17,Greenwood,1813,+23,43,,1770.0,
18,Georgetown,1675,+3,36,,1639.0,
19,Darlington,1602,+7,45,1.0,1557.0,
20,Lancaster,1593,+11,36,,1557.0,
21,Kershaw,1557,+9,29,,1528.0,
22,Laurens,1476,+7,52,,1424.0,
23,Williamsburg,1172,+6,34,,1138.0,
24,Oconee,1058,+23,16,,1042.0,
25,Clarendon,967,+1,60,,907.0,
26,Chesterfield,950,+9,26,1.0,924.0,
27,Newberry,949,+4,14,,935.0,
28,Colleton,885,,38,,847.0,
29,Chester,861,+6,17,,844.0,
30,Cherokee,787,+6,29,,758.0,
31,Dillon,753,+11,28,,725.0,
32,Marlboro,686,+6,5,,681.0,
33,Jasper,685,+1,17,,668.0,
34,Marion,685,+9,17,,668.0,
35,Lee,648,+4,31,,617.0,
36,Fairfield,625,+4,27,,598.0,
37,Saluda,553,+8,11,,542.0,
38,Bamberg,535,+2,28,,507.0,
39,Hampton,534,+2,21,1.0,513.0,
40,Barnwell,520,+1,13,,507.0,
41,Edgefield,473,+5,11,,462.0,
42,Union,453,+4,5,,448.0,
43,Calhoun,415,+2,14,,401.0,
44,Abbeville,411,+9,9,,402.0,
45,Allendale,287,+2,6,,281.0,
46,McCormick,157,+1,4,,153.0,
47,Unassigned,1627,+39,134,,,1006606.0
48,Total:,118324,"+1,075",2709,11.0,64184.0,1006606.0
