,#,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Projections
0,,USA Total,6173236,"+33,981",187224.0,371.0,3425723.0,2560289,18650.0,566.0,81830079.0,247219.0,,
1,1.0,California,705866,"+3,817",12938.0,35.0,323258.0,369670,17864.0,327.0,11231829.0,284262.0,39512223.0,[projections]
2,2.0,Texas,638947,"+2,757",12855.0,67.0,516083.0,110009,22036.0,443.0,5345631.0,184358.0,28995881.0,[projections]
3,3.0,Florida,621586,"+2,583",11125.0,15.0,76268.0,534193,28941.0,518.0,4606568.0,214481.0,21477737.0,[projections]
4,4.0,New York,465375,+780,33021.0,9.0,370318.0,62036,23922.0,1697.0,8196792.0,421352.0,19453561.0,[projections]
5,5.0,Georgia,268973,"+1,215",5604.0,28.0,48583.0,214786,25333.0,528.0,2604448.0,245299.0,10617423.0,[projections]
6,6.0,Illinois,235057,"+1,992",8228.0,11.0,152361.0,74468,18550.0,649.0,4016782.0,316985.0,12671821.0,[projections]
7,7.0,Arizona,201661,+374,5030.0,23.0,30539.0,166092,27706.0,691.0,1464384.0,201187.0,7278717.0,[projections]
8,8.0,New Jersey,197094,+153,16041.0,3.0,161592.0,19461,22190.0,1806.0,2836334.0,319328.0,8882190.0,[projections]
9,9.0,North Carolina,166616,+993,2716.0,9.0,136630.0,27270,15886.0,259.0,2243273.0,213888.0,10488084.0,[projections]
10,10.0,Tennessee,153115,+835,1747.0,22.0,114769.0,36599,22421.0,256.0,2185364.0,320004.0,6829174.0,[projections]
11,11.0,Louisiana,147867,"+1,624",4931.0,27.0,127918.0,15018,31808.0,1061.0,1868750.0,401986.0,4648794.0,[projections]
12,12.0,Pennsylvania,138137,+561,7757.0,,109473.0,20907,10790.0,606.0,1653874.0,129189.0,12801989.0,[projections]
13,13.0,Massachusetts,128229,+199,9049.0,13.0,103920.0,15260,18604.0,1313.0,1913243.0,277583.0,6892503.0,[projections]
14,14.0,Alabama,125235,"+1,346",2162.0,10.0,48028.0,75045,25542.0,441.0,972283.0,198296.0,4903185.0,[projections]
15,15.0,Ohio,122394,"+1,013",4138.0,6.0,101944.0,16312,10471.0,354.0,2190404.0,187389.0,11689100.0,[projections]
16,16.0,Virginia,119747,+938,2569.0,1.0,14999.0,102179,14029.0,301.0,1692025.0,198233.0,8535519.0,[projections]
17,17.0,South Carolina,118324,"+1,075",2709.0,11.0,51431.0,64184,22981.0,526.0,1006606.0,195506.0,5148714.0,[projections]
18,18.0,Michigan,112526,+551,6748.0,3.0,76151.0,29627,11267.0,676.0,3033894.0,303789.0,9986857.0,[projections]
19,19.0,Maryland,107791,+497,3752.0,6.0,6124.0,97915,17829.0,621.0,1919515.0,317502.0,6045680.0,[projections]
20,20.0,Indiana,93313,+879,3291.0,6.0,70534.0,19488,13861.0,489.0,1411760.0,209702.0,6732219.0,[projections]
21,21.0,Missouri,83655,"+1,161",1627.0,,12710.0,69318,13630.0,265.0,1043056.0,169950.0,6137428.0,[projections]
22,22.0,Mississippi,82676,+647,2441.0,14.0,62707.0,17528,27780.0,820.0,621047.0,208675.0,2976149.0,[projections]
23,23.0,Washington,76080,+270,1905.0,,28498.0,45677,9991.0,250.0,1461354.0,191907.0,7614893.0,[projections]
24,24.0,Wisconsin,75337,+537,1122.0,3.0,66699.0,7516,12939.0,193.0,1244639.0,213766.0,5822434.0,[projections]
