,county,totalcases,newcases,totaldeaths,newdeaths,activecases,totaltests
0,Washington Total,76080.0,270.0,1905.0,,45677.0,1461354
1,King,19554.0,74.0,723.0,,18831.0,460444
2,Yakima,11637.0,3.0,239.0,,1111.0,59085
3,Snohomish,6994.0,,209.0,,3728.0,109921
4,Pierce,6756.0,37.0,166.0,,1918.0,110468
5,Spokane,5286.0,14.0,131.0,,1159.0,69133
6,Benton,4153.0,9.0,122.0,,4031.0,27870
7,Franklin,3930.0,16.0,57.0,,3873.0,17246
8,Clark,2534.0,,54.0,,2480.0,50790
9,Grant,2277.0,,15.0,,1115.0,16229
10,Chelan,1732.0,,12.0,,1720.0,15231
11,Douglas,1152.0,2.0,8.0,,1144.0,7416
12,Whatcom,1088.0,7.0,39.0,,1049.0,48192
13,Skagit,1017.0,6.0,22.0,,366.0,30810
14,Kitsap,1005.0,14.0,9.0,,68.0,30644
15,Okanogan,996.0,3.0,9.0,,921.0,10667
16,Thurston,992.0,7.0,13.0,,186.0,34777
17,Walla Walla,757.0,8.0,6.0,,129.0,12276
18,Adams,625.0,5.0,7.0,,134.0,3459
19,Cowlitz,539.0,2.0,6.0,,89.0,14820
20,Whitman,471.0,49.0,,,425.0,2142
21,Kittitas,470.0,,21.0,,15.0,6203
22,Lewis,340.0,,4.0,,180.0,8802
23,Mason,336.0,,1.0,,335.0,8406
24,Island,270.0,1.0,11.0,,259.0,7761
25,Grays Harbor,236.0,11.0,6.0,,52.0,6426
26,Clallam,212.0,2.0,1.0,,14.0,12758
27,Klickitat,191.0,,3.0,,10.0,3792
28,Stevens,125.0,,1.0,,124.0,3758
29,Jefferson,69.0,,,,15.0,6507
30,Pacific,60.0,,3.0,,,2922
31,Skamania,59.0,,1.0,,3.0,1793
32,Pend Oreille,54.0,,,,54.0,1458
33,Asotin,52.0,,2.0,,50.0,1980
34,San Juan,32.0,,,,32.0,3344
35,Lincoln,31.0,,1.0,,30.0,789
36,Ferry,25.0,,,,25.0,688
37,Columbia,13.0,,1.0,,,346
38,Wahkiakum,6.0,,,,6.0,465
39,Garfield,4.0,,,,,147
40,Unassigned,,,2.0,,,251389
41,Total:,76080.0,270.0,1905.0,,45677.0,1461354
