,county,totalcases,newcases,totaldeaths,newdeaths,activecases,totaltests
0,California Total,585718.0,"+11,945",10650.0,182.0,345199.0,9186279.0
1,Los Angeles,211808.0,"+1,384",5057.0,61.0,206751.0,1965453.0
2,Riverside,43376.0,"+1,393",824.0,4.0,20171.0,414376.0
3,Orange,41578.0,"+1,051",734.0,10.0,9399.0,498642.0
4,San Bernardino,37367.0,"+1,275",549.0,3.0,7378.0,306582.0
5,San Diego,33157.0,+182,602.0,8.0,5152.0,683522.0
6,Kern,24995.0,+555,183.0,12.0,17374.0,146141.0
7,Fresno,17978.0,+132,191.0,20.0,10511.0,151188.0
8,San Joaquin,13870.0,+937,235.0,12.0,1380.0,
9,Alameda,13664.0,+423,205.0,,13459.0,308745.0
10,Santa Clara,12962.0,+268,207.0,2.0,12755.0,424024.0
11,Sacramento,12274.0,+234,179.0,2.0,2799.0,184780.0
12,Tulare,11549.0,+687,198.0,2.0,1563.0,
13,Stanislaus,10855.0,+591,177.0,8.0,725.0,70199.0
14,Imperial,9867.0,+174,244.0,,926.0,50452.0
15,Contra Costa,9787.0,+383,146.0,7.0,1153.0,154901.0
16,Ventura,8851.0,+217,93.0,1.0,3446.0,128676.0
17,San Francisco,7692.0,+69,67.0,,7625.0,297713.0
18,Santa Barbara,7074.0,+370,73.0,4.0,310.0,90288.0
19,San Mateo,6431.0,+113,122.0,2.0,6309.0,114011.0
20,Merced,6102.0,+366,74.0,4.0,2339.0,31943.0
21,Monterey,5494.0,+48,37.0,2.0,1997.0,55990.0
22,Marin,5471.0,+87,81.0,,498.0,58995.0
23,Kings,4588.0,+135,56.0,,2007.0,29691.0
24,Solano,4338.0,+64,41.0,,221.0,59454.0
25,Sonoma,3753.0,+83,50.0,3.0,1714.0,75381.0
26,Madera,2590.0,+127,40.0,1.0,654.0,28527.0
27,Placer,2377.0,+58,24.0,2.0,406.0,42790.0
28,San Luis Obispo,2278.0,+24,17.0,,382.0,40079.0
29,Yolo,1898.0,+64,45.0,1.0,1853.0,27449.0
30,Santa Cruz,1287.0,+41,6.0,,907.0,31846.0
31,Butte,1280.0,+42,8.0,,313.0,19158.0
32,Napa,1129.0,+55,11.0,,725.0,36115.0
33,Sutter,996.0,+44,7.0,,454.0,7945.0
34,El Dorado,785.0,+30,2.0,,171.0,20081.0
35,San Benito,767.0,+2,4.0,,63.0,9714.0
36,Lassen,685.0,,,,156.0,5315.0
37,Yuba,666.0,+20,4.0,,334.0,5130.0
38,Mendocino,478.0,+28,10.0,,188.0,19095.0
39,Shasta,469.0,+10,10.0,,50.0,26167.0
40,Glenn,436.0,+76,3.0,,37.0,3180.0
41,Colusa,396.0,+5,5.0,1.0,32.0,2461.0
42,Nevada,357.0,,1.0,,55.0,14259.0
43,Tehama,303.0,+27,1.0,,40.0,6438.0
44,Humboldt,293.0,+7,4.0,,56.0,17653.0
45,Lake,253.0,+13,2.0,,30.0,8036.0
46,Amador,195.0,+13,10.0,8.0,48.0,4800.0
47,Calaveras,161.0,+14,1.0,,29.0,4593.0
48,Tuolumne,159.0,+4,2.0,,7.0,8641.0
49,Mono,158.0,+1,1.0,,157.0,3825.0
50,Inyo,113.0,+7,5.0,2.0,54.0,3536.0
51,Siskiyou,106.0,+4,,,11.0,5542.0
52,Del Norte,104.0,+4,,,13.0,6263.0
53,Mariposa,63.0,+1,2.0,,4.0,4183.0
54,Plumas,37.0,+1,,,4.0,1491.0
55,Trinity,6.0,+1,,,1.0,1523.0
56,Modoc,5.0,,,,1.0,1243.0
57,Sierra,5.0,+1,,,2.0,491.0
58,Alpine,2.0,,,,,16.0
59,Alameda - Berkeley,,,,,,
60,Yuba-Sutter,,,,,,
61,Unassigned,,,,,,2467547.0
62,Total:,585718.0,"+11,945",10650.0,182.0,345199.0,9186279.0
