,county,totalcases,newcases,totaldeaths,newdeaths,activecases,totaltests
0,New Jersey Total,191135.0,360.0,15966.0,12.0,23279.0,2350310.0
1,Bergen,21115.0,39.0,2038.0,,19077.0,
2,Hudson,20345.0,,1555.0,,18790.0,
3,Passaic,20157.0,,1242.0,,18915.0,75996.0
4,Essex,20015.0,,2113.0,2.0,17902.0,149620.0
5,Middlesex,18163.0,27.0,1408.0,5.0,16755.0,
6,Union,16919.0,24.0,1349.0,,15570.0,
7,Monmouth,10744.0,22.0,856.0,,9888.0,
8,Ocean,10707.0,37.0,1020.0,2.0,9687.0,
9,Camden,9262.0,25.0,580.0,,8682.0,
10,Mercer,8178.0,12.0,621.0,1.0,7557.0,
11,Morris,7461.0,17.0,829.0,,6632.0,
12,Burlington,6316.0,68.0,496.0,,5820.0,
13,Somerset,5340.0,12.0,562.0,1.0,4778.0,
14,Atlantic,3715.0,26.0,256.0,,1318.0,
15,Cumberland,3379.0,18.0,158.0,,3221.0,
16,Gloucester,3310.0,28.0,213.0,1.0,3097.0,37299.0
17,Warren,1457.0,2.0,172.0,,318.0,
18,Sussex,1418.0,3.0,198.0,,46.0,
19,Hunterdon,1205.0,,126.0,,1079.0,
20,Cape May,1017.0,2.0,87.0,,87.0,
21,Salem,912.0,8.0,87.0,,115.0,9398.0
22,Unassigned,,,,,,2077997.0
23,Total:,191135.0,360.0,15966.0,12.0,23279.0,2350310.0
