,county,totalcases,newcases,totaldeaths,newdeaths,activecases,totaltests
0,New York Total,451736,711.0,32857.0,10.0,75200.0,6640705.0
1,Queens,69963,63.0,7199.0,3.0,62764.0,777929.0
2,Suffolk,68213,87.0,1998.0,,36234.0,534840.0
3,Kings,64936,85.0,7261.0,,57675.0,849710.0
4,Bronx,51208,52.0,4871.0,3.0,46337.0,519308.0
5,Nassau,43724,34.0,2195.0,,37399.0,515961.0
6,Westchester,36272,39.0,1447.0,,34825.0,433679.0
7,Manhattan,31711,55.0,3153.0,,28558.0,630136.0
8,Richmond,15134,19.0,1077.0,,14057.0,176360.0
9,Rockland,13954,5.0,674.0,,13280.0,111889.0
10,Orange,11250,17.0,493.0,2.0,9419.0,108838.0
11,Erie,8987,69.0,671.0,,8316.0,261706.0
12,Monroe,5002,26.0,289.0,1.0,607.0,251379.0
13,Dutchess,4619,6.0,153.0,,236.0,103993.0
14,Onondaga,3602,17.0,201.0,,242.0,153828.0
15,Albany,2614,14.0,128.0,,151.0,84755.0
16,Oneida,2175,25.0,116.0,,144.0,82858.0
17,Ulster,2084,12.0,92.0,,165.0,61941.0
18,Putnam,1646,,63.0,,,29822.0
19,Niagara,1512,12.0,99.0,,56.0,60486.0
20,Sullivan,1490,1.0,50.0,,,19885.0
21,Broome,1143,12.0,75.0,1.0,159.0,67270.0
22,Schenectady,1075,15.0,43.0,,96.0,46705.0
23,Rensselaer,819,2.0,38.0,,77.0,36753.0
24,Saratoga,800,7.0,17.0,,54.0,52679.0
25,Columbia,546,5.0,47.0,,26.0,19910.0
26,Madison,439,2.0,17.0,,13.0,18866.0
27,Greene,374,,18.0,,1.0,11572.0
28,Ontario,362,1.0,34.0,,14.0,30441.0
29,Steuben,315,,42.0,,10.0,22423.0
30,Warren,312,,34.0,,6.0,18035.0
31,Orleans,298,,55.0,,117.0,9422.0
32,Fulton,297,,28.0,,269.0,14989.0
33,Genesee,279,2.0,6.0,,68.0,17586.0
34,Herkimer,277,3.0,7.0,,270.0,23004.0
35,St. Lawrence,263,,4.0,,4.0,30802.0
36,Chautauqua,261,,9.0,,8.0,34800.0
37,Washington,260,,14.0,,25.0,16293.0
38,Oswego,259,1.0,4.0,,6.0,29415.0
39,Clinton,256,1.0,4.0,,2.0,21649.0
40,Wayne,252,,4.0,,20.0,28274.0
41,Tompkins,234,,2.0,,15.0,35624.0
42,Livingston,224,,8.0,,4.0,16286.0
43,Chenango,218,2.0,7.0,,15.0,18724.0
44,Jefferson,214,1.0,1.0,,17.0,23824.0
45,Tioga,202,,25.0,,7.0,12277.0
46,Montgomery,177,,4.0,,62.0,16722.0
47,Chemung,176,4.0,3.0,,40.0,26935.0
48,Cattaraugus,168,2.0,6.0,,37.0,22118.0
49,Cayuga,157,1.0,3.0,,11.0,22468.0
50,Otsego,118,2.0,6.0,,9.0,15429.0
51,Wyoming,118,,5.0,,7.0,10726.0
52,Allegany,115,,2.0,,3.0,10593.0
53,Delaware,106,1.0,4.0,,14.0,13025.0
54,Cortland,95,,1.0,,4.0,16773.0
55,Seneca,91,1.0,3.0,,24.0,9343.0
56,Schoharie,69,,2.0,,4.0,5215.0
57,Yates,57,,7.0,,2.0,6264.0
58,Lewis,56,7.0,5.0,,5.0,6932.0
59,Essex,56,1.0,,,56.0,10677.0
60,Franklin,54,,1.0,,53.0,13576.0
61,Schuyler,23,,,,,5519.0
62,Hamilton,8,,1.0,,7.0,1464.0
63,Unassigned,17,,31.0,,,
64,Total:,451736,711.0,32857.0,10.0,75200.0,6640705.0
