,county,totalcases,newcases,totaldeaths,newdeaths,activecases,totaltests
0,Ohio Total,102849.0,"+1,093",3710.0,35.0,18254.0,1702317.0
1,Franklin,18697.0,+214,529.0,4.0,18168.0,
2,Cuyahoga,13734.0,+94,505.0,5.0,13229.0,
3,Hamilton,9766.0,+77,257.0,2.0,8650.0,
4,Lucas,5448.0,+71,326.0,3.0,5122.0,38417.0
5,Montgomery,4438.0,+40,96.0,2.0,4342.0,
6,Summit,3614.0,+41,223.0,,3391.0,
7,Butler,2976.0,+32,63.0,,2913.0,
8,Marion,2935.0,+6,45.0,,2890.0,
9,Mahoning,2595.0,+29,255.0,,2340.0,
10,Pickaway,2391.0,+4,42.0,,2349.0,
11,Stark,1884.0,+40,140.0,1.0,1744.0,
12,Warren,1821.0,+18,39.0,,1782.0,
13,Lorain,1813.0,+11,78.0,,1117.0,
14,Columbiana,1671.0,+6,60.0,,962.0,
15,Trumbull,1549.0,+15,108.0,1.0,1441.0,
16,Fairfield,1416.0,+16,32.0,,1241.0,
17,Delaware,1344.0,+28,19.0,,1120.0,
18,Licking,1319.0,+20,51.0,2.0,1268.0,
19,Clark,1178.0,+20,15.0,1.0,1163.0,
20,Lake,1131.0,+7,41.0,3.0,1090.0,
21,Wood,1068.0,+10,58.0,,1010.0,
22,Clermont,953.0,+12,11.0,,706.0,
23,Medina,945.0,+15,35.0,,910.0,
24,Miami,858.0,+5,39.0,1.0,819.0,
25,Tuscarawas,793.0,+5,14.0,,316.0,
26,Portage,771.0,+6,63.0,2.0,708.0,
27,Allen,769.0,+9,46.0,2.0,723.0,
28,Greene,718.0,+15,12.0,,706.0,
29,Mercer,631.0,+6,13.0,,618.0,
30,Belmont,623.0,+2,26.0,,79.0,
31,Richland,614.0,+6,12.0,,121.0,
32,Erie,597.0,+5,28.0,1.0,569.0,
33,Ashtabula,576.0,+2,46.0,,530.0,
34,Geauga,559.0,+1,44.0,,515.0,
35,Wayne,545.0,+1,58.0,,487.0,
36,Ross,494.0,+4,4.0,,445.0,
37,Darke,406.0,+4,29.0,,195.0,
38,Huron,404.0,+3,5.0,,399.0,
39,Madison,401.0,+13,10.0,,391.0,
40,Ottawa,396.0,+6,26.0,,370.0,
41,Sandusky,390.0,+6,17.0,,373.0,
42,Hancock,389.0,+10,3.0,,386.0,
43,Athens,360.0,+1,2.0,1.0,342.0,
44,Holmes,328.0,,6.0,,322.0,
45,Lawrence,300.0,+12,,,300.0,
46,Auglaize,263.0,+7,6.0,,169.0,
47,Muskingum,262.0,+6,1.0,,51.0,
48,Union,260.0,+6,1.0,,187.0,
49,Scioto,242.0,+8,1.0,,241.0,
50,Jefferson,237.0,+3,3.0,1.0,153.0,
51,Seneca,228.0,+6,3.0,,197.0,
52,Knox,212.0,+6,7.0,,114.0,2645.0
53,Putnam,211.0,+3,17.0,,194.0,
54,Shelby,210.0,+10,4.0,,206.0,
55,Washington,209.0,+4,22.0,,187.0,
56,Preble,207.0,+3,2.0,,149.0,
57,Coshocton,196.0,+2,7.0,1.0,189.0,
58,Champaign,181.0,+3,2.0,,179.0,
59,Crawford,177.0,,5.0,,11.0,
60,Morrow,176.0,+4,2.0,,174.0,
61,Hardin,170.0,+1,12.0,,158.0,
62,Clinton,169.0,+4,6.0,,163.0,
63,Highland,166.0,+7,1.0,,153.0,
64,Logan,160.0,+5,2.0,,95.0,
65,Ashland,154.0,+5,3.0,,26.0,
66,Fulton,153.0,+5,1.0,,152.0,
67,Wyandot,150.0,+2,9.0,1.0,141.0,
68,Defiance,150.0,+2,4.0,,146.0,
69,Brown,146.0,+8,2.0,,47.0,
70,Perry,140.0,+4,3.0,,137.0,
71,Williams,136.0,+1,3.0,,133.0,
72,Henry,122.0,+5,2.0,,120.0,
73,Fayette,121.0,+6,,,62.0,
74,Guernsey,119.0,+1,7.0,,112.0,
75,Hocking,118.0,,9.0,,109.0,
76,Carroll,113.0,+2,5.0,,81.0,
77,Monroe,94.0,+1,18.0,,76.0,
78,Pike,79.0,+2,,,38.0,880.0
79,Jackson,76.0,+1,,,60.0,
80,Van Wert,73.0,+1,2.0,1.0,71.0,
81,Gallia,70.0,+5,1.0,,69.0,
82,Paulding,70.0,,1.0,,69.0,
83,Adams,61.0,,2.0,,59.0,
84,Meigs,54.0,+4,,,32.0,
85,Vinton,33.0,,2.0,,2.0,215.0
86,Morgan,30.0,+2,,,24.0,
87,Harrison,26.0,,1.0,,25.0,
88,Noble,17.0,,,,17.0,
89,Unassigned,,,,,,1660160.0
90,Total:,102849.0,"+1,093",3710.0,35.0,18254.0,1702317.0
