,county,totalcases,newcases,totaldeaths,newdeaths,activecases,totaltests
0,Pennsylvania Total,125061.0,792.0,7427.0,27.0,25018.0,1379948
1,Philadelphia,31584.0,136.0,1710.0,6.0,29874.0,257026
2,Montgomery,10187.0,38.0,858.0,1.0,9329.0,109807
3,Delaware,9392.0,70.0,746.0,,1559.0,78542
4,Allegheny,9008.0,76.0,260.0,1.0,2778.0,128210
5,Bucks,7231.0,21.0,582.0,,934.0,71961
6,Lancaster,5999.0,24.0,414.0,3.0,5585.0,58553
7,Berks,5431.0,24.0,369.0,1.0,5062.0,38094
8,Chester,5194.0,37.0,349.0,,876.0,56725
9,Lehigh,4992.0,17.0,338.0,1.0,4654.0,46656
10,Northampton,3944.0,13.0,300.0,2.0,3644.0,42797
11,Luzerne,3477.0,15.0,184.0,,3293.0,36187
12,Dauphin,2850.0,21.0,159.0,,2691.0,31992
13,York,2637.0,46.0,94.0,1.0,2543.0,40663
14,Lackawanna,1944.0,4.0,212.0,,1732.0,11303
15,Monroe,1642.0,6.0,124.0,,1518.0,18508
16,Lebanon,1621.0,4.0,55.0,1.0,201.0,15139
17,Westmoreland,1555.0,2.0,47.0,1.0,1508.0,33922
18,Franklin,1375.0,7.0,46.0,,1329.0,15086
19,Beaver,1332.0,6.0,92.0,,1240.0,5957
20,Cumberland,1311.0,11.0,71.0,,1240.0,20994
21,Erie,1126.0,16.0,27.0,1.0,222.0,20506
22,Schuylkill,922.0,3.0,51.0,,871.0,13897
23,Washington,862.0,7.0,13.0,,849.0,6966
24,Butler,677.0,6.0,15.0,,662.0,4446
25,Fayette,562.0,61.0,6.0,1.0,556.0,4591
26,Adams,531.0,7.0,20.0,,511.0,9439
27,Pike,526.0,,21.0,,505.0,2725
28,Northumberland,507.0,32.0,13.0,,494.0,7710
29,Columbia,478.0,1.0,35.0,,443.0,5855
30,Mercer,446.0,4.0,11.0,2.0,435.0,2965
31,Lycoming,407.0,7.0,29.0,,378.0,9303
32,Lawrence,392.0,,16.0,,376.0,2339
33,Centre,373.0,1.0,10.0,,363.0,10160
34,Carbon,372.0,,28.0,,344.0,7367
35,Cambria,349.0,8.0,3.0,,346.0,17333
36,Indiana,326.0,4.0,7.0,1.0,319.0,6488
37,Huntingdon,310.0,2.0,4.0,,306.0,3488
38,Blair,298.0,5.0,6.0,1.0,292.0,11893
39,Union,262.0,24.0,2.0,,260.0,6999
40,Armstrong,222.0,6.0,8.0,1.0,214.0,1870
41,Susquehanna,215.0,1.0,27.0,,188.0,1686
42,Clearfield,174.0,,1.0,1.0,173.0,4522
43,Wayne,162.0,,10.0,1.0,152.0,2222
44,Crawford,158.0,4.0,1.0,,157.0,4457
45,Bedford,143.0,,4.0,,139.0,3085
46,Somerset,136.0,1.0,3.0,,133.0,6792
47,Juniata,133.0,,6.0,,127.0,1634
48,Perry,124.0,,5.0,,119.0,2922
49,Clinton,123.0,1.0,5.0,,118.0,2858
50,Mifflin,120.0,,1.0,,119.0,4620
51,Greene,117.0,1.0,1.0,,116.0,1224
52,Snyder,109.0,3.0,2.0,,107.0,2187
53,Montour,104.0,2.0,3.0,,101.0,6693
54,Bradford,90.0,4.0,3.0,,87.0,3062
55,Clarion,81.0,1.0,2.0,,79.0,1055
56,Jefferson,73.0,,1.0,,72.0,2434
57,Venango,65.0,1.0,,,65.0,688
58,Wyoming,61.0,,8.0,,53.0,975
59,Elk,50.0,1.0,2.0,,48.0,382
60,Tioga,38.0,,3.0,,35.0,694
61,McKean,34.0,,1.0,,33.0,768
62,Fulton,27.0,,2.0,,25.0,811
63,Warren,23.0,,1.0,,22.0,479
64,Potter,20.0,,,,20.0,181
65,Forest,10.0,,,,10.0,103
66,Sullivan,10.0,,,,10.0,112
67,Cameron,7.0,,,,7.0,150
68,Unassigned,,,,,,48690
69,Total:,125061.0,792.0,7427.0,27.0,25018.0,1379948
