,county,totalcases,newcases,totaldeaths,newdeaths,activecases,totaltests
0,South Carolina Total,102130,971.0,2098,49.0,59195.0,853899.0
1,Charleston,12430,77.0,191,6.0,12239.0,
2,Greenville,11002,26.0,203,5.0,10799.0,
3,Richland,8715,76.0,151,1.0,8564.0,
4,Horry,8645,52.0,154,3.0,8491.0,
5,Lexington,4940,51.0,111,2.0,4829.0,
6,Berkeley,4261,85.0,65,,4196.0,
7,Beaufort,4184,63.0,55,1.0,4129.0,
8,Spartanburg,4159,66.0,99,,4060.0,
9,York,3606,42.0,29,,3577.0,
10,Florence,3506,31.0,116,1.0,3390.0,
11,Dorchester,3119,,49,3.0,3070.0,
12,Sumter,2554,18.0,50,1.0,2504.0,
13,Orangeburg,2449,9.0,68,3.0,2381.0,
14,Anderson,2400,53.0,63,3.0,2337.0,
15,Pickens,1871,13.0,26,,1845.0,
16,Aiken,1785,39.0,31,1.0,1754.0,
17,Georgetown,1478,17.0,19,,1459.0,
18,Greenwood,1434,24.0,15,,1419.0,
19,Kershaw,1374,2.0,26,2.0,1348.0,
20,Laurens,1344,9.0,42,,1302.0,
21,Darlington,1332,23.0,34,,1298.0,
22,Lancaster,1217,19.0,24,,1193.0,
23,Williamsburg,1021,5.0,31,,990.0,
24,Clarendon,857,13.0,51,1.0,806.0,
25,Newberry,847,1.0,9,,838.0,
26,Oconee,844,5.0,11,1.0,833.0,
27,Colleton,824,2.0,33,,791.0,
28,Chesterfield,782,6.0,21,,761.0,
29,Chester,688,20.0,13,,675.0,
30,Cherokee,665,27.0,27,2.0,638.0,
31,Dillon,653,10.0,25,,628.0,
32,Jasper,608,12.0,16,1.0,592.0,
33,Fairfield,567,,24,1.0,543.0,
34,Lee,566,,29,,537.0,
35,Marion,560,2.0,13,,547.0,
36,Marlboro,516,9.0,4,,512.0,
37,Bamberg,478,1.0,24,2.0,454.0,
38,Saluda,462,6.0,7,,455.0,
39,Hampton,443,3.0,11,1.0,432.0,
40,Barnwell,426,11.0,7,2.0,419.0,
41,Calhoun,382,,12,2.0,370.0,
42,Union,375,11.0,4,,371.0,
43,Abbeville,343,10.0,7,,336.0,
44,Edgefield,326,5.0,6,,320.0,
45,Allendale,232,4.0,5,2.0,227.0,
46,McCormick,126,7.0,2,,124.0,
47,Unassigned,734,6.0,85,2.0,,853899.0
48,Total:,102130,971.0,2098,49.0,59195.0,853899.0
