,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Projections
0,USA Total,5305957,"+54,519",167749.0,"+1,504",2382860,16030.0,507.0,66942357.0,202241.0,
1,California,585718,"+11,945",10650.0,+182,345199,14824.0,270.0,9186279.0,232492.0,[projections]
2,Florida,542792,"+5,831",8558.0,+276,481626,25272.0,398.0,4055587.0,188827.0,[projections]
3,Texas,526680,"+7,976",9004.0,+220,159364,18164.0,311.0,4421806.0,152498.0,[projections]
4,New York,451736,+711,32857.0,+10,75200,23221.0,1689.0,6640705.0,341362.0,[projections]
5,Georgia,222588,"+3,563",4351.0,+122,180709,20964.0,410.0,2139062.0,201467.0,[projections]
6,Illinois,198248,"+1,549",7866.0,+20,44899,15645.0,621.0,3147703.0,248402.0,[projections]
7,New Jersey,191135,+360,15966.0,+11,23279,21519.0,1798.0,2350310.0,264609.0,[projections]
8,Arizona,188737,"+1,214",4199.0,+45,158436,25930.0,577.0,1276952.0,175436.0,[projections]
9,North Carolina,138812,"+1,430",2255.0,+63,19588,13235.0,215.0,2017498.0,192361.0,[projections]
10,Louisiana,133125,"+1,164",4314.0,+26,39728,28636.0,928.0,1568564.0,337413.0,[projections]
11,Pennsylvania,125061,+792,7427.0,+27,25018,9769.0,580.0,1379948.0,107792.0,[projections]
12,Tennessee,124915,"+1,001",1271.0,+38,38331,18291.0,186.0,1738875.0,254624.0,[projections]
13,Massachusetts,121707,+392,8751.0,+10,13935,17658.0,1270.0,1439814.0,208896.0,[projections]
14,Alabama,103851,+831,1847.0,+50,64081,21180.0,377.0,779764.0,159032.0,[projections]
15,Ohio,102849,"+1,093",3710.0,+35,18254,8799.0,317.0,1702317.0,145633.0,[projections]
16,South Carolina,102130,+971,2098.0,+49,59195,19836.0,407.0,853899.0,165847.0,[projections]
17,Virginia,101745,+996,2344.0,+17,86249,11920.0,275.0,1378458.0,161497.0,[projections]
18,Michigan,98213,+907,6533.0,+7,28044,9834.0,654.0,2402909.0,240607.0,[projections]
19,Maryland,96843,+585,3604.0,+13,87304,16019.0,596.0,1485615.0,245732.0,[projections]
20,Indiana,75862,+870,3069.0,+25,16444,11268.0,456.0,1090369.0,161963.0,[projections]
21,Mississippi,68293,+644,1944.0,+32,16513,22947.0,653.0,517845.0,173998.0,[projections]
22,Washington,65940,+487,1721.0,+20,41965,8659.0,226.0,1010191.0,132660.0,[projections]
23,Minnesota,61839,+323,1707.0,+6,4981,10965.0,303.0,1177935.0,208867.0,[projections]
24,Wisconsin,61785,+724,1006.0,+8,10117,10612.0,173.0,1076062.0,184813.0,[projections]
25,Missouri,61687,"+1,031",1410.0,+5,50280,10051.0,230.0,850128.0,138515.0,[projections]
26,Nevada,57520,+548,981.0,+18,30528,18674.0,318.0,712619.0,231358.0,[projections]
