,county,totalcases,newcases,totaldeaths,newdeaths,activecases,totaltests
0,Washington Total,65940.0,487.0,1721.0,21.0,41965.0,1010191
1,King,16830.0,81.0,686.0,10.0,16144.0,340150
2,Yakima,10982.0,41.0,212.0,,1951.0,41127
3,Snohomish,6318.0,84.0,198.0,5.0,3063.0,76157
4,Pierce,5805.0,54.0,143.0,1.0,2515.0,75234
5,Spokane,4605.0,48.0,93.0,3.0,1865.0,53882
6,Benton,3776.0,28.0,117.0,1.0,3659.0,21710
7,Franklin,3560.0,18.0,49.0,,3511.0,14024
8,Clark,2121.0,11.0,43.0,,2078.0,36605
9,Grant,1599.0,18.0,13.0,,898.0,10717
10,Chelan,1368.0,10.0,10.0,,1358.0,10975
11,Whatcom,991.0,1.0,39.0,,952.0,32702
12,Douglas,965.0,4.0,7.0,,958.0,5316
13,Skagit,891.0,1.0,22.0,,240.0,19677
14,Okanogan,877.0,,9.0,,802.0,4363
15,Thurston,802.0,13.0,11.0,,134.0,23235
16,Kitsap,773.0,16.0,7.0,,57.0,21172
17,Walla Walla,560.0,11.0,3.0,,121.0,7891
18,Cowlitz,501.0,9.0,5.0,,241.0,12004
19,Adams,461.0,9.0,5.0,,125.0,2642
20,Kittitas,443.0,6.0,20.0,,108.0,5365
21,Mason,255.0,6.0,1.0,,254.0,5145
22,Island,249.0,1.0,11.0,,238.0,5083
23,Lewis,243.0,7.0,4.0,1.0,148.0,6393
24,Clallam,139.0,3.0,,,29.0,9857
25,Klickitat,126.0,2.0,3.0,,18.0,2714
26,Grays Harbor,124.0,1.0,3.0,,121.0,3967
27,Whitman,124.0,2.0,,,78.0,1878
28,Stevens,112.0,2.0,1.0,,111.0,2956
29,Skamania,58.0,,1.0,,2.0,1347
30,Jefferson,55.0,,,,4.0,5501
31,Pacific,51.0,,2.0,,28.0,1525
32,Pend Oreille,44.0,,,,44.0,1147
33,San Juan,30.0,,,,30.0,2849
34,Asotin,29.0,,2.0,,27.0,1386
35,Lincoln,27.0,,,,23.0,595
36,Ferry,24.0,,,,24.0,557
37,Columbia,13.0,,1.0,,,411
38,Wahkiakum,5.0,,,,5.0,371
39,Garfield,4.0,,,,2.0,112
40,Unassigned,,,,,,141449
41,Total:,65940.0,487.0,1721.0,21.0,41965.0,1010191
