,province,date,cases,cumulative_cases
0,Alberta,25-01-2020,0,0
1,Alberta,26-01-2020,0,0
2,Alberta,27-01-2020,0,0
3,Alberta,28-01-2020,0,0
4,Alberta,29-01-2020,0,0
5,Alberta,30-01-2020,0,0
6,Alberta,31-01-2020,0,0
7,Alberta,01-02-2020,0,0
8,Alberta,02-02-2020,0,0
9,Alberta,03-02-2020,0,0
10,Alberta,04-02-2020,0,0
11,Alberta,05-02-2020,0,0
12,Alberta,06-02-2020,0,0
13,Alberta,07-02-2020,0,0
14,Alberta,08-02-2020,0,0
15,Alberta,09-02-2020,0,0
16,Alberta,10-02-2020,0,0
17,Alberta,11-02-2020,0,0
18,Alberta,12-02-2020,0,0
19,Alberta,13-02-2020,0,0
20,Alberta,14-02-2020,0,0
21,Alberta,15-02-2020,0,0
22,Alberta,16-02-2020,0,0
23,Alberta,17-02-2020,0,0
24,Alberta,18-02-2020,0,0
25,Alberta,19-02-2020,0,0
26,Alberta,20-02-2020,0,0
27,Alberta,21-02-2020,0,0
28,Alberta,22-02-2020,0,0
29,Alberta,23-02-2020,0,0
30,Alberta,24-02-2020,0,0
31,Alberta,25-02-2020,0,0
32,Alberta,26-02-2020,0,0
33,Alberta,27-02-2020,0,0
34,Alberta,28-02-2020,0,0
35,Alberta,29-02-2020,0,0
36,Alberta,01-03-2020,0,0
37,Alberta,02-03-2020,0,0
38,Alberta,03-03-2020,0,0
39,Alberta,04-03-2020,0,0
40,Alberta,05-03-2020,1,1
41,Alberta,06-03-2020,1,2
42,Alberta,07-03-2020,0,2
43,Alberta,08-03-2020,2,4
44,Alberta,09-03-2020,10,14
45,Alberta,10-03-2020,0,14
46,Alberta,11-03-2020,5,19
47,Alberta,12-03-2020,4,23
48,Alberta,13-03-2020,6,29
49,Alberta,14-03-2020,10,39
50,Alberta,15-03-2020,17,56
51,Alberta,16-03-2020,18,74
52,Alberta,17-03-2020,23,97
53,Alberta,18-03-2020,22,119
54,Alberta,19-03-2020,27,146
55,Alberta,20-03-2020,49,195
56,Alberta,21-03-2020,31,226
57,Alberta,22-03-2020,33,259
58,Alberta,23-03-2020,42,301
59,Alberta,24-03-2020,57,358
60,Alberta,25-03-2020,61,419
61,Alberta,26-03-2020,67,486
62,Alberta,27-03-2020,56,542
63,Alberta,28-03-2020,79,621
64,Alberta,29-03-2020,40,661
65,Alberta,30-03-2020,29,690
66,Alberta,31-03-2020,64,754
67,Alberta,01-04-2020,117,871
68,Alberta,02-04-2020,97,968
69,Alberta,03-04-2020,107,1075
70,Alberta,04-04-2020,106,1181
71,Alberta,05-04-2020,69,1250
72,Alberta,06-04-2020,98,1348
73,Alberta,07-04-2020,25,1373
74,Alberta,08-04-2020,50,1423
75,Alberta,09-04-2020,28,1451
76,Alberta,10-04-2020,49,1500
77,Alberta,11-04-2020,69,1569
78,Alberta,12-04-2020,82,1651
79,Alberta,13-04-2020,81,1732
80,Alberta,14-04-2020,138,1870
81,Alberta,15-04-2020,126,1996
82,Alberta,16-04-2020,162,2158
83,Alberta,17-04-2020,239,2397
84,Alberta,18-04-2020,165,2562
85,Alberta,19-04-2020,241,2803
86,Alberta,20-04-2020,105,2908
87,Alberta,21-04-2020,187,3095
88,Alberta,22-04-2020,306,3401
89,Alberta,23-04-2020,319,3720
90,Alberta,24-04-2020,297,4017
91,Alberta,25-04-2020,215,4232
92,Alberta,26-04-2020,243,4475
93,Alberta,27-04-2020,216,4691
94,Alberta,28-04-2020,159,4850
95,Alberta,29-04-2020,315,5165
96,Alberta,30-04-2020,190,5355
97,Alberta,01-05-2020,218,5573
98,Alberta,02-05-2020,96,5669
99,Alberta,03-05-2020,93,5762
100,Alberta,04-05-2020,74,5836
101,Alberta,05-05-2020,57,5893
102,Alberta,06-05-2020,70,5963
103,Alberta,07-05-2020,54,6017
104,Alberta,08-05-2020,81,6098
105,Alberta,09-05-2020,59,6157
106,Alberta,10-05-2020,96,6253
107,Alberta,11-05-2020,47,6300
108,Alberta,12-05-2020,45,6345
109,Alberta,13-05-2020,62,6407
110,Alberta,14-05-2020,50,6457
